ENSPMAP00000003928	ENSPMAG00000003608	Petromyzon_marinus	ENSPMAT00000003944
ENSEBUP00000017229	ENSEBUG00000010753	Eptatretus_burgeri	ENSEBUT00000017805
ENSCHAP00000060507	ENSCHAG00000027058	Clupea_harengus
ENSDCDP00000044437	ENSDCDG00000028236	Denticeps_clupeoides
ENSAMXP00005026561	ENSAMXG00005013359	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000034609	ENSAMXG00000029448	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000026393	ENSPNAG00000011690	Pygocentrus_nattereri
ENSEEEP00000022763	ENSEEEG00000011036	Electrophorus_electricus
ENSIPUP00000002069	ENSIPUG00000001483	Ictalurus_punctatus
ENSDARP00000145097	ENSDARG00000077900	Danio_rerio
ENSTRUP00000043510	ENSTRUG00000016989	Takifugu_rubripes
ENSTNIP00000015911	ENSTNIG00000012931	Tetraodon_nigroviridis
ENSCSEP00000030861	ENSCSEG00000019764	Cynoglossus_semilaevis
ENSGWIP00000029213	ENSGWIG00000015254	Gouania_willdenowi
ENSLCRP00005016553	ENSLCRG00005006885	Larimichthys_crocea
ENSLBEP00000001865	ENSLBEG00000001471	Labrus_bergylta
ENSCGOP00000026252	ENSCGOG00000012384	Cottoperca_gobio
ENSGACP00000006055	ENSGACG00000004592	Gasterosteus_aculeatus
ENSMMOP00000004626	ENSMMOG00000003685	Mola_mola
ENSSLDP00000011267	ENSSLDG00000008967	Seriola_lalandi_dorsalis
ENSSDUP00000011237	ENSSDUG00000008207	Seriola_dumerili
ENSLCAP00010000616	ENSLCAG00010000403	Lates_calcarifer
ENSSMAP00000012078	ENSSMAG00000007450	Scophthalmus_maximus
ENSMAMP00000006078	ENSMAMG00000004134	Mastacembelus_armatus
ENSMALP00000012616	ENSMALG00000008957	Monopterus_albus
ENSATEP00000011393	ENSATEG00000007931	Anabas_testudineus
ENSBSLP00000041407	ENSBSLG00000020025	Betta_splendens
ENSAPEP00000005380	ENSAPEG00000003844	Amphiprion_percula
ENSAOCP00000007385	ENSAOCG00000011156	Amphiprion_ocellaris
ENSAPOP00000019102	ENSAPOG00000022493	Acanthochromis_polyacanthus
ENSSPAP00000005750	ENSSPAG00000004450	Stegastes_partitus
ENSPRNP00000041708	ENSPRNG00000020441	Parambassis_ranga
ENSFHEP00000020383	ENSFHEG00000022321	Fundulus_heteroclitus
ENSCVAP00000019810	ENSCVAG00000023234	Cyprinodon_variegatus
ENSKMAP00000029678	ENSKMAG00000021964	Kryptolebias_marmoratus
ENSORLP00020006164	ENSORLG00020006996	Oryzias_latipes_ASM223471v1
ENSORLP00000003474	ENSORLG00000002785	Oryzias_latipes_ASM223467v1
ENSORLP00015004924	ENSORLG00015005675	Oryzias_latipes_ASM223469v1
ENSOMEP00000007201	ENSOMEG00000008304	Oryzias_melastigma
ENSACLP00000029048	ENSACLG00000019687	Astatotilapia_calliptera
ENSPNYP00000005980	ENSPNYG00000004613	Pundamilia_nyererei
ENSMZEP00005025838	ENSMZEG00005019278	Maylandia_zebra
ENSHBUP00000003128	ENSHBUG00000004359	Haplochromis_burtoni
ENSNBRP00000006522	ENSNBRG00000005090	Neolamprologus_brichardi
ENSONIP00000024773	ENSONIG00000019681	Oreochromis_niloticus
ENSACIP00000028367	ENSACIG00000021975	Amphilophus_citrinellus
ENSPMGP00000027426	ENSPMGG00000022131	Periophthalmus_magnuspinnatus
ENSXMAP00000012555	ENSXMAG00000012539	Xiphophorus_maculatus
ENSXCOP00000003865	ENSXCOG00000003038	Xiphophorus_couchianus
ENSGAFP00000030595	ENSGAFG00000020620	Gambusia_affinis
ENSPFOP00000006085	ENSPFOG00000006161	Poecilia_formosa
ENSPMEP00000024100	ENSPMEG00000006164	Poecilia_mexicana
ENSPLAP00000019354	ENSPLAG00000001402	Poecilia_latipinna
ENSPREP00000025345	ENSPREG00000017112	Poecilia_reticulata
ENSGMOP00000014082	ENSGMOG00000013166	Gadus_morhua
ENSSFOP00015020550	ENSSFOG00015013221	Scleropages_formosus
ENSPKIP00000016338	ENSPKIG00000002704	Paramormyrops_kingsleyae
ENSLOCP00000014364	ENSLOCG00000011691	Lepisosteus_oculatus
ENSECRP00000025212	ENSECRG00000017060	Erpetoichthys_calabaricus
ENSLACP00000023000	ENSLACG00000006207	Latimeria_chalumnae
ENSXETP00000042554	ENSXETG00000010354	Xenopus_tropicalis
T05H10.2.2	WBGene00000151	Caenorhabditis_elegans_strain_N2
ENSPTEP00000005908	ENSPTEG00000006819	Piliocolobus_tephrosceles
YKL114C_mRNA	YKL114C	Saccharomyces_cerevisiae_strain_S288C
