ENSPKIP00000010956	ENSPKIG00000025468	Paramormyrops_kingsleyae	ENSPKIT00000035095
ENSSFOP00015008926	ENSSFOG00015005802	Scleropages_formosus	ENSSFOT00015009051
ENSPNAP00000004525	ENSPNAG00000010951	Pygocentrus_nattereri
ENSIPUP00000016526	ENSIPUG00000011196	Ictalurus_punctatus
ENSAMXP00000033440	ENSAMXG00000040236	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005021345	ENSAMXG00005011095	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEEEP00000012630	ENSEEEG00000006340	Electrophorus_electricus
ENSDARP00000138844	ENSDARG00000058930	Danio_rerio
ENSDCDP00000063315	ENSDCDG00000035716	Denticeps_clupeoides
ENSHHUP00000047561	ENSHHUG00000028901	Hucho_hucho
ENSHHUP00000039353	ENSHHUG00000024461	Hucho_hucho
ENSELUP00000041930	ENSELUG00000022951	Esox_lucius
ENSELUP00000024175	ENSELUG00000022970	Esox_lucius
ENSAOCP00000015444	ENSAOCG00000020198	Amphiprion_ocellaris
ENSAPEP00000009411	ENSAPEG00000006755	Amphiprion_percula
ENSAPOP00000004204	ENSAPOG00000005806	Acanthochromis_polyacanthus
ENSSPAP00000012696	ENSSPAG00000009618	Stegastes_partitus
ENSSMAP00000000907	ENSSMAG00000000570	Scophthalmus_maximus
ENSTRUP00000030232	ENSTRUG00000025760	Takifugu_rubripes
ENSTNIP00000016244	ENSTNIG00000013259	Tetraodon_nigroviridis
ENSMMOP00000005686	ENSMMOG00000004482	Mola_mola
ENSSDUP00000012919	ENSSDUG00000009392	Seriola_dumerili
ENSSLDP00000032880	ENSSLDG00000025193	Seriola_lalandi_dorsalis
ENSLCAP00010025390	ENSLCAG00010011877	Lates_calcarifer
ENSMALP00000014031	ENSMALG00000009878	Monopterus_albus
ENSMAMP00000031211	ENSMAMG00000021011	Mastacembelus_armatus
ENSATEP00000010250	ENSATEG00000007216	Anabas_testudineus
ENSBSLP00000000244	ENSBSLG00000000120	Betta_splendens
ENSLCRP00005001682	ENSLCRG00005000849	Larimichthys_crocea
ENSCGOP00000045134	ENSCGOG00000020257	Cottoperca_gobio
ENSGACP00000018467	ENSGACG00000013985	Gasterosteus_aculeatus
ENSLBEP00000013474	ENSLBEG00000010399	Labrus_bergylta
ENSCSEP00000021807	ENSCSEG00000013927	Cynoglossus_semilaevis
ENSCVAP00000007022	ENSCVAG00000008659	Cyprinodon_variegatus
ENSFHEP00000012437	ENSFHEG00000013916	Fundulus_heteroclitus
ENSPFOP00000011495	ENSPFOG00000011516	Poecilia_formosa
ENSPLAP00000000024	ENSPLAG00000024009	Poecilia_latipinna
ENSPMEP00000025323	ENSPMEG00000008218	Poecilia_mexicana
ENSPREP00000019409	ENSPREG00000013127	Poecilia_reticulata
ENSXCOP00000027543	ENSXCOG00000020553	Xiphophorus_couchianus
ENSGAFP00000027780	ENSGAFG00000018779	Gambusia_affinis
ENSXMAP00000025402	ENSXMAG00000029026	Xiphophorus_maculatus
ENSKMAP00000006499	ENSKMAG00000004923	Kryptolebias_marmoratus
ENSORLP00020019482	ENSORLG00020020485	Oryzias_latipes_ASM223471v1
ENSORLP00000004498	ENSORLG00000003608	Oryzias_latipes_ASM223467v1
ENSORLP00015033461	ENSORLG00015018894	Oryzias_latipes_ASM223469v1
ENSOMEP00000023051	ENSOMEG00000002954	Oryzias_melastigma
ENSPRNP00000000295	ENSPRNG00000000194	Parambassis_ranga
ENSPNYP00000023995	ENSPNYG00000018122	Pundamilia_nyererei
ENSHBUP00000017742	ENSHBUG00000019827	Haplochromis_burtoni
ENSMZEP00005024022	ENSMZEG00005017977	Maylandia_zebra
ENSACLP00000038927	ENSACLG00000026264	Astatotilapia_calliptera
ENSNBRP00000028709	ENSNBRG00000021872	Neolamprologus_brichardi
ENSONIP00000014955	ENSONIG00000011880	Oreochromis_niloticus
ENSACIP00000024878	ENSACIG00000019297	Amphilophus_citrinellus
ENSGWIP00000054758	ENSGWIG00000026133	Gouania_willdenowi
ENSHCOP00000010137	ENSHCOG00000000368	Hippocampus_comes
ENSPMGP00000014547	ENSPMGG00000011919	Periophthalmus_magnuspinnatus
ENSGMOP00000018599	ENSGMOG00000017317	Gadus_morhua
ENSLOCP00000006028	ENSLOCG00000005008	Lepisosteus_oculatus
