FBpp0072825	FBgn0027082	Drosophila_melanogaster
ENSONIP00000012555	ENSONIG00000009984	Oreochromis_niloticus
ENSATEP00000027969	ENSATEG00000019329	Anabas_testudineus
ENSACLP00000013946	ENSACLG00000009522	Astatotilapia_calliptera
ENSAPLP00000020603	ENSAPLG00000026834	Anas_platyrhynchos_platyrhynchos
ENSSARP00000005485	ENSSARG00000006071	Sorex_araneus
ENSTTRP00000000674	ENSTTRG00000000716	Tursiops_truncatus
ENSHBUP00000029325	ENSHBUG00000013678	Haplochromis_burtoni
ENSAPEP00000014041	ENSAPEG00000010009	Amphiprion_percula
ENSDCDP00000057610	ENSDCDG00000033607	Denticeps_clupeoides
ENSOMEP00000025719	ENSOMEG00000007136	Oryzias_melastigma
ENSCHAP00000053303	ENSCHAG00000024251	Clupea_harengus
ENSCSEP00000027474	ENSCSEG00000017559	Cynoglossus_semilaevis
ENSGACP00000009587	ENSGACG00000007240	Gasterosteus_aculeatus
ENSCCEP00000002654	ENSCCEG00000002947	Cyanistes_caeruleus
ENSOCUP00000000903	ENSOCUG00000001045	Oryctolagus_cuniculus
ENSPTRP00000001345	ENSPTRG00000000776	Pan_troglodytes
ENSPFOP00000010500	ENSPFOG00000010522	Poecilia_formosa
ENSBIXP00000042608	ENSBIXG00000026584	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSRBIP00000012189	ENSRBIG00000030034	Rhinopithecus_bieti
ENSSMAP00000033850	ENSSMAG00000020710	Scophthalmus_maximus
ENSPRNP00000053258	ENSPRNG00000025101	Parambassis_ranga
ENSDARP00000065210	ENSDARG00000044404	Danio_rerio
ENSSDUP00000017290	ENSSDUG00000012630	Seriola_dumerili
ENSPMJP00000002403	ENSPMJG00000001984	Parus_major
ENSDCDP00000058184	ENSDCDG00000033835	Denticeps_clupeoides
ENSHCOP00000004764	ENSHCOG00000006282	Hippocampus_comes
ENSAPOP00000030158	ENSAPOG00000016537	Acanthochromis_polyacanthus
ENSPCIP00000024079	ENSPCIG00000018193	Phascolarctos_cinereus
ENSAOWP00000006041	ENSAOWG00000004155	Apteryx_owenii
ENSTGUP00000009772	ENSTGUG00000009489	Taeniopygia_guttata
ENSMPUP00000020045	ENSMPUG00000020180	Mustela_putorius_furo
ENSEEEP00000031969	ENSEEEG00000015254	Electrophorus_electricus
ENSBMUP00000012100	ENSBMUG00000009276	Bos_mutus
ENSPPAP00000000424	ENSPPAG00000001589	Pan_paniscus
ENSMMOP00000008463	ENSMMOG00000006550	Mola_mola
ENSGMOP00000016568	ENSGMOG00000015469	Gadus_morhua
ENSBTAP00000050033	ENSBTAG00000040313	Bos_taurus
ENSXETP00000043868	ENSXETG00000010157	Xenopus_tropicalis
ENSRROP00000000193	ENSRROG00000000487	Rhinopithecus_roxellana
ENSVVUP00000037452	ENSVVUG00000026785	Vulpes_vulpes
