ENSLAFP00000004891	ENSLAFG00000005826	Loxodonta_africana
ENSFCAP00000032898	ENSFCAG00000004453	Felis_catus
ENSORLP00015017122	ENSORLG00015018181	Oryzias_latipes_ASM223469v1
ENSMGAP00000019509	ENSMGAG00000002469	Meleagris_gallopavo
ENSCSAP00000006663	ENSCSAG00000010432	Chlorocebus_sabaeus
ENSMALP00000032805	ENSMALG00000022562	Monopterus_albus
ENSXETP00000015796	ENSXETG00000005882	Xenopus_tropicalis
ENSHGLP00100019961	ENSHGLG00100014718	Heterocephalus_glaber_HetGla_1.0
ENSCPUP00000018774	ENSCPUG00000012897	Calidris_pugnax
ENSBTAP00000065840	ENSBTAG00000021151	Bos_taurus
ENSPMJP00000025718	ENSPMJG00000018811	Parus_major
ENSUMAP00000024293	ENSUMAG00000017671	Ursus_maritimus
ENSMEUP00000013011	ENSMEUG00000014227	Notamacropus_eugenii
ENSGAGP00000025349	ENSGAGG00000018539	Gopherus_agassizii
ENSEBUP00000002139	ENSEBUG00000001697	Eptatretus_burgeri
ENSMZEP00005001110	ENSMZEG00005000820	Maylandia_zebra
ENSMAMP00000013116	ENSMAMG00000008845	Mastacembelus_armatus
ENSSHAP00000009849	ENSSHAG00000008529	Sarcophilus_harrisii
ENSGMOP00000004073	ENSGMOG00000003775	Gadus_morhua
ENSTNIP00000004446	ENSTNIG00000002030	Tetraodon_nigroviridis
ENSFALP00000009741	ENSFALG00000009225	Ficedula_albicollis
ENSXCOP00000016246	ENSXCOG00000012275	Xiphophorus_couchianus
ENSLOCP00000016298	ENSLOCG00000013203	Lepisosteus_oculatus
ENSMMOP00000021032	ENSMMOG00000015985	Mola_mola
ENSTGEP00000033475	ENSTGEG00000026711	Theropithecus_gelada
ENSORLP00000018831	ENSORLG00000015025	Oryzias_latipes_ASM223467v1
ENSMLUP00000022175	ENSMLUG00000026882	Myotis_lucifugus
ENSNBRP00000001685	ENSNBRG00000001363	Neolamprologus_brichardi
ENSCANP00000002814	ENSCANG00000009377	Colobus_angolensis_palliatus
ENSMLUP00000002007	ENSMLUG00000002190	Myotis_lucifugus
ENSCVAP00000028848	ENSCVAG00000016287	Cyprinodon_variegatus
ENSOANP00000030033	ENSOANG00000029858	Ornithorhynchus_anatinus	ENSOANT00000039278
ENSMMOP00000011172	ENSMMOG00000008613	Mola_mola	ENSMMOT00000011367
ENSMAMP00000025202	ENSMAMG00000016876	Mastacembelus_armatus
ENSPCAP00000005158	ENSPCAG00000005266	Procavia_capensis
ENSGACP00000025495	ENSGACG00000019284	Gasterosteus_aculeatus
ENSCVAP00000030881	ENSCVAG00000019677	Cyprinodon_variegatus	ENSCVAT00000025142
ENSHBUP00000019823	ENSHBUG00000022142	Haplochromis_burtoni
ENSONIP00000022966	ENSONIG00000018235	Oreochromis_niloticus
ENSHHUP00000063832	ENSHHUG00000036742	Hucho_hucho
ENSELUP00000004770	ENSELUG00000005911	Esox_lucius
ENSDCDP00000038885	ENSDCDG00000013375	Denticeps_clupeoides
ENSHCOP00000003998	ENSHCOG00000005467	Hippocampus_comes	ENSHCOT00000007794
ENSVURP00010005368	ENSVURG00010004204	Vombatus_ursinus
ENSCVAP00000017664	ENSCVAG00000020880	Cyprinodon_variegatus
ENSORLP00020032754	ENSORLG00020018500	Oryzias_latipes_ASM223471v1
ENSACAP00000017391	ENSACAG00000017579	Anolis_carolinensis
ENSXCOP00000021230	ENSXCOG00000015884	Xiphophorus_couchianus
ENSBBBP00000019526	ENSBBBG00000012920	Bison_bison_bison
ENSBMUP00000016027	ENSBMUG00000012176	Bos_mutus
ENSPLAP00000025977	ENSPLAG00000013619	Poecilia_latipinna
ENSPMGP00000017078	ENSPMGG00000013990	Periophthalmus_magnuspinnatus
ENSDCDP00000004528	ENSDCDG00000002295	Denticeps_clupeoides	ENSDCDT00000004972
MGP_CAROLIEiJ_P0027403	MGP_CAROLIEiJ_G0016540	Mus_caroli_strain_CAROLI_EIJ
ENSPMGP00000017072	ENSPMGG00000013985	Periophthalmus_magnuspinnatus
ENSEEUP00000012166	ENSEEUG00000013278	Erinaceus_europaeus
ENSPMGP00000011990	ENSPMGG00000009921	Periophthalmus_magnuspinnatus
ENSDNVP00000008704	ENSDNVG00000006183	Dromaius_novaehollandiae
ENSLCAP00010003129	ENSLCAG00010000936	Lates_calcarifer
ENSKMAP00000017743	ENSKMAG00000013141	Kryptolebias_marmoratus
ENSMUNP00000014076	ENSMUNG00000010965	Melopsittacus_undulatus
ENSNVIP00000007042	ENSNVIG00000005390	Neovison_vison
ENSHHUP00000085996	ENSHHUG00000048802	Hucho_hucho
ENSMUGP00000013480	ENSMUGG00000011549	Meriones_unguiculatus
ENSNGAP00000018871	ENSNGAG00000018868	Nannospalax_galili
ENSAMXP00000010234	ENSAMXG00000009783	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSHCOP00000015834	ENSHCOG00000019593	Hippocampus_comes
ENSPMEP00000011436	ENSPMEG00000013556	Poecilia_mexicana
ENSCPUP00000018781	ENSCPUG00000012900	Calidris_pugnax
ENSOMEP00000007118	ENSOMEG00000008175	Oryzias_melastigma
ENSCPRP00005011675	ENSCPRG00005008323	Crocodylus_porosus
ENSPANP00000019678	ENSPANG00000023796	Papio_anubis
ENSAMEP00000002510	ENSAMEG00000002139	Ailuropoda_melanoleuca
ENSSLDP00000023345	ENSSLDG00000018182	Seriola_lalandi_dorsalis
ENSGACP00000009384	ENSGACG00000007073	Gasterosteus_aculeatus
ENSSLDP00000030267	ENSSLDG00000023302	Seriola_lalandi_dorsalis
ENSLCOP00000001711	ENSLCOG00000001368	Lepidothrix_coronata
ENSAOCP00000024142	ENSAOCG00000010831	Amphiprion_ocellaris
ENSMNEP00000045102	ENSMNEG00000045090	Macaca_nemestrina
ENSCGRP00001016966	ENSCGRG00001017089	Cricetulus_griseus_CHOK1GS_HDv1
ENSMZEP00005006188	ENSMZEG00005004747	Maylandia_zebra
ENSHHUP00000088835	ENSHHUG00000051265	Hucho_hucho
ENSOMEP00000027192	ENSOMEG00000009514	Oryzias_melastigma
ENSONIP00000010441	ENSONIG00000008299	Oreochromis_niloticus
ENSPPRP00000027707	ENSPPRG00000020441	Panthera_pardus
ENSHHUP00000003981	ENSHHUG00000001248	Hucho_hucho
ENSPVIP00000017787	ENSPVIG00000013641	Pogona_vitticeps
ENSPVIP00000017784	ENSPVIG00000013638	Pogona_vitticeps
ENSORLP00000044516	ENSORLG00000000639	Oryzias_latipes_ASM223467v1
