ENSAHAP00000000928	ENSAHAG00000000789	Apteryx_haastii	ENSAHAT00000001052
ENSAOWP00000005634	ENSAOWG00000003856	Apteryx_owenii	ENSAOWT00000006388
ENSARWP00000019285	ENSARWG00000013224	Apteryx_rowi	ENSARWT00000021895
ENSDNVP00000005639	ENSDNVG00000004054	Dromaius_novaehollandiae	ENSDNVT00000006806
ENSMUNP00000015194	ENSMUNG00000011762	Melopsittacus_undulatus
ENSAPLP00000017631	ENSAPLG00000030252	Anas_platyrhynchos_platyrhynchos
ENSABRP00000019850	ENSABRG00000016973	Anser_brachyrhynchus
ENSGALP00000044636	ENSGALG00000033339	Gallus_gallus
ENSCJPP00005022433	ENSCJPG00005017873	Coturnix_japonica
ENSNMEP00000004932	ENSNMEG00000005235	Numida_meleagris
ENSCPUP00000007697	ENSCPUG00000005549	Calidris_pugnax
ENSCPGP00000027612	ENSCPGG00000019042	Calidris_pygmaea
ENSGAGP00000024522	ENSGAGG00000017907	Gopherus_agassizii
ENSCABP00000012123	ENSCABG00000009082	Chelonoidis_abingdonii
ENSCPBP00000027521	ENSCPBG00000019458	Chrysemys_picta_bellii
ENSPSIP00000019957	ENSPSIG00000017691	Pelodiscus_sinensis
ENSCPRP00005002739	ENSCPRG00005002002	Crocodylus_porosus
ENSPVIP00000019591	ENSPVIG00000014934	Pogona_vitticeps
ENSACAP00000016644	ENSACAG00000016922	Anolis_carolinensis
ENSSMRP00000015822	ENSSMRG00000012302	Salvator_merianae
ENSNSUP00000001706	ENSNSUG00000001454	Notechis_scutatus
ENSLACP00000021541	ENSLACG00000018930	Latimeria_chalumnae
ENSXETP00000046330	ENSXETG00000018582	Xenopus_tropicalis
ENSTGUP00000017739	ENSTGUG00000017457	Taeniopygia_guttata
ENSLSDP00000017261	ENSLSDG00000012397	Lonchura_striata_domestica
ENSSCAP00000001828	ENSSCAG00000001571	Serinus_canaria
ENSJHYP00000024202	ENSJHYG00000018182	Junco_hyemalis
ENSPMJP00000021119	ENSPMJG00000015676	Parus_major
ENSLCOP00000016305	ENSLCOG00000011624	Lepidothrix_coronata
ENSFALP00000015927	ENSFALG00000015313	Ficedula_albicollis	ENSFALT00000015993
ENSNPEP00000016479	ENSNPEG00000012274	Nothoprocta_perdicaria	ENSNPET00000016885
ENSAMXP00000026310	ENSAMXG00000025605	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005048287	ENSAMXG00005022090	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000018890	ENSPNAG00000025378	Pygocentrus_nattereri
ENSEEEP00000009133	ENSEEEG00000004703	Electrophorus_electricus
ENSIPUP00000009398	ENSIPUG00000006441	Ictalurus_punctatus
ENSDARP00000117734	ENSDARG00000057062	Danio_rerio
ENSDCDP00000018353	ENSDCDG00000014847	Denticeps_clupeoides
ENSCHAP00000052956	ENSCHAG00000024124	Clupea_harengus
ENSMALP00000026197	ENSMALG00000018197	Monopterus_albus
ENSMAMP00000005300	ENSMAMG00000003577	Mastacembelus_armatus
ENSATEP00000030339	ENSATEG00000020956	Anabas_testudineus
ENSBSLP00000000786	ENSBSLG00000000639	Betta_splendens
ENSGAFP00000006769	ENSGAFG00000004618	Gambusia_affinis
ENSXMAP00000041516	ENSXMAG00000026987	Xiphophorus_maculatus
ENSPFOP00000024490	ENSPFOG00000012568	Poecilia_formosa
ENSPLAP00000027545	ENSPLAG00000016220	Poecilia_latipinna
ENSPMEP00000026464	ENSPMEG00000010159	Poecilia_mexicana
ENSPREP00000033090	ENSPREG00000022426	Poecilia_reticulata
ENSFHEP00000020858	ENSFHEG00000022800	Fundulus_heteroclitus
ENSCVAP00000003998	ENSCVAG00000005263	Cyprinodon_variegatus
ENSKMAP00000008400	ENSKMAG00000006325	Kryptolebias_marmoratus
ENSORLP00000038218	ENSORLG00000006937	Oryzias_latipes_ASM223467v1
ENSORLP00015022530	ENSORLG00015001966	Oryzias_latipes_ASM223469v1
ENSORLP00020008845	ENSORLG00020009726	Oryzias_latipes_ASM223471v1
ENSOMEP00000017735	ENSOMEG00000019430	Oryzias_melastigma
ENSACLP00000004727	ENSACLG00000003166	Astatotilapia_calliptera
ENSMZEP00005000271	ENSMZEG00005000300	Maylandia_zebra
ENSPNYP00000028896	ENSPNYG00000021771	Pundamilia_nyererei
ENSHBUP00000035327	ENSHBUG00000023403	Haplochromis_burtoni
ENSNBRP00000018571	ENSNBRG00000014322	Neolamprologus_brichardi
ENSONIP00000015020	ENSONIG00000011929	Oreochromis_niloticus
ENSACIP00000001019	ENSACIG00000000876	Amphilophus_citrinellus
ENSAOCP00000025451	ENSAOCG00000013032	Amphiprion_ocellaris
ENSAOCP00000012319	ENSAOCG00000016747	Amphiprion_ocellaris
ENSAPEP00000026207	ENSAPEG00000018630	Amphiprion_percula
ENSAPOP00000023926	ENSAPOG00000006045	Acanthochromis_polyacanthus
ENSSPAP00000010429	ENSSPAG00000007935	Stegastes_partitus
ENSGWIP00000000463	ENSGWIG00000000316	Gouania_willdenowi
ENSGACP00000011199	ENSGACG00000008474	Gasterosteus_aculeatus
ENSLBEP00000017895	ENSLBEG00000013809	Labrus_bergylta
ENSTRUP00000040157	ENSTRUG00000015713	Takifugu_rubripes
ENSTNIP00000018159	ENSTNIG00000015104	Tetraodon_nigroviridis
ENSMMOP00000006198	ENSMMOG00000004852	Mola_mola
ENSLCRP00005019758	ENSLCRG00005008080	Larimichthys_crocea
ENSCGOP00000035808	ENSCGOG00000016566	Cottoperca_gobio
ENSPRNP00000047339	ENSPRNG00000022775	Parambassis_ranga
ENSSDUP00000015110	ENSSDUG00000011041	Seriola_dumerili
ENSSLDP00000006690	ENSSLDG00000005337	Seriola_lalandi_dorsalis
ENSLCAP00010039191	ENSLCAG00010018331	Lates_calcarifer
ENSSMAP00000032103	ENSSMAG00000019668	Scophthalmus_maximus
ENSCSEP00000003191	ENSCSEG00000002088	Cynoglossus_semilaevis
ENSHCOP00000022022	ENSHCOG00000009331	Hippocampus_comes
ENSPMGP00000028969	ENSPMGG00000023316	Periophthalmus_magnuspinnatus
ENSGMOP00000008849	ENSGMOG00000008273	Gadus_morhua
ENSHHUP00000077727	ENSHHUG00000045385	Hucho_hucho
ENSHHUP00000028664	ENSHHUG00000018284	Hucho_hucho
ENSELUP00000010318	ENSELUG00000010812	Esox_lucius
ENSPNYP00000028597	ENSPNYG00000021539	Pundamilia_nyererei
ENSPFOP00000023481	ENSPFOG00000024830	Poecilia_formosa
ENSMMOP00000028999	ENSMMOG00000021882	Mola_mola
ENSTNIP00000000759	ENSTNIG00000001229	Tetraodon_nigroviridis
ENSCSEP00000004842	ENSCSEG00000003139	Cynoglossus_semilaevis
ENSHHUP00000083672	ENSHHUG00000048537	Hucho_hucho
ENSPKIP00000020630	ENSPKIG00000005340	Paramormyrops_kingsleyae
ENSSFOP00015021505	ENSSFOG00015013860	Scleropages_formosus
ENSSFOP00015005356	ENSSFOG00015003521	Scleropages_formosus
ENSLOCP00000022309	ENSLOCG00000018208	Lepisosteus_oculatus
ENSFCAP00000045310	ENSFCAG00000044265	Felis_catus	ENSFCAT00000050540
ENSPPRP00000026812	ENSPPRG00000017803	Panthera_pardus
ENSMPUP00000018853	ENSMPUG00000018973	Mustela_putorius_furo
ENSNVIP00000005704	ENSNVIG00000004599	Neovison_vison
ENSPVAP00000004681	ENSPVAG00000004948	Pteropus_vampyrus
ENSECAP00000030213	ENSECAG00000028937	Equus_caballus
ENSBIXP00000038576	ENSBIXG00000022423	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005012650	ENSBIXG00005005509	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000049818	ENSBTAG00000002673	Bos_taurus
ENSOARP00000018041	ENSOARG00000016801	Ovis_aries
ENSTTRP00000013139	ENSTTRG00000013856	Tursiops_truncatus
ENSMUSP00000150618	ENSMUSG00000095440	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000025579	ENSMSIG00000021610	Mus_spicilegus
MGP_SPRETEiJ_P0041731	MGP_SPRETEiJ_G0021195	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0039894	MGP_CAROLIEiJ_G0020302	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0043243	MGP_PahariEiJ_G0020303	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000005767	ENSMUGG00000005324	Meriones_unguiculatus
ENSCGRP00001013132	ENSCGRG00001014354	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015038270	ENSCGRG00015028597	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000022268	ENSMAUG00000019750	Mesocricetus_auratus
ENSMOCP00000007306	ENSMOCG00000007086	Microtus_ochrogaster
ENSNGAP00000016410	ENSNGAG00000017152	Nannospalax_galili
ENSJJAP00000024937	ENSJJAG00000024263	Jaculus_jaculus
ENSOPRP00000015539	ENSOPRG00000017021	Ochotona_princeps
ENSSARP00000004569	ENSSARG00000005052	Sorex_araneus
ENSDORP00000019786	ENSDORG00000029523	Dipodomys_ordii
ENSEEUP00000000120	ENSEEUG00000000143	Erinaceus_europaeus
ENSCAFP00000066607	ENSCAFG00000049416	Canis_lupus_familiaris
ENSMICP00000049483	ENSMICG00000043506	Microcebus_murinus
ENSOGAP00000020940	ENSOGAG00000032760	Otolemur_garnettii
ENSPTRP00000073445	ENSPTRG00000052556	Pan_troglodytes
ENSPPAP00000006055	ENSPPAG00000024237	Pan_paniscus
ENSP00000491257	ENSG00000261308	Homo_sapiens
ENSGGOP00000049788	ENSGGOG00000038213	Gorilla_gorilla
ENSPTEP00000042393	ENSPTEG00000038687	Piliocolobus_tephrosceles
ENSCANP00000007717	ENSCANG00000025404	Colobus_angolensis_palliatus
ENSRROP00000003655	ENSRROG00000014535	Rhinopithecus_roxellana
ENSRBIP00000001350	ENSRBIG00000006929	Rhinopithecus_bieti
ENSTGEP00000006613	ENSTGEG00000005424	Theropithecus_gelada
ENSPANP00000031575	ENSPANG00000034570	Papio_anubis
ENSCATP00000004811	ENSCATG00000016456	Cercocebus_atys
ENSMNEP00000002364	ENSMNEG00000010990	Macaca_nemestrina
ENSMFAP00000012721	ENSMFAG00000025968	Macaca_fascicularis
ENSCCAP00000000170	ENSCCAG00000000947	Cebus_capucinus_imitator
ENSCJAP00000063990	ENSCJAG00000048512	Callithrix_jacchus
ENSSBOP00000023144	ENSSBOG00000028090	Saimiri_boliviensis_boliviensis
ENSHGLP00000013224	ENSHGLG00000009447	Heterocephalus_glaber_HetGla_female_1.0
ENSCPOP00000017176	ENSCPOG00000019931	Cavia_porcellus
ENSSTOP00000025262	ENSSTOG00000029947	Ictidomys_tridecemlineatus
ENSPCAP00000008305	ENSPCAG00000008929	Procavia_capensis
ENSVPAP00000000707	ENSVPAG00000000769	Vicugna_pacos
ENSVURP00010009990	ENSVURG00010007719	Vombatus_ursinus
ENSMEUP00000006504	ENSMEUG00000007125	Notamacropus_eugenii
ENSSHAP00000012365	ENSSHAG00000010593	Sarcophilus_harrisii
ENSAMEP00000001944	ENSAMEG00000001850	Ailuropoda_melanoleuca
ENSPPYP00000005171	ENSPPYG00000004532	Pongo_abelii
ENSLAFP00000022843	ENSLAFG00000030356	Loxodonta_africana
