ENSVURP00010002156	ENSVURG00010001803	Vombatus_ursinus
ENSPCIP00000030356	ENSPCIG00000020632	Phascolarctos_cinereus
ENSMEUP00000011997	ENSMEUG00000013132	Notamacropus_eugenii
ENSSHAP00000017413	ENSSHAG00000014797	Sarcophilus_harrisii
ENSMODP00000010955	ENSMODG00000008801	Monodelphis_domestica
ENSPVAP00000001372	ENSPVAG00000001458	Pteropus_vampyrus
ENSMLUP00000014344	ENSMLUG00000015731	Myotis_lucifugus
ENSUAMP00000032896	ENSUAMG00000025080	Ursus_americanus
ENSUMAP00000018200	ENSUMAG00000013369	Ursus_maritimus
ENSAMEP00000016986	ENSAMEG00000016035	Ailuropoda_melanoleuca
ENSNVIP00000002764	ENSNVIG00000002202	Neovison_vison
ENSMPUP00000010395	ENSMPUG00000010472	Mustela_putorius_furo
ENSCAFP00020029066	ENSCAFG00020022612	Canis_lupus_dingo
ENSCAFP00000009512	ENSCAFG00000006340	Canis_lupus_familiaris
ENSVVUP00000025481	ENSVVUG00000018691	Vulpes_vulpes
ENSPPRP00000009245	ENSPPRG00000003762	Panthera_pardus
ENSPTIP00000019683	ENSPTIG00000017340	Panthera_tigris_altaica
ENSFCAP00000022531	ENSFCAG00000024874	Felis_catus
ENSSSCP00000009045	ENSSSCG00000008478	Sus_scrofa_strain_reference
ENSVPAP00000010276	ENSVPAG00000011034	Vicugna_pacos
ENSBIXP00005041658	ENSBIXG00005007630	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000034976	ENSBIXG00000003140	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000015471	ENSBTAG00000011643	Bos_taurus
ENSBMUP00000007852	ENSBMUG00000006148	Bos_mutus
ENSBBBP00000009569	ENSBBBG00000017799	Bison_bison_bison
ENSCHIP00000020128	ENSCHIG00000018884	Capra_hircus
ENSOARP00000009040	ENSOARG00000008423	Ovis_aries
ENSTTRP00000013627	ENSTTRG00000014368	Tursiops_truncatus
ENSEASP00005007558	ENSEASG00005005201	Equus_asinus_asinus
ENSECAP00000053950	ENSECAG00000017604	Equus_caballus
ENSODEP00000017055	ENSODEG00000012567	Octodon_degus
ENSCLAP00000008359	ENSCLAG00000005852	Chinchilla_lanigera
ENSCPOP00000002266	ENSCPOG00000002487	Cavia_porcellus
ENSCAPP00000002296	ENSCAPG00000005083	Cavia_aperea
ENSHGLP00000011949	ENSHGLG00000008560	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013172	ENSHGLG00100009751	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000006527	ENSFDAG00000015527	Fukomys_damarensis
ENSUPAP00010004920	ENSUPAG00010003963	Urocitellus_parryii
ENSSTOP00000029928	ENSSTOG00000004486	Ictidomys_tridecemlineatus
ENSSDAP00000006334	ENSSDAG00000005830	Spermophilus_dauricus
ENSMMMP00000018840	ENSMMMG00000016674	Marmota_marmota_marmota
ENSCCNP00000022446	ENSCCNG00000022073	Castor_canadensis
ENSDORP00000002200	ENSDORG00000002340	Dipodomys_ordii
ENSMSIP00000007809	ENSMSIG00000006950	Mus_spicilegus
MGP_SPRETEiJ_P0047629	MGP_SPRETEiJ_G0022824	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000067786	ENSMUSG00000024241	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0045715	MGP_CAROLIEiJ_G0021908	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0045229	MGP_PahariEiJ_G0020898	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000009359	ENSRNOG00000007106	Rattus_norvegicus
ENSMUGP00000022079	ENSMUGG00000018546	Meriones_unguiculatus
ENSMOCP00000008286	ENSMOCG00000008243	Microtus_ochrogaster
ENSPEMP00000031043	ENSPEMG00000029716	Peromyscus_maniculatus_bairdii
ENSCGRP00015021293	ENSCGRG00015016244	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000018457	ENSCGRG00000013433	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001012879	ENSCGRG00001014168	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000000268	ENSMAUG00000000251	Mesocricetus_auratus
ENSNGAP00000003932	ENSNGAG00000004814	Nannospalax_galili
ENSJJAP00000010131	ENSJJAG00000013772	Jaculus_jaculus
ENSOCUP00000019739	ENSOCUG00000007844	Oryctolagus_cuniculus
ENSOPRP00000009416	ENSOPRG00000010304	Ochotona_princeps
ENSPPAP00000008514	ENSPPAG00000027483	Pan_paniscus
ENSPTRP00000052023	ENSPTRG00000011857	Pan_troglodytes
ENSP00000387784	ENSG00000115904	Homo_sapiens
ENSGGOP00000022879	ENSGGOG00000026950	Gorilla_gorilla
ENSPPYP00000013933	ENSPPYG00000012474	Pongo_abelii
ENSNLEP00000019976	ENSNLEG00000016450	Nomascus_leucogenys
