ENSVURP00010014887	ENSVURG00010011381	Vombatus_ursinus	ENSVURT00010016917
ENSVURP00010004554	ENSVURG00010003628	Vombatus_ursinus	ENSVURT00010005177
ENSPCIP00000029560	ENSPCIG00000021992	Phascolarctos_cinereus	ENSPCIT00000036358
ENSMEUP00000010725	ENSMEUG00000011773	Notamacropus_eugenii	ENSMEUT00000011803
ENSSHAP00000014352	ENSSHAG00000012261	Sarcophilus_harrisii	ENSSHAT00000014471
ENSMODP00000001804	ENSMODG00000001485	Monodelphis_domestica	ENSMODT00000001842
ENSGGOP00000043795	ENSGGOG00000016018	Gorilla_gorilla	ENSGGOT00000053986
ENSGGOP00000043804	ENSGGOG00000039363	Gorilla_gorilla	ENSGGOT00000061589
ENSPTRP00000088271	ENSPTRG00000001092	Pan_troglodytes	ENSPTRT00000088724
ENSPPAP00000030607	ENSPPAG00000038288	Pan_paniscus	ENSPPAT00000053470
ENSP00000437082	ENSG00000064886	Homo_sapiens	ENST00000445067
ENSPPYP00000001207	ENSPPYG00000001038	Pongo_abelii
ENSNLEP00000004617	ENSNLEG00000003769	Nomascus_leucogenys
ENSPTEP00000028496	ENSPTEG00000028132	Piliocolobus_tephrosceles
ENSCANP00000028924	ENSCANG00000037968	Colobus_angolensis_palliatus
ENSRROP00000009762	ENSRROG00000029297	Rhinopithecus_roxellana
ENSRBIP00000009455	ENSRBIG00000028615	Rhinopithecus_bieti
ENSMLEP00000003496	ENSMLEG00000015156	Mandrillus_leucophaeus
ENSTGEP00000003739	ENSTGEG00000003133	Theropithecus_gelada
ENSPANP00000037961	ENSPANG00000004608	Papio_anubis
ENSMFAP00000032254	ENSMFAG00000037152	Macaca_fascicularis
ENSMMUP00000003306	ENSMMUG00000002455	Macaca_mulatta
ENSCATP00000038726	ENSCATG00000042029	Cercocebus_atys
ENSMNEP00000028967	ENSMNEG00000037931	Macaca_nemestrina
ENSCSAP00000016454	ENSCSAG00000001572	Chlorocebus_sabaeus
ENSCCAP00000026365	ENSCCAG00000030977	Cebus_capucinus_imitator
ENSSBOP00000030335	ENSSBOG00000031446	Saimiri_boliviensis_boliviensis
ENSCJAP00000024354	ENSCJAG00000013226	Callithrix_jacchus
ENSANAP00000004667	ENSANAG00000020426	Aotus_nancymaae
ENSTSYP00000002398	ENSTSYG00000002614	Carlito_syrichta
ENSPCOP00000010464	ENSPCOG00000016703	Propithecus_coquereli
ENSMICP00000025389	ENSMICG00000011949	Microcebus_murinus
ENSPSMP00000015007	ENSPSMG00000010734	Prolemur_simus
ENSOGAP00000009672	ENSOGAG00000010804	Otolemur_garnettii
ENSOCUP00000037683	ENSOCUG00000015772	Oryctolagus_cuniculus	ENSOCUT00000041203
ENSOPRP00000008637	ENSOPRG00000009444	Ochotona_princeps	ENSOPRT00000009439
ENSCCNP00000021623	ENSCCNG00000021375	Castor_canadensis	ENSCCNT00000027786
ENSTBEP00000009665	ENSTBEG00000011181	Tupaia_belangeri
ENSCHIP00000009074	ENSCHIG00000012064	Capra_hircus
ENSOARP00000020963	ENSOARG00000019517	Ovis_aries
ENSBIXP00005011322	ENSBIXG00005002472	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000039705	ENSBIXG00000004699	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000073667	ENSBTAG00000013578	Bos_taurus
ENSBMUP00000006403	ENSBMUG00000005046	Bos_mutus
ENSBBBP00000017364	ENSBBBG00000009747	Bison_bison_bison
ENSTTRP00000007384	ENSTTRG00000007807	Tursiops_truncatus
ENSSSCP00000007249	ENSSSCG00000006796	Sus_scrofa_strain_reference
ENSEASP00005007416	ENSEASG00005005420	Equus_asinus_asinus
ENSECAP00000021290	ENSECAG00000023849	Equus_caballus
ENSCHOP00000004804	ENSCHOG00000005428	Choloepus_hoffmanni
ENSLAFP00000015321	ENSLAFG00000018287	Loxodonta_africana
ENSPCAP00000000369	ENSPCAG00000000394	Procavia_capensis
ENSETEP00000003616	ENSETEG00000004415	Echinops_telfairi
