ENSAHAP00000004711	ENSAHAG00000003650	Apteryx_haastii
ENSAOWP00000025603	ENSAOWG00000017302	Apteryx_owenii
ENSAMXP00000049927	ENSAMXG00000038291	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSFDAP00000023362	ENSFDAG00000021514	Fukomys_damarensis
ENSHHUP00000086718	ENSHHUG00000050174	Hucho_hucho
ENSTRUP00000052786	ENSTRUG00000025091	Takifugu_rubripes
ENSMPUP00000009356	ENSMPUG00000009431	Mustela_putorius_furo
ENSSMRP00000009530	ENSSMRG00000007595	Salvator_merianae	ENSSMRT00000011101
ENSTSYP00000017109	ENSTSYG00000033312	Carlito_syrichta
ENSPPYP00000002632	ENSPPYG00000002257	Pongo_abelii
ENSCCAP00000009511	ENSCCAG00000022483	Cebus_capucinus_imitator
ENSSDUP00000014267	ENSSDUG00000010388	Seriola_dumerili
ENSPVIP00000008413	ENSPVIG00000006793	Pogona_vitticeps	ENSPVIT00000010794
ENSDARP00000091650	ENSDARG00000069363	Danio_rerio
ENSMZEP00005037082	ENSMZEG00005027629	Maylandia_zebra
ENSONIP00000023275	ENSONIG00000018487	Oreochromis_niloticus
ENSCCNP00000019607	ENSCCNG00000019691	Castor_canadensis
ENSUAMP00000020440	ENSUAMG00000016112	Ursus_americanus
ENSUMAP00000021755	ENSUMAG00000015920	Ursus_maritimus
ENSSBOP00000028575	ENSSBOG00000030659	Saimiri_boliviensis_boliviensis
ENSCJAP00000072999	ENSCJAG00000013171	Callithrix_jacchus
ENSCANP00000022253	ENSCANG00000034569	Colobus_angolensis_palliatus
ENSACIP00000026291	ENSACIG00000020378	Amphilophus_citrinellus
ENSATEP00000004130	ENSATEG00000002886	Anabas_testudineus
ENSPCOP00000003639	ENSPCOG00000010883	Propithecus_coquereli
ENSHBUP00000019525	ENSHBUG00000021697	Haplochromis_burtoni
ENSAPEP00000016799	ENSAPEG00000011990	Amphiprion_percula
ENSMUGP00000028992	ENSMUGG00000024002	Meriones_unguiculatus
ENSVVUP00000028793	ENSVVUG00000021051	Vulpes_vulpes
ENSCATP00000010549	ENSCATG00000029563	Cercocebus_atys
ENSIPUP00000036724	ENSIPUG00000024596	Ictalurus_punctatus
ENSCAPP00000001017	ENSCAPG00000001608	Cavia_aperea
ENSPSMP00000013614	ENSPSMG00000009782	Prolemur_simus
ENSCABP00000023164	ENSCABG00000017057	Chelonoidis_abingdonii	ENSCABT00000025378
ENSODEP00000003093	ENSODEG00000002372	Octodon_degus
ENSLOCP00000006867	ENSLOCG00000005687	Lepisosteus_oculatus
ENSLACP00000013354	ENSLACG00000011758	Latimeria_chalumnae
ENSNGAP00000011025	ENSNGAG00000013290	Nannospalax_galili
ENSBBBP00000000782	ENSBBBG00000009934	Bison_bison_bison
MGP_CAROLIEiJ_P0036163	MGP_CAROLIEiJ_G0019091	Mus_caroli_strain_CAROLI_EIJ
ENSCMIP00000012450	ENSCMIG00000006328	Callorhinchus_milii
ENSHGLP00100014622	ENSHGLG00100010817	Heterocephalus_glaber_HetGla_1.0
ENSCPOP00000017337	ENSCPOG00000019959	Cavia_porcellus
ENSCAFP00000035588	ENSCAFG00000025514	Canis_lupus_familiaris
ENSCGRP00015027044	ENSCGRG00015020506	Cricetulus_griseus_CriGri-PICR
ENSNBRP00000025740	ENSNBRG00000019692	Neolamprologus_brichardi
ENSCAFP00020032236	ENSCAFG00020025099	Canis_lupus_dingo
ENSLCAP00010034030	ENSLCAG00010015992	Lates_calcarifer
ENSMODP00000036555	ENSMODG00000025005	Monodelphis_domestica
ENSPCIP00000009695	ENSPCIG00000007908	Phascolarctos_cinereus
