ENSVURP00010003832	ENSVURG00010003057	Vombatus_ursinus	ENSVURT00010004340
ENSPCIP00000012448	ENSPCIG00000009901	Phascolarctos_cinereus	ENSPCIT00000015467
ENSSHAP00000014356	ENSSHAG00000012264	Sarcophilus_harrisii	ENSSHAT00000014475
ENSMODP00000030234	ENSMODG00000019545	Monodelphis_domestica	ENSMODT00000031805
ENSPPAP00000002150	ENSPPAG00000009647	Pan_paniscus	ENSPPAT00000010569
ENSPTRP00000081040	ENSPTRG00000013160	Pan_troglodytes	ENSPTRT00000096431
ENSP00000386414	ENSG00000244588	Homo_sapiens	ENST00000409241
ENSGGOP00000017993	ENSGGOG00000003368	Gorilla_gorilla
ENSNLEP00000048985	ENSNLEG00000009376	Nomascus_leucogenys
ENSPPYP00000012126	ENSPPYG00000010856	Pongo_abelii
ENSRBIP00000030023	ENSRBIG00000038890	Rhinopithecus_bieti
ENSRROP00000016910	ENSRROG00000032569	Rhinopithecus_roxellana
ENSCANP00000028467	ENSCANG00000037653	Colobus_angolensis_palliatus
ENSPTEP00000036105	ENSPTEG00000033985	Piliocolobus_tephrosceles
ENSMLEP00000019931	ENSMLEG00000034187	Mandrillus_leucophaeus
ENSCATP00000037435	ENSCATG00000041428	Cercocebus_atys
ENSTGEP00000012418	ENSTGEG00000010127	Theropithecus_gelada
ENSPANP00000016922	ENSPANG00000018782	Papio_anubis
ENSMMUP00000023882	ENSMMUG00000058970	Macaca_mulatta
ENSMNEP00000039985	ENSMNEG00000042878	Macaca_nemestrina
ENSMFAP00000018375	ENSMFAG00000032243	Macaca_fascicularis
ENSCSAP00000006775	ENSCSAG00000010561	Chlorocebus_sabaeus
ENSSBOP00000009874	ENSSBOG00000021804	Saimiri_boliviensis_boliviensis
ENSCCAP00000012731	ENSCCAG00000024151	Cebus_capucinus_imitator
ENSCJAP00000038875	ENSCJAG00000020893	Callithrix_jacchus
ENSANAP00000022482	ENSANAG00000028990	Aotus_nancymaae
ENSTSYP00000025492	ENSTSYG00000029957	Carlito_syrichta
ENSMICP00000049983	ENSMICG00000014367	Microcebus_murinus
ENSPSMP00000000985	ENSPSMG00000000712	Prolemur_simus
ENSPCOP00000000886	ENSPCOG00000002930	Propithecus_coquereli
ENSOGAP00000013063	ENSOGAG00000014582	Otolemur_garnettii
ENSCLAP00000000150	ENSCLAG00000000160	Chinchilla_lanigera
ENSODEP00000000960	ENSODEG00000000769	Octodon_degus
ENSCAPP00000000313	ENSCAPG00000000260	Cavia_aperea
ENSCPOP00000000410	ENSCPOG00000000464	Cavia_porcellus
ENSHGLP00000026089	ENSHGLG00000018570	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003045	ENSHGLG00100002337	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016459	ENSFDAG00000005059	Fukomys_damarensis
ENSSDAP00000005479	ENSSDAG00000005097	Spermophilus_dauricus
ENSMMMP00000027316	ENSMMMG00000023858	Marmota_marmota_marmota
ENSUPAP00010023240	ENSUPAG00010018392	Urocitellus_parryii
ENSSTOP00000021691	ENSSTOG00000025206	Ictidomys_tridecemlineatus
ENSCCNP00000001797	ENSCCNG00000001961	Castor_canadensis
ENSDORP00000022220	ENSDORG00000025118	Dipodomys_ordii
ENSMSIP00000019474	ENSMSIG00000016546	Mus_spicilegus
MGP_SPRETEiJ_P0057324	MGP_SPRETEiJ_G0025359	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000136918	ENSMUSG00000074704	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0055182	MGP_CAROLIEiJ_G0024438	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0066166	MGP_PahariEiJ_G0025881	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000052321	ENSRNOG00000022335	Rattus_norvegicus
ENSMUGP00000008495	ENSMUGG00000007652	Meriones_unguiculatus
ENSCGRP00001024649	ENSCGRG00001022488	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015005592	ENSCGRG00015004358	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000005018	ENSCGRG00000003674	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000001463	ENSMAUG00000001086	Mesocricetus_auratus
ENSPEMP00000027432	ENSPEMG00000023240	Peromyscus_maniculatus_bairdii
ENSMOCP00000001827	ENSMOCG00000001417	Microtus_ochrogaster
ENSNGAP00000020663	ENSNGAG00000020061	Nannospalax_galili
ENSJJAP00000016046	ENSJJAG00000018022	Jaculus_jaculus
ENSTBEP00000011483	ENSTBEG00000013257	Tupaia_belangeri
ENSOPRP00000003202	ENSOPRG00000003515	Ochotona_princeps
ENSOARP00000020132	ENSOARG00000018747	Ovis_aries
ENSCHIP00000025221	ENSCHIG00000022078	Capra_hircus
ENSBIXP00005021180	ENSBIXG00005024217	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000037253	ENSBIXG00000020775	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000001812	ENSBTAG00000001376	Bos_taurus
