ENSPREP00000000072	ENSPREG00000000085	Poecilia_reticulata
ENSONIP00000012808	ENSONIG00000010186	Oreochromis_niloticus
ENSPNAP00000001778	ENSPNAG00000007195	Pygocentrus_nattereri
ENSUAMP00000017574	ENSUAMG00000013939	Ursus_americanus
ENSPKIP00000041568	ENSPKIG00000018048	Paramormyrops_kingsleyae
ENSDORP00000009434	ENSDORG00000010037	Dipodomys_ordii
ENSPCOP00000013602	ENSPCOG00000018435	Propithecus_coquereli
ENSPEMP00000013648	ENSPEMG00000013662	Peromyscus_maniculatus_bairdii
ENSACLP00000040677	ENSACLG00000027379	Astatotilapia_calliptera
ENSVVUP00000034628	ENSVVUG00000024972	Vulpes_vulpes
ENSTNIP00000009919	ENSTNIG00000007117	Tetraodon_nigroviridis
ENSTGUP00000005441	ENSTGUG00000005279	Taeniopygia_guttata
ENSTGEP00000019841	ENSTGEG00000015965	Theropithecus_gelada
ENSMUNP00000013739	ENSMUNG00000010722	Melopsittacus_undulatus	ENSMUNT00000015840
ENSCANP00000036124	ENSCANG00000041760	Colobus_angolensis_palliatus
ENSPFOP00000012670	ENSPFOG00000012642	Poecilia_formosa
ENSPTRP00000083481	ENSPTRG00000016536	Pan_troglodytes
ENSGWIP00000014625	ENSGWIG00000008218	Gouania_willdenowi
ENSUMAP00000022442	ENSUMAG00000016370	Ursus_maritimus
ENSBIXP00000006399	ENSBIXG00000012517	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCHIP00000013267	ENSCHIG00000014747	Capra_hircus
ENSLCAP00010041894	ENSLCAG00010019610	Lates_calcarifer
ENSPSIP00000007609	ENSPSIG00000006929	Pelodiscus_sinensis
ENSPRNP00000025957	ENSPRNG00000013077	Parambassis_ranga
ENSPTEP00000005813	ENSPTEG00000006708	Piliocolobus_tephrosceles
ENSMAUP00000002533	ENSMAUG00000002171	Mesocricetus_auratus
ENSNVIP00000018343	ENSNVIG00000014302	Neovison_vison
ENSPCIP00000040484	ENSPCIG00000029634	Phascolarctos_cinereus
ENSP00000336829	ENSG00000171557	Homo_sapiens
ENSSDUP00000025204	ENSSDUG00000018143	Seriola_dumerili
ENSMLUP00000005063	ENSMLUG00000005542	Myotis_lucifugus
ENSCHOP00000004782	ENSCHOG00000005398	Choloepus_hoffmanni
ENSATEP00000014349	ENSATEG00000009919	Anabas_testudineus
ENSEBUP00000019922	ENSEBUG00000012373	Eptatretus_burgeri
ENSAMXP00005054108	ENSAMXG00005024206	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOPRP00000001562	ENSOPRG00000001690	Ochotona_princeps
ENSBIXP00005043805	ENSBIXG00005027566	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCCNP00000010275	ENSCCNG00000010775	Castor_canadensis
ENSNMEP00000024261	ENSNMEG00000020612	Numida_meleagris
ENSOGAP00000010136	ENSOGAG00000011316	Otolemur_garnettii
ENSSCAP00000016191	ENSSCAG00000011856	Serinus_canaria
ENSSMRP00000001698	ENSSMRG00000001481	Salvator_merianae
ENSJHYP00000016984	ENSJHYG00000012959	Junco_hyemalis
ENSBSLP00000001053	ENSBSLG00000000767	Betta_splendens
ENSBTAP00000008877	ENSBTAG00000006745	Bos_taurus
ENSTRUP00000014822	ENSTRUG00000006100	Takifugu_rubripes
ENSFDAP00000016713	ENSFDAG00000005348	Fukomys_damarensis
ENSLSDP00000010703	ENSLSDG00000007868	Lonchura_striata_domestica
ENSCCAP00000005921	ENSCCAG00000020729	Cebus_capucinus_imitator
ENSCGRP00000011310	ENSCGRG00000008228	Cricetulus_griseus_CriGri_1.0
ENSPMJP00000014152	ENSPMJG00000010727	Parus_major
ENSEASP00005023237	ENSEASG00005015824	Equus_asinus_asinus
ENSRROP00000040890	ENSRROG00000043655	Rhinopithecus_roxellana
ENSPPRP00000014841	ENSPPRG00000007624	Panthera_pardus
ENSCVAP00000010675	ENSCVAG00000012832	Cyprinodon_variegatus
ENSJJAP00000023665	ENSJJAG00000023359	Jaculus_jaculus
ENSVPAP00000005750	ENSVPAG00000006198	Vicugna_pacos
ENSUPAP00010022509	ENSUPAG00010017859	Urocitellus_parryii
ENSSSCP00000024374	ENSSSCG00000024314	Sus_scrofa_strain_reference
ENSHGLP00000000936	ENSHGLG00000000766	Heterocephalus_glaber_HetGla_female_1.0
ENSMNEP00000030951	ENSMNEG00000038909	Macaca_nemestrina
MGP_SPRETEiJ_P0060460	MGP_SPRETEiJ_G0026045	Mus_spretus_strain_SPRET/EiJ
ENSFHEP00000001340	ENSFHEG00000002098	Fundulus_heteroclitus
ENSCABP00000001264	ENSCABG00000001051	Chelonoidis_abingdonii
ENSSDAP00000024525	ENSSDAG00000022325	Spermophilus_dauricus
ENSGGOP00000032457	ENSGGOG00000011928	Gorilla_gorilla
ENSAPOP00000024126	ENSAPOG00000006352	Acanthochromis_polyacanthus
ENSSFOP00015013740	ENSSFOG00015008855	Scleropages_formosus
ENSSTOP00000000196	ENSSTOG00000000222	Ictidomys_tridecemlineatus
ENSZALP00000009166	ENSZALG00000007918	Zonotrichia_albicollis
ENSHHUP00000051524	ENSHHUG00000031007	Hucho_hucho
ENSMPUP00000005614	ENSMPUG00000005659	Mustela_putorius_furo
MGP_CAROLIEiJ_P0058138	MGP_CAROLIEiJ_G0025103	Mus_caroli_strain_CAROLI_EIJ
ENSNSUP00000006776	ENSNSUG00000005368	Notechis_scutatus
ENSCCEP00000013711	ENSCCEG00000013137	Cyanistes_caeruleus
ENSPMEP00000032461	ENSPMEG00000020326	Poecilia_mexicana
ENSDNOP00000021354	ENSDNOG00000046751	Dasypus_novemcinctus
ENSSLDP00000030959	ENSSLDG00000023760	Seriola_lalandi_dorsalis
ENSSBOP00000002501	ENSSBOG00000012871	Saimiri_boliviensis_boliviensis
ENSOMEP00000001277	ENSOMEG00000002164	Oryzias_melastigma
ENSNPEP00000002081	ENSNPEG00000001607	Nothoprocta_perdicaria
ENSLAFP00000014588	ENSLAFG00000017393	Loxodonta_africana
ENSSHAP00000016435	ENSSHAG00000013981	Sarcophilus_harrisii
ENSLBEP00000004636	ENSLBEG00000003533	Labrus_bergylta
ENSMMUP00000028064	ENSMMUG00000021304	Macaca_mulatta
ENSAOWP00000006094	ENSAOWG00000004192	Apteryx_owenii
ENSPCAP00000011151	ENSPCAG00000011932	Procavia_capensis
ENSNLEP00000041437	ENSNLEG00000006132	Nomascus_leucogenys
ENSAOCP00000030206	ENSAOCG00000021207	Amphiprion_ocellaris
ENSMOCP00000007218	ENSMOCG00000006984	Microtus_ochrogaster
ENSMICP00000027448	ENSMICG00000003236	Microcebus_murinus
ENSMMMP00000004461	ENSMMMG00000004041	Marmota_marmota_marmota
ENSVURP00010016100	ENSVURG00010012334	Vombatus_ursinus
ENSDARP00000054229	ENSDARG00000037281	Danio_rerio
ENSCSEP00000006168	ENSCSEG00000003980	Cynoglossus_semilaevis
ENSEEEP00000009234	ENSEEEG00000004743	Electrophorus_electricus
ENSLCAP00010041794	ENSLCAG00010019570	Lates_calcarifer
ENSFALP00000013718	ENSFALG00000013135	Ficedula_albicollis
ENSCPUP00000012929	ENSCPUG00000009185	Calidris_pugnax	ENSCPUT00000015453
