ENSOCUP00000027134	ENSOCUG00000029276	Oryctolagus_cuniculus	ENSOCUT00000034085
ENSOPRP00000000030	ENSOPRG00000000032	Ochotona_princeps	ENSOPRT00000000032
ENSOCUP00000027198	ENSOCUG00000029473	Oryctolagus_cuniculus	ENSOCUT00000034149
ENSCPOP00000027618	ENSCPOG00000034004	Cavia_porcellus	ENSCPOT00000042252
ENSCAPP00000001558	ENSCAPG00000003129	Cavia_aperea	ENSCAPT00000003479
ENSCLAP00000018323	ENSCLAG00000012556	Chinchilla_lanigera	ENSCLAT00000018502
ENSODEP00000022432	ENSODEG00000016460	Octodon_degus	ENSODET00000022693
ENSHGLP00100009800	ENSHGLG00100007268	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000007364	ENSHGLG00000005362	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000018769	ENSFDAG00000009594	Fukomys_damarensis
ENSSDAP00000026353	ENSSDAG00000023810	Spermophilus_dauricus
ENSUPAP00010028209	ENSUPAG00010022282	Urocitellus_parryii
ENSSTOP00000016371	ENSSTOG00000023536	Ictidomys_tridecemlineatus
ENSMMMP00000017423	ENSMMMG00000015479	Marmota_marmota_marmota
ENSCCNP00000027108	ENSCCNG00000026244	Castor_canadensis
ENSDORP00000023197	ENSDORG00000027564	Dipodomys_ordii
ENSMUSP00000124075	ENSMUSG00000063108	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000021325	ENSMSIG00000018099	Mus_spicilegus
MGP_SPRETEiJ_P0090406	MGP_SPRETEiJ_G0032962	Mus_spretus_strain_SPRET/EiJ
ENSRNOP00000037843	ENSRNOG00000025937	Rattus_norvegicus
ENSMUGP00000024476	ENSMUGG00000020457	Meriones_unguiculatus
ENSCGRP00000014427	ENSCGRG00000010436	Cricetulus_griseus_CriGri_1.0
ENSCGRP00000000291	ENSCGRG00000000280	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001000730	ENSCGRG00001000576	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015031904	ENSCGRG00015024065	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000018536	ENSMAUG00000017074	Mesocricetus_auratus
ENSPEMP00000017683	ENSPEMG00000016507	Peromyscus_maniculatus_bairdii
ENSMOCP00000016987	ENSMOCG00000015724	Microtus_ochrogaster
ENSNGAP00000021553	ENSNGAG00000020695	Nannospalax_galili
ENSJJAP00000018988	ENSJJAG00000020082	Jaculus_jaculus
ENSJJAP00000015478	ENSJJAG00000017629	Jaculus_jaculus
