ENSPTEP00000034358	ENSPTEG00000032623	Piliocolobus_tephrosceles
ENSTGEP00000020699	ENSTGEG00000016660	Theropithecus_gelada
ENSTSYP00000016056	ENSTSYG00000025690	Carlito_syrichta
ENSUPAP00010015405	ENSUPAG00010012338	Urocitellus_parryii
ENSCGRP00015007684	ENSCGRG00015005989	Cricetulus_griseus_CriGri-PICR
ENSCAPP00000015093	ENSCAPG00000015322	Cavia_aperea
ENSOCUP00000042786	ENSOCUG00000030997	Oryctolagus_cuniculus
ENSVVUP00000034366	ENSVVUG00000024832	Vulpes_vulpes
ENSVVUP00000019736	ENSVVUG00000014612	Vulpes_vulpes
ENSCAFP00000048555	ENSCAFG00000019023	Canis_lupus_familiaris
ENSCAFP00020024855	ENSCAFG00020019531	Canis_lupus_dingo
ENSFCAP00000017993	ENSFCAG00000029681	Felis_catus
ENSBTAP00000060355	ENSBTAG00000054721	Bos_taurus
ENSBMUP00000032323	ENSBMUG00000024107	Bos_mutus
ENSPCIP00000052460	ENSPCIG00000035533	Phascolarctos_cinereus
ENSPCIP00000050034	ENSPCIG00000036261	Phascolarctos_cinereus
ENSGAFP00000022725	ENSGAFG00000015367	Gambusia_affinis
ENSXCOP00000027819	ENSXCOG00000020743	Xiphophorus_couchianus
