ENSNLEP00000028526	ENSNLEG00000015078	Nomascus_leucogenys
ENSCAFP00020006054	ENSCAFG00020004935	Canis_lupus_dingo
ENSSDAP00000007142	ENSSDAG00000006576	Spermophilus_dauricus
ENSPCOP00000025539	ENSPCOG00000025004	Propithecus_coquereli
ENSLCRP00005037184	ENSLCRG00005014477	Larimichthys_crocea
ENSMAUP00000023542	ENSMAUG00000020668	Mesocricetus_auratus
ENSXETP00000031701	ENSXETG00000011535	Xenopus_tropicalis
ENSBMUP00000035763	ENSBMUG00000026555	Bos_mutus
ENSBTAP00000009273	ENSBTAG00000007053	Bos_taurus
ENSAMEP00000017588	ENSAMEG00000016656	Ailuropoda_melanoleuca
ENSOGAP00000021065	ENSOGAG00000034396	Otolemur_garnettii
ENSPPYP00000006449	ENSPPYG00000005672	Pongo_abelii
ENSPPYP00000006448	ENSPPYG00000005671	Pongo_abelii
ENSMSIP00000020676	ENSMSIG00000017552	Mus_spicilegus
ENSTNIP00000022402	ENSTNIG00000019205	Tetraodon_nigroviridis	ENSTNIT00000022641
ENSSSCP00000031599	ENSSSCG00000040339	Sus_scrofa_strain_reference
ENSEASP00005017043	ENSEASG00005011805	Equus_asinus_asinus
ENSCAFP00020006059	ENSCAFG00020004940	Canis_lupus_dingo
ENSMLEP00000009039	ENSMLEG00000028731	Mandrillus_leucophaeus
ENSBSLP00000049414	ENSBSLG00000023508	Betta_splendens
MGP_SPRETEiJ_P0038478	MGP_SPRETEiJ_G0020176	Mus_spretus_strain_SPRET/EiJ
ENSSDUP00000028479	ENSSDUG00000020570	Seriola_dumerili
ENSMAMP00000011744	ENSMAMG00000007948	Mastacembelus_armatus
ENSDCDP00000012179	ENSDCDG00000007481	Denticeps_clupeoides
ENSMODP00000005230	ENSMODG00000004244	Monodelphis_domestica
ENSACAP00000007230	ENSACAG00000007381	Anolis_carolinensis
ENSEEUP00000003670	ENSEEUG00000004061	Erinaceus_europaeus
ENSMFAP00000012464	ENSMFAG00000024524	Macaca_fascicularis
ENSPNYP00000017384	ENSPNYG00000013169	Pundamilia_nyererei
ENSCHIP00000014468	ENSCHIG00000015491	Capra_hircus
ENSRBIP00000034501	ENSRBIG00000040933	Rhinopithecus_bieti
ENSPPAP00000030456	ENSPPAG00000038216	Pan_paniscus
ENSPKIP00000041594	ENSPKIG00000018088	Paramormyrops_kingsleyae
ENSRROP00000022860	ENSRROG00000035293	Rhinopithecus_roxellana
ENSPMEP00000017976	ENSPMEG00000020866	Poecilia_mexicana
ENSGAGP00000021159	ENSGAGG00000015542	Gopherus_agassizii
ENSFDAP00000022588	ENSFDAG00000020952	Fukomys_damarensis
ENSPTIP00000014361	ENSPTIG00000013814	Panthera_tigris_altaica
ENSATEP00000029766	ENSATEG00000020551	Anabas_testudineus
ENSPSMP00000023571	ENSPSMG00000016655	Prolemur_simus
ENSPCIP00000050428	ENSPCIG00000036936	Phascolarctos_cinereus
ENSMMMP00000014809	ENSMMMG00000013186	Marmota_marmota_marmota
ENSPANP00000017626	ENSPANG00000020555	Papio_anubis
ENSORLP00020003855	ENSORLG00020004631	Oryzias_latipes_ASM223471v1
