ENSLACP00000023320	ENSLACG00000022148	Latimeria_chalumnae	ENSLACT00000025009
ENSXETP00000015547	ENSXETG00000000193	Xenopus_tropicalis	ENSXETT00000003984
ENSCMIP00000008514	ENSCMIG00000004560	Callorhinchus_milii
ENSEEEP00000020993	ENSEEEG00000010233	Electrophorus_electricus
ENSIPUP00000019367	ENSIPUG00000013142	Ictalurus_punctatus
ENSPNAP00000011464	ENSPNAG00000017113	Pygocentrus_nattereri
ENSDARP00000148639	ENSDARG00000115266	Danio_rerio
ENSAMXP00005047274	ENSAMXG00005021724	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000019277	ENSAMXG00000018715	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCHAP00000014592	ENSCHAG00000007893	Clupea_harengus
ENSORLP00020002995	ENSORLG00020003771	Oryzias_latipes_ASM223471v1
ENSORLP00000005632	ENSORLG00000004484	Oryzias_latipes_ASM223467v1
ENSORLP00015006106	ENSORLG00015006933	Oryzias_latipes_ASM223469v1
ENSOMEP00000014632	ENSOMEG00000016160	Oryzias_melastigma
ENSGWIP00000005223	ENSGWIG00000002784	Gouania_willdenowi
ENSPFOP00000016606	ENSPFOG00000016529	Poecilia_formosa
ENSPMEP00000022980	ENSPMEG00000000797	Poecilia_mexicana
ENSPLAP00000026219	ENSPLAG00000013831	Poecilia_latipinna
ENSPREP00000010107	ENSPREG00000006885	Poecilia_reticulata
ENSXMAP00000025494	ENSXMAG00000023049	Xiphophorus_maculatus
ENSXCOP00000009720	ENSXCOG00000007392	Xiphophorus_couchianus
ENSGAFP00000010967	ENSGAFG00000007425	Gambusia_affinis
ENSFHEP00000015329	ENSFHEG00000016954	Fundulus_heteroclitus
ENSCVAP00000030744	ENSCVAG00000019511	Cyprinodon_variegatus
ENSKMAP00000002555	ENSKMAG00000001956	Kryptolebias_marmoratus
ENSSPAP00000002726	ENSSPAG00000002088	Stegastes_partitus
ENSGACP00000021111	ENSGACG00000015998	Gasterosteus_aculeatus
ENSCSEP00000026926	ENSCSEG00000017200	Cynoglossus_semilaevis
ENSAPEP00000007292	ENSAPEG00000005250	Amphiprion_percula
ENSAOCP00000011464	ENSAOCG00000015761	Amphiprion_ocellaris
ENSAPOP00000012100	ENSAPOG00000014720	Acanthochromis_polyacanthus
ENSPRNP00000023893	ENSPRNG00000012210	Parambassis_ranga
ENSMMOP00000023806	ENSMMOG00000018117	Mola_mola
ENSTRUP00000055104	ENSTRUG00000025783	Takifugu_rubripes
ENSMAMP00000004772	ENSMAMG00000003215	Mastacembelus_armatus
ENSHCOP00000028141	ENSHCOG00000020565	Hippocampus_comes
ENSLBEP00000010584	ENSLBEG00000008178	Labrus_bergylta
ENSCGOP00000022396	ENSCGOG00000010721	Cottoperca_gobio
ENSLCRP00005032266	ENSLCRG00005012785	Larimichthys_crocea
ENSLCAP00010051375	ENSLCAG00010023925	Lates_calcarifer
ENSSMAP00000012778	ENSSMAG00000007865	Scophthalmus_maximus
ENSSLDP00000019901	ENSSLDG00000015587	Seriola_lalandi_dorsalis
ENSSDUP00000014508	ENSSDUG00000010594	Seriola_dumerili
ENSATEP00000029041	ENSATEG00000020021	Anabas_testudineus
ENSBSLP00000047155	ENSBSLG00000022482	Betta_splendens
ENSMALP00000009172	ENSMALG00000006505	Monopterus_albus
ENSPNYP00000000417	ENSPNYG00000000324	Pundamilia_nyererei
ENSACLP00000014575	ENSACLG00000009929	Astatotilapia_calliptera
ENSHBUP00000016476	ENSHBUG00000018453	Haplochromis_burtoni
ENSMZEP00005007205	ENSMZEG00005005544	Maylandia_zebra
ENSNBRP00000005098	ENSNBRG00000004060	Neolamprologus_brichardi
ENSONIP00000013403	ENSONIG00000010661	Oreochromis_niloticus
ENSACIP00000028505	ENSACIG00000022070	Amphilophus_citrinellus
ENSPMGP00000011335	ENSPMGG00000009379	Periophthalmus_magnuspinnatus
ENSGMOP00000019541	ENSGMOG00000018162	Gadus_morhua
ENSHHUP00000063085	ENSHHUG00000037300	Hucho_hucho	ENSHHUT00000065221
ENSHHUP00000035638	ENSHHUG00000022428	Hucho_hucho	ENSHHUT00000037073
ENSELUP00000024491	ENSELUG00000023264	Esox_lucius
ENSSFOP00015019402	ENSSFOG00015012483	Scleropages_formosus
ENSPKIP00000023636	ENSPKIG00000007169	Paramormyrops_kingsleyae
ENSDCDP00000008945	ENSDCDG00000004499	Denticeps_clupeoides
ENSLOCP00000012537	ENSLOCG00000010237	Lepisosteus_oculatus
ENSECRP00000032379	ENSECRG00000021941	Erpetoichthys_calabaricus
ENSEBUP00000003171	ENSEBUG00000002343	Eptatretus_burgeri
ENSOPRP00000014518	ENSOPRG00000015906	Ochotona_princeps
ENSOCUP00000004048	ENSOCUG00000004690	Oryctolagus_cuniculus
ENSDORP00000019218	ENSDORG00000029301	Dipodomys_ordii
ENSCAFP00020004547	ENSCAFG00020003760	Canis_lupus_dingo
ENSCAFP00020008315	ENSCAFG00020006737	Canis_lupus_dingo
ENSVVUP00000026659	ENSVVUG00000019589	Vulpes_vulpes
ENSSARP00000008715	ENSSARG00000009657	Sorex_araneus
ENSSBOP00000001316	ENSSBOG00000006542	Saimiri_boliviensis_boliviensis
ENSCJAP00000055068	ENSCJAG00000044585	Callithrix_jacchus
ENSCCAP00000000466	ENSCCAG00000002712	Cebus_capucinus_imitator
ENSANAP00000002025	ENSANAG00000016669	Aotus_nancymaae
ENSSBOP00000019616	ENSSBOG00000026404	Saimiri_boliviensis_boliviensis
ENSCCAP00000011246	ENSCCAG00000023378	Cebus_capucinus_imitator
ENSANAP00000038862	ENSANAG00000036874	Aotus_nancymaae
ENSPPAP00000002045	ENSPPAG00000009241	Pan_paniscus
ENSPTRP00000077106	ENSPTRG00000052235	Pan_troglodytes
ENSGGOP00000044840	ENSGGOG00000025122	Gorilla_gorilla
ENSP00000326981	ENSG00000177971	Homo_sapiens
ENSPPYP00000007559	ENSPPYG00000006664	Pongo_abelii
ENSRROP00000005984	ENSRROG00000024157	Rhinopithecus_roxellana
ENSRBIP00000005577	ENSRBIG00000024522	Rhinopithecus_bieti
ENSPTEP00000025165	ENSPTEG00000025521	Piliocolobus_tephrosceles
ENSCANP00000005341	ENSCANG00000018342	Colobus_angolensis_palliatus
ENSMNEP00000005835	ENSMNEG00000026328	Macaca_nemestrina
ENSMMUP00000021183	ENSMMUG00000016103	Macaca_mulatta
ENSMFAP00000010654	ENSMFAG00000008867	Macaca_fascicularis
ENSTGEP00000035953	ENSTGEG00000028619	Theropithecus_gelada
ENSCATP00000004244	ENSCATG00000015188	Cercocebus_atys
