ENSSARP00000003620	ENSSARG00000004001	Sorex_araneus
ENSCHAP00000032237	ENSCHAG00000015281	Clupea_harengus
ENSNPEP00000009150	ENSNPEG00000006868	Nothoprocta_perdicaria
ENSORLP00020008310	ENSORLG00020009195	Oryzias_latipes_ASM223471v1
ENSCCNP00000021461	ENSCCNG00000021248	Castor_canadensis
ENSEEUP00000003301	ENSEEUG00000003624	Erinaceus_europaeus
ENSCMIP00000018788	ENSCMIG00000008822	Callorhinchus_milii
ENSCANP00000036713	ENSCANG00000042036	Colobus_angolensis_palliatus
ENSTBEP00000003835	ENSTBEG00000004430	Tupaia_belangeri
ENSMSIP00000002384	ENSMSIG00000002258	Mus_spicilegus
ENSNBRP00000002129	ENSNBRG00000001607	Neolamprologus_brichardi
ENSSCAP00000005829	ENSSCAG00000004603	Serinus_canaria
ENSNGAP00000004211	ENSNGAG00000005388	Nannospalax_galili
ENSPNYP00000011253	ENSPNYG00000008541	Pundamilia_nyererei
ENSMAMP00000021206	ENSMAMG00000014263	Mastacembelus_armatus
ENSSBOP00000024313	ENSSBOG00000028643	Saimiri_boliviensis_boliviensis
ENSOARP00000013268	ENSOARG00000012383	Ovis_aries
ENSACAP00000005183	ENSACAG00000005275	Anolis_carolinensis	ENSACAT00000005300
ENSAOWP00000007691	ENSAOWG00000005269	Apteryx_owenii
ENSNMEP00000022933	ENSNMEG00000019570	Numida_meleagris	ENSNMET00000033533
ENSUMAP00000009766	ENSUMAG00000007380	Ursus_maritimus
ENSOGAP00000009802	ENSOGAG00000010948	Otolemur_garnettii
ENSCCAP00000013103	ENSCCAG00000024362	Cebus_capucinus_imitator
ENSDNVP00000015390	ENSDNVG00000010849	Dromaius_novaehollandiae
ENSBTAP00000011476	ENSBTAG00000008709	Bos_taurus
ENSGWIP00000017828	ENSGWIG00000009904	Gouania_willdenowi
ENSLBEP00000038582	ENSLBEG00000028768	Labrus_bergylta
ENSCPRP00005019031	ENSCPRG00005013309	Crocodylus_porosus
ENSIPUP00000026808	ENSIPUG00000018146	Ictalurus_punctatus
