ENSORLP00020027088	ENSORLG00020009958	Oryzias_latipes_ASM223471v1
ENSORLP00015014923	ENSORLG00015015833	Oryzias_latipes_ASM223469v1
ENSORLP00000038023	ENSORLG00000025249	Oryzias_latipes_ASM223467v1
ENSOMEP00000024274	ENSOMEG00000004785	Oryzias_melastigma
ENSXMAP00000039355	ENSXMAG00000026189	Xiphophorus_maculatus
ENSPREP00000020629	ENSPREG00000013932	Poecilia_reticulata
ENSCSEP00000001841	ENSCSEG00000001250	Cynoglossus_semilaevis
ENSPMGP00000027238	ENSPMGG00000021989	Periophthalmus_magnuspinnatus
ENSAPEP00000018784	ENSAPEG00000013372	Amphiprion_percula
ENSAOCP00000031546	ENSAOCG00000023317	Amphiprion_ocellaris
ENSAPOP00000022570	ENSAPOG00000003884	Acanthochromis_polyacanthus
ENSSPAP00000028461	ENSSPAG00000021409	Stegastes_partitus
ENSFHEP00000003473	ENSFHEG00000004393	Fundulus_heteroclitus
ENSFHEP00000031889	ENSFHEG00000018068	Fundulus_heteroclitus
ENSCVAP00000015479	ENSCVAG00000018311	Cyprinodon_variegatus
ENSXCOP00000027863	ENSXCOG00000020779	Xiphophorus_couchianus
ENSGAFP00000021820	ENSGAFG00000014718	Gambusia_affinis
ENSXMAP00000035502	ENSXMAG00000024165	Xiphophorus_maculatus
ENSPLAP00000011230	ENSPLAG00000016323	Poecilia_latipinna
ENSPFOP00000002726	ENSPFOG00000002739	Poecilia_formosa
ENSPMEP00000008556	ENSPMEG00000010391	Poecilia_mexicana
ENSACLP00000018941	ENSACLG00000012886	Astatotilapia_calliptera
ENSMZEP00005022712	ENSMZEG00005016992	Maylandia_zebra
ENSHBUP00000029609	ENSHBUG00000014190	Haplochromis_burtoni
ENSPNYP00000020853	ENSPNYG00000015690	Pundamilia_nyererei
ENSONIP00000002672	ENSONIG00000002144	Oreochromis_niloticus
ENSNBRP00000008810	ENSNBRG00000006893	Neolamprologus_brichardi
ENSACIP00000019003	ENSACIG00000014777	Amphilophus_citrinellus
ENSTNIP00000005197	ENSTNIG00000002643	Tetraodon_nigroviridis
ENSTRUP00000041590	ENSTRUG00000016267	Takifugu_rubripes
ENSMMOP00000014154	ENSMMOG00000010837	Mola_mola
ENSLBEP00000038105	ENSLBEG00000028399	Labrus_bergylta
ENSGACP00000001169	ENSGACG00000000896	Gasterosteus_aculeatus
ENSMAMP00000026343	ENSMAMG00000017675	Mastacembelus_armatus
ENSATEP00000026974	ENSATEG00000018654	Anabas_testudineus
ENSSDUP00000029003	ENSSDUG00000020862	Seriola_dumerili
ENSSLDP00000021401	ENSSLDG00000016658	Seriola_lalandi_dorsalis
ENSLCAP00010014288	ENSLCAG00010006794	Lates_calcarifer
ENSHCOP00000008291	ENSHCOG00000010556	Hippocampus_comes
ENSGMOP00000012181	ENSGMOG00000011376	Gadus_morhua
