ENSUPAP00010007152	ENSUPAG00010005772	Urocitellus_parryii
ENSPCIP00000035708	ENSPCIG00000026400	Phascolarctos_cinereus
ENSMFAP00000024717	ENSMFAG00000043918	Macaca_fascicularis
ENSMNEP00000016940	ENSMNEG00000032491	Macaca_nemestrina
ENSMOCP00000006008	ENSMOCG00000005566	Microtus_ochrogaster
MGP_CAROLIEiJ_P0039186	MGP_CAROLIEiJ_G0020074	Mus_caroli_strain_CAROLI_EIJ
ENSPPRP00000007469	ENSPPRG00000002601	Panthera_pardus
ENSOANP00000007181	ENSOANG00000004529	Ornithorhynchus_anatinus
ENSCPOP00000021852	ENSCPOG00000040084	Cavia_porcellus
ENSNGAP00000015393	ENSNGAG00000016429	Nannospalax_galili
ENSEASP00005001668	ENSEASG00005001339	Equus_asinus_asinus
ENSFCAP00000020228	ENSFCAG00000029558	Felis_catus
ENSCGRP00015008191	ENSCGRG00015006366	Cricetulus_griseus_CriGri-PICR
ENSBTAP00000060486	ENSBTAG00000051879	Bos_taurus
ENSPSMP00000000432	ENSPSMG00000000361	Prolemur_simus
ENSRROP00000039468	ENSRROG00000043046	Rhinopithecus_roxellana
ENSCHIP00000012304	ENSCHIG00000014119	Capra_hircus
ENSDORP00000025512	ENSDORG00000028498	Dipodomys_ordii
MGP_SPRETEiJ_P0040992	MGP_SPRETEiJ_G0020974	Mus_spretus_strain_SPRET/EiJ
ENSSSCP00000058435	ENSSSCG00000035755	Sus_scrofa_strain_reference
ENSSTOP00000022738	ENSSTOG00000019466	Ictidomys_tridecemlineatus
ENSPEMP00000023382	ENSPEMG00000020435	Peromyscus_maniculatus_bairdii
ENSCSAP00000002045	ENSCSAG00000005730	Chlorocebus_sabaeus
MGP_PahariEiJ_P0042535	MGP_PahariEiJ_G0020076	Mus_pahari_strain_PAHARI_EIJ
ENSCCNP00000030356	ENSCCNG00000029070	Castor_canadensis
ENSECAP00000037277	ENSECAG00000031350	Equus_caballus	ENSECAT00000064994
ENSMPUP00000016274	ENSMPUG00000016377	Mustela_putorius_furo
ENSBIXP00000030146	ENSBIXG00000011997	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSGGOP00000036172	ENSGGOG00000036616	Gorilla_gorilla
ENSMAUP00000010614	ENSMAUG00000011455	Mesocricetus_auratus
ENSMMMP00000003773	ENSMMMG00000003440	Marmota_marmota_marmota
ENSRNOP00000064575	ENSRNOG00000049407	Rattus_norvegicus
ENSDNOP00000034167	ENSDNOG00000039236	Dasypus_novemcinctus
ENSPANP00000013433	ENSPANG00000000730	Papio_anubis
ENSOGAP00000015898	ENSOGAG00000025319	Otolemur_garnettii
ENSHGLP00000008762	ENSHGLG00000006306	Heterocephalus_glaber_HetGla_female_1.0
ENSNLEP00000037205	ENSNLEG00000027977	Nomascus_leucogenys
ENSMUSP00000137002	ENSMUSG00000096883	Mus_musculus_strain_reference_(CL57BL6)
ENSMICP00000041783	ENSMICG00000042512	Microcebus_murinus
ENSPCOP00000028543	ENSPCOG00000026922	Propithecus_coquereli
ENSCCAP00000023173	ENSCCAG00000029382	Cebus_capucinus_imitator
ENSODEP00000018436	ENSODEG00000013588	Octodon_degus
ENSCATP00000045622	ENSCATG00000045183	Cercocebus_atys
ENSUAMP00000007466	ENSUAMG00000006472	Ursus_americanus
ENSPTEP00000024988	ENSPTEG00000025371	Piliocolobus_tephrosceles
ENSBIXP00005000666	ENSBIXG00005029949	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSJJAP00000014410	ENSJJAG00000016883	Jaculus_jaculus
ENSCAFP00020001003	ENSCAFG00020000935	Canis_lupus_dingo
ENSTGEP00000008560	ENSTGEG00000007017	Theropithecus_gelada
ENSCGRP00001004329	ENSCGRG00001005475	Cricetulus_griseus_CHOK1GS_HDv1
ENSMMUP00000019786	ENSMMUG00000015101	Macaca_mulatta
ENSP00000481203	ENSG00000234965	Homo_sapiens
ENSCJAP00000027526	ENSCJAG00000014945	Callithrix_jacchus
ENSMSIP00000021657	ENSMSIG00000018391	Mus_spicilegus
ENSMUGP00000021256	ENSMUGG00000017908	Meriones_unguiculatus
ENSRBIP00000020760	ENSRBIG00000034366	Rhinopithecus_bieti
ENSCLAP00000023477	ENSCLAG00000016102	Chinchilla_lanigera
ENSSBOP00000030166	ENSSBOG00000031370	Saimiri_boliviensis_boliviensis
ENSPTRP00000060544	ENSPTRG00000039404	Pan_troglodytes
ENSANAP00000026136	ENSANAG00000030774	Aotus_nancymaae
