ENSPTRP00000048810	ENSPTRG00000011551	Pan_troglodytes	ENSPTRT00000056153
ENSPPAP00000026674	ENSPPAG00000036418	Pan_paniscus	ENSPPAT00000049509
ENSP00000282282	ENSG00000152433	Homo_sapiens	ENST00000282282
ENSNLEP00000040913	ENSNLEG00000010951	Nomascus_leucogenys	ENSNLET00000057290
ENSPTEP00000002029	ENSPTEG00000002321	Piliocolobus_tephrosceles	ENSPTET00000003056
ENSCANP00000010663	ENSCANG00000028741	Colobus_angolensis_palliatus
ENSRROP00000022285	ENSRROG00000035013	Rhinopithecus_roxellana
ENSRBIP00000013235	ENSRBIG00000030630	Rhinopithecus_bieti
ENSMLEP00000018111	ENSMLEG00000033240	Mandrillus_leucophaeus
ENSCSAP00000016384	ENSCSAG00000001641	Chlorocebus_sabaeus
ENSCATP00000027600	ENSCATG00000037157	Cercocebus_atys
ENSMFAP00000007249	ENSMFAG00000037583	Macaca_fascicularis
ENSMNEP00000020991	ENSMNEG00000034294	Macaca_nemestrina
ENSTGEP00000018254	ENSTGEG00000014742	Theropithecus_gelada
ENSCCAP00000022657	ENSCCAG00000029131	Cebus_capucinus_imitator
ENSCJAP00000058212	ENSCJAG00000043886	Callithrix_jacchus
ENSANAP00000005882	ENSANAG00000021013	Aotus_nancymaae
ENSPSMP00000024887	ENSPSMG00000017532	Prolemur_simus
ENSMICP00000036201	ENSMICG00000034738	Microcebus_murinus
ENSPCOP00000010201	ENSPCOG00000016552	Propithecus_coquereli
ENSOGAP00000012941	ENSOGAG00000014442	Otolemur_garnettii
ENSTSYP00000020163	ENSTSYG00000029496	Carlito_syrichta
ENSUPAP00010004663	ENSUPAG00010003788	Urocitellus_parryii
ENSSDAP00000024855	ENSSDAG00000022612	Spermophilus_dauricus
