ENSBBBP00000005946	ENSBBBG00000008910	Bison_bison_bison
ENSCHIP00000015240	ENSCHIG00000015963	Capra_hircus
ENSSSCP00000034516	ENSSSCG00000035512	Sus_scrofa_strain_reference
ENSMPUP00000012591	ENSMPUG00000012685	Mustela_putorius_furo
ENSNVIP00000028248	ENSNVIG00000021820	Neovison_vison
ENSCAFP00020014081	ENSCAFG00020011376	Canis_lupus_dingo
ENSFCAP00000042152	ENSFCAG00000041207	Felis_catus
ENSECAP00000013196	ENSECAG00000015624	Equus_caballus
ENSEASP00005017261	ENSEASG00005011955	Equus_asinus_asinus
ENSFDAP00000003364	ENSFDAG00000012831	Fukomys_damarensis
ENSCCNP00000026460	ENSCCNG00000025674	Castor_canadensis
ENSUPAP00010018955	ENSUPAG00010015012	Urocitellus_parryii
ENSCGRP00001018019	ENSCGRG00001017897	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015026279	ENSCGRG00015019934	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000024188	ENSCGRG00000017532	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000010665	ENSMAUG00000011483	Mesocricetus_auratus
ENSPEMP00000017349	ENSPEMG00000016302	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0027400	MGP_SPRETEiJ_G0017017	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000099893	ENSMUSG00000020299	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000029099	ENSMSIG00000024432	Mus_spicilegus
MGP_CAROLIEiJ_P0026047	MGP_CAROLIEiJ_G0016173	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0032819	MGP_PahariEiJ_G0017308	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000033381	ENSRNOG00000027852	Rattus_norvegicus
ENSNGAP00000009717	ENSNGAG00000012324	Nannospalax_galili
ENSOPRP00000011662	ENSOPRG00000012772	Ochotona_princeps
ENSPSMP00000019966	ENSPSMG00000014112	Prolemur_simus
ENSMICP00000042093	ENSMICG00000047468	Microcebus_murinus
ENSPPAP00000004315	ENSPPAG00000018189	Pan_paniscus
ENSPTRP00000029969	ENSPTRG00000017546	Pan_troglodytes
ENSGGOP00000013115	ENSGGOG00000013448	Gorilla_gorilla
ENSP00000340887	ENSG00000185056	Homo_sapiens
ENSPPYP00000017972	ENSPPYG00000016059	Pongo_abelii
ENSNLEP00000047186	ENSNLEG00000027778	Nomascus_leucogenys
ENSPANP00000011306	ENSPANG00000024858	Papio_anubis
ENSTGEP00000016533	ENSTGEG00000013369	Theropithecus_gelada
ENSCATP00000003091	ENSCATG00000012564	Cercocebus_atys
ENSMNEP00000025339	ENSMNEG00000036162	Macaca_nemestrina
ENSCSAP00000005761	ENSCSAG00000009504	Chlorocebus_sabaeus
ENSCANP00000032209	ENSCANG00000039774	Colobus_angolensis_palliatus
ENSRROP00000001995	ENSRROG00000008119	Rhinopithecus_roxellana
ENSCCAP00000040585	ENSCCAG00000038085	Cebus_capucinus_imitator
ENSSBOP00000002223	ENSSBOG00000011758	Saimiri_boliviensis_boliviensis
ENSANAP00000016347	ENSANAG00000026045	Aotus_nancymaae
ENSDNOP00000017710	ENSDNOG00000045340	Dasypus_novemcinctus
ENSPCAP00000009381	ENSPCAG00000010073	Procavia_capensis
