ENSTTRP00000014934	ENSTTRG00000015764	Tursiops_truncatus
ENSSARP00000001319	ENSSARG00000001466	Sorex_araneus
ENSEASP00005029751	ENSEASG00005020226	Equus_asinus_asinus
ENSECAP00000031260	ENSECAG00000002455	Equus_caballus
ENSUAMP00000025009	ENSUAMG00000019481	Ursus_americanus
ENSUAMP00000005503	ENSUAMG00000004882	Ursus_americanus
ENSUMAP00000004942	ENSUMAG00000003953	Ursus_maritimus
ENSAMEP00000007785	ENSAMEG00000007406	Ailuropoda_melanoleuca
ENSNVIP00000017340	ENSNVIG00000013571	Neovison_vison
ENSCAFP00020018723	ENSCAFG00020014882	Canis_lupus_dingo
ENSCAFP00000040781	ENSCAFG00000031654	Canis_lupus_familiaris
ENSVVUP00000002836	ENSVVUG00000002226	Vulpes_vulpes
ENSPTIP00000023293	ENSPTIG00000019806	Panthera_tigris_altaica
ENSPPRP00000008279	ENSPPRG00000003132	Panthera_pardus
ENSFCAP00000017897	ENSFCAG00000021958	Felis_catus
ENSOCUP00000019896	ENSOCUG00000022361	Oryctolagus_cuniculus
ENSOPRP00000006772	ENSOPRG00000007399	Ochotona_princeps
ENSCGRP00001011921	ENSCGRG00001013455	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000016888	ENSCGRG00000012285	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015019521	ENSCGRG00015014998	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008422	ENSMAUG00000009841	Mesocricetus_auratus
ENSMOCP00000006036	ENSMOCG00000005599	Microtus_ochrogaster
ENSPEMP00000011818	ENSPEMG00000012342	Peromyscus_maniculatus_bairdii
ENSMSIP00000017849	ENSMSIG00000015223	Mus_spicilegus
ENSMUSP00000057651	ENSMUSG00000054715	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0080704	MGP_SPRETEiJ_G0030267	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0077404	MGP_CAROLIEiJ_G0029191	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0045762	MGP_PahariEiJ_G0021053	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000026305	ENSRNOG00000031113	Rattus_norvegicus
ENSNGAP00000017432	ENSNGAG00000017861	Nannospalax_galili
ENSJJAP00000001700	ENSJJAG00000002315	Jaculus_jaculus
ENSPTRP00000019928	ENSPTRG00000011587	Pan_troglodytes
ENSPPAP00000015712	ENSPPAG00000030991	Pan_paniscus
ENSP00000332433	ENSG00000182318	Homo_sapiens
ENSGGOP00000050334	ENSGGOG00000042603	Gorilla_gorilla
ENSPPYP00000011764	ENSPPYG00000010497	Pongo_abelii
ENSNLEP00000032525	ENSNLEG00000029434	Nomascus_leucogenys
ENSCATP00000011284	ENSCATG00000029890	Cercocebus_atys
ENSMLEP00000012030	ENSMLEG00000030191	Mandrillus_leucophaeus
ENSCSAP00000016425	ENSCSAG00000001601	Chlorocebus_sabaeus
ENSMMUP00000012195	ENSMMUG00000009311	Macaca_mulatta
ENSMFAP00000038280	ENSMFAG00000038510	Macaca_fascicularis
ENSMNEP00000011801	ENSMNEG00000030239	Macaca_nemestrina
ENSTGEP00000019883	ENSTGEG00000015998	Theropithecus_gelada
ENSPANP00000000525	ENSPANG00000015371	Papio_anubis
ENSRBIP00000033284	ENSRBIG00000040402	Rhinopithecus_bieti
ENSRROP00000010557	ENSRROG00000029681	Rhinopithecus_roxellana
ENSPTEP00000004889	ENSPTEG00000005698	Piliocolobus_tephrosceles
ENSCANP00000033574	ENSCANG00000040452	Colobus_angolensis_palliatus
ENSCCAP00000025820	ENSCCAG00000030707	Cebus_capucinus_imitator
ENSSBOP00000023409	ENSSBOG00000028220	Saimiri_boliviensis_boliviensis
ENSCJAP00000000546	ENSCJAG00000043512	Callithrix_jacchus
ENSANAP00000004627	ENSANAG00000020410	Aotus_nancymaae
ENSTSYP00000031745	ENSTSYG00000026822	Carlito_syrichta
ENSOGAP00000017481	ENSOGAG00000030930	Otolemur_garnettii
ENSPCOP00000027100	ENSPCOG00000025995	Propithecus_coquereli
ENSCHOP00000009958	ENSCHOG00000011264	Choloepus_hoffmanni
ENSDNOP00000018219	ENSDNOG00000043376	Dasypus_novemcinctus
ENSDNOP00000029707	ENSDNOG00000034739	Dasypus_novemcinctus
ENSETEP00000009957	ENSETEG00000012279	Echinops_telfairi
ENSPCAP00000009172	ENSPCAG00000009862	Procavia_capensis
