ENSNLEP00000021623	ENSNLEG00000017803	Nomascus_leucogenys
ENSEBUP00000000217	ENSEBUG00000000433	Eptatretus_burgeri
ENSACIP00000030756	ENSACIG00000023779	Amphilophus_citrinellus
ENSVURP00010004675	ENSVURG00010003709	Vombatus_ursinus	ENSVURT00010005309
ENSMMOP00000009385	ENSMMOG00000007262	Mola_mola
ENSDNVP00000018776	ENSDNVG00000013118	Dromaius_novaehollandiae
MGP_CAROLIEiJ_P0079758	MGP_CAROLIEiJ_G0029786	Mus_caroli_strain_CAROLI_EIJ
ENSCAPP00000005924	ENSCAPG00000008120	Cavia_aperea
ENSOANP00000017888	ENSOANG00000011290	Ornithorhynchus_anatinus
ENSBIXP00005040601	ENSBIXG00005023306	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSUPAP00010016646	ENSUPAG00010013253	Urocitellus_parryii
ENSMNEP00000033522	ENSMNEG00000040013	Macaca_nemestrina
ENSMEUP00000012320	ENSMEUG00000013506	Notamacropus_eugenii	ENSMEUT00000013550
ENSGAFP00000021066	ENSGAFG00000014200	Gambusia_affinis
ENSCGRP00001021872	ENSCGRG00001020580	Cricetulus_griseus_CHOK1GS_HDv1
ENSRNOP00000036763	ENSRNOG00000022537	Rattus_norvegicus
ENSLCRP00005004634	ENSLCRG00005002371	Larimichthys_crocea
ENSGWIP00000020928	ENSGWIG00000011332	Gouania_willdenowi
ENSOMEP00000023307	ENSOMEG00000003361	Oryzias_melastigma
ENSCPBP00000019464	ENSCPBG00000014068	Chrysemys_picta_bellii
ENSHBUP00000025880	ENSHBUG00000008204	Haplochromis_burtoni
ENSPREP00000028647	ENSPREG00000019385	Poecilia_reticulata
ENSMSIP00000002470	ENSMSIG00000002333	Mus_spicilegus
ENSARWP00000009861	ENSARWG00000006876	Apteryx_rowi
ENSCMIP00000040736	ENSCMIG00000016976	Callorhinchus_milii
ENSPANP00000002722	ENSPANG00000005225	Papio_anubis
ENSCGOP00000002187	ENSCGOG00000001160	Cottoperca_gobio
ENSCANP00000025966	ENSCANG00000036409	Colobus_angolensis_palliatus
ENSPSIP00000009560	ENSPSIG00000008707	Pelodiscus_sinensis
ENSCHOP00000005606	ENSCHOG00000006322	Choloepus_hoffmanni
ENSLOCP00000005801	ENSLOCG00000004831	Lepisosteus_oculatus
ENSSMRP00000004783	ENSSMRG00000003932	Salvator_merianae
ENSMICP00000015571	ENSMICG00000017089	Microcebus_murinus
ENSIPUP00000027886	ENSIPUG00000018886	Ictalurus_punctatus
ENSCPUP00000007223	ENSCPUG00000005211	Calidris_pugnax
ENSTGUP00000016187	ENSTGUG00000015857	Taeniopygia_guttata
ENSAMEP00000018967	ENSAMEG00000017950	Ailuropoda_melanoleuca	ENSAMET00000019728
ENSSDAP00000005723	ENSSDAG00000005313	Spermophilus_dauricus
ENSPRNP00000013982	ENSPRNG00000007633	Parambassis_ranga
ENSMAMP00000024127	ENSMAMG00000016200	Mastacembelus_armatus
ENSXCOP00000018599	ENSXCOG00000013999	Xiphophorus_couchianus
ENSSHAP00000021696	ENSSHAG00000018372	Sarcophilus_harrisii	ENSSHAT00000021870
ENSDORP00000000034	ENSDORG00000000040	Dipodomys_ordii
ENSAMXP00005000920	ENSAMXG00005000590	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTBEP00000004769	ENSTBEG00000005521	Tupaia_belangeri
ENSMFAP00000040472	ENSMFAG00000046393	Macaca_fascicularis
ENSCAFP00020024153	ENSCAFG00020019000	Canis_lupus_dingo
ENSSPUP00000015808	ENSSPUG00000012083	Sphenodon_punctatus
ENSTSYP00000006689	ENSTSYG00000007279	Carlito_syrichta
ENSCGRP00000017208	ENSCGRG00000012511	Cricetulus_griseus_CriGri_1.0
ENSLBEP00000022177	ENSLBEG00000017025	Labrus_bergylta
ENSACLP00000002020	ENSACLG00000001352	Astatotilapia_calliptera
ENSAOWP00000001461	ENSAOWG00000001047	Apteryx_owenii
ENSLAFP00000028399	ENSLAFG00000022713	Loxodonta_africana
ENSMODP00000011256	ENSMODG00000009029	Monodelphis_domestica	ENSMODT00000011474
ENSPMGP00000022839	ENSPMGG00000018480	Periophthalmus_magnuspinnatus
ENSGGOP00000023648	ENSGGOG00000011430	Gorilla_gorilla
ENSPMEP00000009361	ENSPMEG00000011204	Poecilia_mexicana
ENSONIP00000008998	ENSONIG00000007135	Oreochromis_niloticus
ENSCSAVP00000017211	ENSCSAVG00000010123	Ciona_savignyi
ENSAOCP00000011679	ENSAOCG00000016021	Amphiprion_ocellaris
ENSCGRP00015021386	ENSCGRG00015016318	Cricetulus_griseus_CriGri-PICR
ENSVPAP00000011553	ENSVPAG00000012423	Vicugna_pacos
ENSMUGP00000015332	ENSMUGG00000013210	Meriones_unguiculatus
ENSETEP00000003577	ENSETEG00000004363	Echinops_telfairi
ENSSSCP00000058803	ENSSSCG00000013352	Sus_scrofa_strain_reference
ENSZALP00000020244	ENSZALG00000015950	Zonotrichia_albicollis
ENSGALP00000055120	ENSGALG00000041299	Gallus_gallus
ENSNMEP00000005364	ENSNMEG00000005575	Numida_meleagris
ENSPPYP00000003931	ENSPPYG00000003424	Pongo_abelii
ENSMAUP00000007476	ENSMAUG00000009079	Mesocricetus_auratus
ENSMVIP00005027522	ENSMVIG00005019177	Manacus_vitellinus
ENSNPEP00000001873	ENSNPEG00000001452	Nothoprocta_perdicaria
ENSAPLP00000025121	ENSAPLG00000009091	Anas_platyrhynchos_platyrhynchos
ENSPPRP00000023854	ENSPPRG00000014115	Panthera_pardus
ENSCSAP00000001414	ENSCSAG00000005093	Chlorocebus_sabaeus
ENSSCAP00000013370	ENSSCAG00000009924	Serinus_canaria
ENSBMUP00000028611	ENSBMUG00000021434	Bos_mutus
ENSJHYP00000014102	ENSJHYG00000010932	Junco_hyemalis
ENSOARP00000009454	ENSOARG00000008807	Ovis_aries
ENSMZEP00005019485	ENSMZEG00005014622	Maylandia_zebra
ENSPTRP00000005978	ENSPTRG00000003435	Pan_troglodytes
ENSHCOP00000003739	ENSHCOG00000005132	Hippocampus_comes
ENSTNIP00000012490	ENSTNIG00000009615	Tetraodon_nigroviridis
ENSPCOP00000014085	ENSPCOG00000018715	Propithecus_coquereli
ENSUMAP00000028033	ENSUMAG00000020364	Ursus_maritimus	ENSUMAT00000033160
ENSMUGP00000015104	ENSMUGG00000013007	Meriones_unguiculatus
ENSPKIP00000007314	ENSPKIG00000023259	Paramormyrops_kingsleyae
ENSECAP00000045566	ENSECAG00000016457	Equus_caballus
ENSHHUP00000035359	ENSHHUG00000022250	Hucho_hucho
ENSTGEP00000011947	ENSTGEG00000009738	Theropithecus_gelada
ENSPLAP00000030379	ENSPLAG00000021396	Poecilia_latipinna
ENSPNAP00000019427	ENSPNAG00000006856	Pygocentrus_nattereri
ENSGACP00000022563	ENSGACG00000017086	Gasterosteus_aculeatus
ENSUAMP00000007370	ENSUAMG00000006397	Ursus_americanus	ENSUAMT00000008344
ENSMUSP00000056778	ENSMUSG00000046179	Mus_musculus_strain_reference_(CL57BL6)
ENSMPUP00000013795	ENSMPUG00000013899	Mustela_putorius_furo
ENSBSLP00000010536	ENSBSLG00000005446	Betta_splendens
ENSMMMP00000006331	ENSMMMG00000005636	Marmota_marmota_marmota
ENSLSDP00000011854	ENSLSDG00000008692	Lonchura_striata_domestica
ENSDARP00000105923	ENSDARG00000057323	Danio_rerio
ENSPVIP00000017084	ENSPVIG00000013174	Pogona_vitticeps
ENSELUP00000042738	ENSELUG00000024095	Esox_lucius
ENSLCOP00000015526	ENSLCOG00000011070	Lepidothrix_coronata
ENSSTOP00000007930	ENSSTOG00000008838	Ictidomys_tridecemlineatus
ENSSBOP00000002932	ENSSBOG00000014864	Saimiri_boliviensis_boliviensis
ENSCATP00000003326	ENSCATG00000013052	Cercocebus_atys
ENSCCNP00000016673	ENSCCNG00000016963	Castor_canadensis
ENSAPOP00000008837	ENSAPOG00000011110	Acanthochromis_polyacanthus
ENSPCAP00000003750	ENSPCAG00000003996	Procavia_capensis
ENSRROP00000016370	ENSRROG00000032333	Rhinopithecus_roxellana
ENSSLDP00000012639	ENSSLDG00000010036	Seriola_lalandi_dorsalis
ENSODEP00000001658	ENSODEG00000001309	Octodon_degus
ENSCCAP00000029241	ENSCCAG00000032678	Cebus_capucinus_imitator
ENSMMUP00000075999	ENSMMUG00000010853	Macaca_mulatta
ENSPVAP00000011805	ENSPVAG00000012522	Pteropus_vampyrus	ENSPVAT00000012522
ENSXMAP00000010258	ENSXMAG00000010237	Xiphophorus_maculatus
ENSHGLP00000012051	ENSHGLG00000008627	Heterocephalus_glaber_HetGla_female_1.0
ENSEEUP00000010472	ENSEEUG00000011472	Erinaceus_europaeus	ENSEEUT00000011483
ENSAHAP00000024251	ENSAHAG00000016929	Apteryx_haastii
ENSPTIP00000011352	ENSPTIG00000011789	Panthera_tigris_altaica
ENSJJAP00000022368	ENSJJAG00000022430	Jaculus_jaculus
ENSCJAP00000012663	ENSCJAG00000006811	Callithrix_jacchus
ENSNGAP00000007107	ENSNGAG00000010386	Nannospalax_galili
