ENSOGAP00000020854	ENSOGAG00000027940	Otolemur_garnettii
ENSPFOP00000007179	ENSPFOG00000007277	Poecilia_formosa
ENSRNOP00000075562	ENSRNOG00000061128	Rattus_norvegicus	ENSRNOT00000091499
ENSHGLP00000008200	ENSHGLG00000005932	Heterocephalus_glaber_HetGla_female_1.0
ENSCGRP00000006246	ENSCGRG00000004570	Cricetulus_griseus_CriGri_1.0
ENSRBIP00000001467	ENSRBIG00000007299	Rhinopithecus_bieti
ENSEEEP00000047945	ENSEEEG00000022578	Electrophorus_electricus
ENSEBUP00000007611	ENSEBUG00000004955	Eptatretus_burgeri
ENSMVIP00005012280	ENSMVIG00005008961	Manacus_vitellinus
ENSCJPP00005013035	ENSCJPG00005011033	Coturnix_japonica
ENSSDUP00000031943	ENSSDUG00000022938	Seriola_dumerili
ENSUMAP00000007515	ENSUMAG00000005809	Ursus_maritimus
ENSBSLP00000037513	ENSBSLG00000018198	Betta_splendens
ENSPCIP00000005813	ENSPCIG00000004880	Phascolarctos_cinereus
ENSSSCP00000017892	ENSSSCG00000016884	Sus_scrofa_strain_reference
ENSXETP00000012248	ENSXETG00000014556	Xenopus_tropicalis
ENSATEP00000028302	ENSATEG00000019550	Anabas_testudineus
ENSPTRP00000028885	ENSPTRG00000034409	Pan_troglodytes
ENSFCAP00000037536	ENSFCAG00000032341	Felis_catus
MGP_PahariEiJ_P0027181	MGP_PahariEiJ_G0015985	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0027181
ENSTGUP00000002485	ENSTGUG00000002416	Taeniopygia_guttata
ENSFDAP00000014691	ENSFDAG00000002076	Fukomys_damarensis
ENSSFOP00015020848	ENSSFOG00015013399	Scleropages_formosus
ENSP00000274311	ENSG00000152684	Homo_sapiens
ENSTGEP00000014700	ENSTGEG00000011943	Theropithecus_gelada
ENSCHOP00000000462	ENSCHOG00000000523	Choloepus_hoffmanni
ENSCLAP00000007165	ENSCLAG00000005043	Chinchilla_lanigera
ENSCABP00000002389	ENSCABG00000001861	Chelonoidis_abingdonii
ENSGWIP00000049413	ENSGWIG00000023948	Gouania_willdenowi
ENSMUSP00000104849	ENSMUSG00000042275	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000109226
ENSMOCP00000019618	ENSMOCG00000017554	Microtus_ochrogaster
ENSLBEP00000029611	ENSLBEG00000022399	Labrus_bergylta
ENSOCUP00000021230	ENSOCUG00000023902	Oryctolagus_cuniculus
ENSGACP00000009757	ENSGACG00000007245	Gasterosteus_aculeatus
ENSNBRP00000015246	ENSNBRG00000011799	Neolamprologus_brichardi
ENSPTEP00000005546	ENSPTEG00000006446	Piliocolobus_tephrosceles
ENSPNAP00000027064	ENSPNAG00000012458	Pygocentrus_nattereri
ENSBIXP00005005482	ENSBIXG00005011156	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLCAP00010014579	ENSLCAG00010006755	Lates_calcarifer
ENSGGOP00000012321	ENSGGOG00000012635	Gorilla_gorilla
ENSHHUP00000034181	ENSHHUG00000021465	Hucho_hucho
ENSAPEP00000015808	ENSAPEG00000011235	Amphiprion_percula
ENSSPAP00000011211	ENSSPAG00000008501	Stegastes_partitus
ENSCGRP00001027739	ENSCGRG00001024665	Cricetulus_griseus_CHOK1GS_HDv1
ENSPPRP00000027403	ENSPPRG00000018800	Panthera_pardus
ENSLCOP00000010380	ENSLCOG00000007540	Lepidothrix_coronata
ENSCSEP00000013738	ENSCSEG00000008807	Cynoglossus_semilaevis
ENSNPEP00000001170	ENSNPEG00000000935	Nothoprocta_perdicaria
ENSMALP00000011521	ENSMALG00000008194	Monopterus_albus
ENSPRNP00000029085	ENSPRNG00000014487	Parambassis_ranga
ENSPSIP00000005334	ENSPSIG00000004971	Pelodiscus_sinensis
ENSSLDP00000022919	ENSSLDG00000017884	Seriola_lalandi_dorsalis
ENSORLP00015030660	ENSORLG00015014447	Oryzias_latipes_ASM223469v1
ENSSTOP00000016884	ENSSTOG00000027378	Ictidomys_tridecemlineatus
YCL001W-B_mRNA	YCL001W-B	Saccharomyces_cerevisiae_strain_S288C
ENSCVAP00000013537	ENSCVAG00000016082	Cyprinodon_variegatus
ENSDORP00000015699	ENSDORG00000016689	Dipodomys_ordii	ENSDORT00000016689
ENSCSAP00000012749	ENSCSAG00000016692	Chlorocebus_sabaeus
ENSBTAP00000004233	ENSBTAG00000003268	Bos_taurus
ENSGAGP00000004900	ENSGAGG00000004018	Gopherus_agassizii
ENSSMRP00000024384	ENSSMRG00000018911	Salvator_merianae
ENSCPOP00000015678	ENSCPOG00000027406	Cavia_porcellus
ENSMMMP00000010863	ENSMMMG00000009680	Marmota_marmota_marmota
ENSPEMP00000016310	ENSPEMG00000015584	Peromyscus_maniculatus_bairdii
ENSUAMP00000002779	ENSUAMG00000002535	Ursus_americanus
ENSLAFP00000016223	ENSLAFG00000020551	Loxodonta_africana
ENSMSIP00000000033	ENSMSIG00000000038	Mus_spicilegus	ENSMSIT00000000039
ENSMAMP00000019739	ENSMAMG00000013260	Mastacembelus_armatus
ENSORLP00000043226	ENSORLG00000005827	Oryzias_latipes_ASM223467v1
ENSPCOP00000018565	ENSPCOG00000021178	Propithecus_coquereli
ENSSDAP00000025426	ENSSDAG00000023114	Spermophilus_dauricus
ENSTSYP00000004759	ENSTSYG00000005203	Carlito_syrichta
ENSAMXP00000052646	ENSAMXG00000020299	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCPRP00005024079	ENSCPRG00005016719	Crocodylus_porosus
ENSKMAP00000028747	ENSKMAG00000021305	Kryptolebias_marmoratus
ENSTTRP00000001747	ENSTTRG00000001857	Tursiops_truncatus
ENSCMIP00000000956	ENSCMIG00000000650	Callorhinchus_milii
ENSCGOP00000022267	ENSCGOG00000010254	Cottoperca_gobio
ENSAMEP00000008144	ENSAMEG00000007734	Ailuropoda_melanoleuca
ENSHGLP00100024000	ENSHGLG00100017627	Heterocephalus_glaber_HetGla_1.0
ENSMUGP00000031802	ENSMUGG00000026427	Meriones_unguiculatus	ENSMUGT00000036411
ENSCPBP00000009785	ENSCPBG00000007544	Chrysemys_picta_bellii
ENSVPAP00000001027	ENSVPAG00000001113	Vicugna_pacos
ENSPMEP00000030487	ENSPMEG00000016964	Poecilia_mexicana
ENSANAP00000001635	ENSANAG00000014096	Aotus_nancymaae
ENSMAUP00000008327	ENSMAUG00000009770	Mesocricetus_auratus
ENSNGAP00000019545	ENSNGAG00000019331	Nannospalax_galili
ENSACAP00000004247	ENSACAG00000004352	Anolis_carolinensis
ENSACLP00000015137	ENSACLG00000010305	Astatotilapia_calliptera
ENSAPOP00000034455	ENSAPOG00000023700	Acanthochromis_polyacanthus
