ENSSTOP00000032381	ENSSTOG00000033666	Ictidomys_tridecemlineatus
ENSCGRP00000022754	ENSCGRG00000016483	Cricetulus_griseus_CriGri_1.0
ENSUPAP00010003678	ENSUPAG00010003001	Urocitellus_parryii
ENSECAP00000020893	ENSECAG00000023446	Equus_caballus
ENSPPAP00000015004	ENSPPAG00000030668	Pan_paniscus
ENSCHIP00000023191	ENSCHIG00000020873	Capra_hircus
ENSCANP00000037988	ENSCANG00000042681	Colobus_angolensis_palliatus
ENSUAMP00000025623	ENSUAMG00000019922	Ursus_americanus	ENSUAMT00000028596
ENSMAUP00000000184	ENSMAUG00000000179	Mesocricetus_auratus
ENSCSAP00000004750	ENSCSAG00000008491	Chlorocebus_sabaeus
ENSPSMP00000016664	ENSPSMG00000011864	Prolemur_simus
ENSRBIP00000040457	ENSRBIG00000043646	Rhinopithecus_bieti
ENSSBOP00000011295	ENSSBOG00000022474	Saimiri_boliviensis_boliviensis
ENSMUSP00000104762	ENSMUSG00000044296	Mus_musculus_strain_reference_(CL57BL6)
ENSBBBP00000019578	ENSBBBG00000012952	Bison_bison_bison
ENSCCAP00000008626	ENSCCAG00000022061	Cebus_capucinus_imitator
ENSCPOP00000026306	ENSCPOG00000040313	Cavia_porcellus
ENSNLEP00000001683	ENSNLEG00000001439	Nomascus_leucogenys
ENSMSIP00000011368	ENSMSIG00000009906	Mus_spicilegus
ENSCLAP00000019986	ENSCLAG00000013696	Chinchilla_lanigera
ENSCAFP00020004277	ENSCAFG00020003529	Canis_lupus_dingo
ENSMUGP00000002914	ENSMUGG00000002749	Meriones_unguiculatus
ENSODEP00000010690	ENSODEG00000007967	Octodon_degus
ENSMPUP00000000700	ENSMPUG00000000701	Mustela_putorius_furo
ENSNVIP00000012161	ENSNVIG00000009657	Neovison_vison
MGP_SPRETEiJ_P0027841	MGP_SPRETEiJ_G0017139	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0026468	MGP_CAROLIEiJ_G0016295	Mus_caroli_strain_CAROLI_EIJ
ENSBTAP00000005584	ENSBTAG00000038541	Bos_taurus
ENSBIXP00000022514	ENSBIXG00000025330	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSETEP00000003899	ENSETEG00000004774	Echinops_telfairi
ENSGGOP00000022370	ENSGGOG00000023048	Gorilla_gorilla
ENSAMEP00000009488	ENSAMEG00000009025	Ailuropoda_melanoleuca	ENSAMET00000009898
ENSSSCP00000014911	ENSSSCG00000021640	Sus_scrofa_strain_reference
ENSPPYP00000024658	ENSPPYG00000029650	Pongo_abelii
ENSPANP00000026733	ENSPANG00000032345	Papio_anubis
ENSHGLP00100023341	ENSHGLG00100017153	Heterocephalus_glaber_HetGla_1.0
ENSBMUP00000003536	ENSBMUG00000002790	Bos_mutus
ENSHGLP00000018538	ENSHGLG00000013266	Heterocephalus_glaber_HetGla_female_1.0
ENSCGRP00015034256	ENSCGRG00015025815	Cricetulus_griseus_CriGri-PICR
ENSPTIP00000026054	ENSPTIG00000021605	Panthera_tigris_altaica
ENSOCUP00000029751	ENSOCUG00000016395	Oryctolagus_cuniculus
ENSPPRP00000018415	ENSPPRG00000010083	Panthera_pardus
ENSEEUP00000010387	ENSEEUG00000011407	Erinaceus_europaeus
ENSSDAP00000021098	ENSSDAG00000019181	Spermophilus_dauricus
ENSMFAP00000043411	ENSMFAG00000039136	Macaca_fascicularis
ENSMLEP00000040882	ENSMLEG00000044457	Mandrillus_leucophaeus
ENSFDAP00000011871	ENSFDAG00000019311	Fukomys_damarensis
ENSCJAP00000035103	ENSCJAG00000018904	Callithrix_jacchus
ENSUMAP00000033200	ENSUMAG00000023935	Ursus_maritimus	ENSUMAT00000039279
MGP_PahariEiJ_P0033246	MGP_PahariEiJ_G0017430	Mus_pahari_strain_PAHARI_EIJ
ENSMNEP00000012894	ENSMNEG00000030724	Macaca_nemestrina
ENSMOCP00000024575	ENSMOCG00000020947	Microtus_ochrogaster
ENSPEMP00000009484	ENSPEMG00000010770	Peromyscus_maniculatus_bairdii
ENSMMMP00000012132	ENSMMMG00000010856	Marmota_marmota_marmota
ENSPCOP00000018199	ENSPCOG00000020986	Propithecus_coquereli
ENSLAFP00000015640	ENSLAFG00000018662	Loxodonta_africana
ENSPTRP00000059914	ENSPTRG00000041282	Pan_troglodytes
ENSCAPP00000008525	ENSCAPG00000010215	Cavia_aperea
ENSOCUP00000041578	ENSOCUG00000033583	Oryctolagus_cuniculus
ENSTGEP00000021384	ENSTGEG00000017252	Theropithecus_gelada
ENSRNOP00000036773	ENSRNOG00000030517	Rattus_norvegicus
ENSTBEP00000001471	ENSTBEG00000001713	Tupaia_belangeri
ENSPTEP00000029503	ENSPTEG00000028902	Piliocolobus_tephrosceles
ENSOGAP00000020764	ENSOGAG00000032797	Otolemur_garnettii
ENSNGAP00000007637	ENSNGAG00000010850	Nannospalax_galili
ENSCCNP00000002582	ENSCCNG00000002820	Castor_canadensis
ENSRROP00000011851	ENSRROG00000030257	Rhinopithecus_roxellana
ENSP00000414887	ENSG00000234284	Homo_sapiens
ENSVVUP00000001590	ENSVVUG00000001298	Vulpes_vulpes
ENSCATP00000010256	ENSCATG00000029400	Cercocebus_atys
ENSMICP00000041481	ENSMICG00000033568	Microcebus_murinus
ENSCGRP00001011868	ENSCGRG00001013407	Cricetulus_griseus_CHOK1GS_HDv1
