ENSCATP00000016216	ENSCATG00000032048	Cercocebus_atys
ENSRBIP00000022167	ENSRBIG00000035031	Rhinopithecus_bieti
ENSFALP00000006943	ENSFALG00000006656	Ficedula_albicollis
ENSOANP00000003683	ENSOANG00000002322	Ornithorhynchus_anatinus
ENSUPAP00010024657	ENSUPAG00010019492	Urocitellus_parryii
ENSMMOP00000006247	ENSMMOG00000004885	Mola_mola
ENSOCUP00000013068	ENSOCUG00000015196	Oryctolagus_cuniculus
ENSPTRP00000035031	ENSPTRG00000020485	Pan_troglodytes
ENSCJAP00000050811	ENSCJAG00000006576	Callithrix_jacchus
ENSTTRP00000010326	ENSTTRG00000010888	Tursiops_truncatus
ENSORLP00015011206	ENSORLG00015012001	Oryzias_latipes_ASM223469v1
ENSCINP00000008768	ENSCING00000018419	Ciona_intestinalis
F53F10.2a.1	WBGene00018764	Caenorhabditis_elegans_strain_N2
ENSACIP00000014700	ENSACIG00000011334	Amphilophus_citrinellus
ENSMSIP00000003163	ENSMSIG00000002916	Mus_spicilegus
ENSCGRP00000021163	ENSCGRG00000015373	Cricetulus_griseus_CriGri_1.0
ENSCPRP00005022331	ENSCPRG00005015569	Crocodylus_porosus
ENSCGRP00015005533	ENSCGRG00015004289	Cricetulus_griseus_CriGri-PICR
ENSUMAP00000010959	ENSUMAG00000008252	Ursus_maritimus
ENSDORP00000019865	ENSDORG00000029290	Dipodomys_ordii
ENSGACP00000007002	ENSGACG00000005287	Gasterosteus_aculeatus
ENSPCIP00000038630	ENSPCIG00000028406	Phascolarctos_cinereus
ENSACLP00000038848	ENSACLG00000026182	Astatotilapia_calliptera
ENSPPAP00000014350	ENSPPAG00000030323	Pan_paniscus
ENSOGAP00000002022	ENSOGAG00000002265	Otolemur_garnettii
ENSGAGP00000004721	ENSGAGG00000003885	Gopherus_agassizii
ENSAPLP00000009279	ENSAPLG00000009531	Anas_platyrhynchos_platyrhynchos
ENSCINP00000026273	ENSCING00000004250	Ciona_intestinalis
ENSCINP00000026272	ENSCING00000024559	Ciona_intestinalis
ENSGAGP00000017274	ENSGAGG00000012860	Gopherus_agassizii
ENSARWP00000015954	ENSARWG00000011021	Apteryx_rowi
ENSCHIP00000026706	ENSCHIG00000022939	Capra_hircus
ENSTGUP00000012498	ENSTGUG00000012128	Taeniopygia_guttata
ENSJHYP00000009298	ENSJHYG00000007337	Junco_hyemalis
ENSHGLP00100016337	ENSHGLG00100012064	Heterocephalus_glaber_HetGla_1.0
ENSDNOP00000006572	ENSDNOG00000008487	Dasypus_novemcinctus
ENSCSAP00000008122	ENSCSAG00000011928	Chlorocebus_sabaeus
ENSPNYP00000014373	ENSPNYG00000010912	Pundamilia_nyererei
ENSACIP00000014442	ENSACIG00000011238	Amphilophus_citrinellus
ENSMMMP00000018522	ENSMMMG00000016403	Marmota_marmota_marmota
ENSAMEP00000012023	ENSAMEG00000011415	Ailuropoda_melanoleuca
ENSMOCP00000015290	ENSMOCG00000014529	Microtus_ochrogaster
ENSCSAVP00000017221	ENSCSAVG00000010129	Ciona_savignyi
ENSGAFP00000029323	ENSGAFG00000019787	Gambusia_affinis
ENSMGAP00000014821	ENSMGAG00000014011	Meleagris_gallopavo
ENSMODP00000021660	ENSMODG00000017357	Monodelphis_domestica
ENSACLP00000025642	ENSACLG00000017457	Astatotilapia_calliptera
ENSPTIP00000005184	ENSPTIG00000007491	Panthera_tigris_altaica
ENSPTEP00000006600	ENSPTEG00000007565	Piliocolobus_tephrosceles
ENSMICP00000026784	ENSMICG00000026796	Microcebus_murinus
ENSIPUP00000002588	ENSIPUG00000001874	Ictalurus_punctatus
ENSEEUP00000000715	ENSEEUG00000000804	Erinaceus_europaeus
ENSJJAP00000016838	ENSJJAG00000018565	Jaculus_jaculus
ENSMICP00000021013	ENSMICG00000012460	Microcebus_murinus
ENSGMOP00000004527	ENSGMOG00000004269	Gadus_morhua
ENSCPBP00000037639	ENSCPBG00000026068	Chrysemys_picta_bellii
ENSCJPP00005013051	ENSCJPG00005011044	Coturnix_japonica
ENSAOCP00000022229	ENSAOCG00000000415	Amphiprion_ocellaris
ENSMICP00000011393	ENSMICG00000012511	Microcebus_murinus
ENSMFAP00000018873	ENSMFAG00000032478	Macaca_fascicularis
ENSSDAP00000002513	ENSSDAG00000002398	Spermophilus_dauricus
ENSNMEP00000004273	ENSNMEG00000004707	Numida_meleagris
ENSLCOP00000012370	ENSLCOG00000008959	Lepidothrix_coronata
ENSPANP00000012948	ENSPANG00000011223	Papio_anubis
ENSFDAP00000014849	ENSFDAG00000002357	Fukomys_damarensis
ENSGGOP00000014531	ENSGGOG00000014891	Gorilla_gorilla
ENSCANP00000028623	ENSCANG00000037766	Colobus_angolensis_palliatus
ENSSLDP00000016709	ENSSLDG00000013226	Seriola_lalandi_dorsalis
ENSPVAP00000000918	ENSPVAG00000000966	Pteropus_vampyrus
ENSODEP00000000519	ENSODEG00000000437	Octodon_degus
ENSAMXP00000014432	ENSAMXG00000014026	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSXETP00000005733	ENSXETG00000009591	Xenopus_tropicalis
ENSJJAP00000016571	ENSJJAG00000018382	Jaculus_jaculus
ENSPVAP00000003413	ENSPVAG00000003611	Pteropus_vampyrus
ENSPREP00000006486	ENSPREG00000004500	Poecilia_reticulata
ENSETEP00000010890	ENSETEG00000013430	Echinops_telfairi
ENSMAMP00000005470	ENSMAMG00000003682	Mastacembelus_armatus
ENSNVIP00000022038	ENSNVIG00000017195	Neovison_vison
ENSLACP00000000919	ENSLACG00000000822	Latimeria_chalumnae
ENSNGAP00000002876	ENSNGAG00000002857	Nannospalax_galili
ENSSFOP00015004834	ENSSFOG00015003183	Scleropages_formosus
ENSDNOP00000026681	ENSDNOG00000040458	Dasypus_novemcinctus
ENSOANP00000007736	ENSOANG00000004884	Ornithorhynchus_anatinus
ENSDNOP00000032672	ENSDNOG00000041389	Dasypus_novemcinctus
ENSCPOP00000027355	ENSCPOG00000004919	Cavia_porcellus
ENSDORP00000004115	ENSDORG00000004402	Dipodomys_ordii
ENSPREP00000010313	ENSPREG00000007004	Poecilia_reticulata
ENSABRP00000011960	ENSABRG00000010758	Anser_brachyrhynchus
ENSMSIP00000022542	ENSMSIG00000019136	Mus_spicilegus
ENSECAP00000020295	ENSECAG00000022690	Equus_caballus
K11C4.4.1	WBGene00003844	Caenorhabditis_elegans_strain_N2
ENSJJAP00000009408	ENSJJAG00000013286	Jaculus_jaculus
ENSTNIP00000004466	ENSTNIG00000002044	Tetraodon_nigroviridis
ENSMVIP00005020656	ENSMVIG00005014577	Manacus_vitellinus
ENSNLEP00000016796	ENSNLEG00000013820	Nomascus_leucogenys
ENSUAMP00000019263	ENSUAMG00000015219	Ursus_americanus
ENSMSIP00000038278	ENSMSIG00000031904	Mus_spicilegus
ENSMUSP00000128661	ENSMUSG00000011179	Mus_musculus_strain_reference_(CL57BL6)
ENSPNYP00000005263	ENSPNYG00000004085	Pundamilia_nyererei
ENSSMAP00000016589	ENSSMAG00000010181	Scophthalmus_maximus
ENSBIXP00005018794	ENSBIXG00005022099	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOARP00000001565	ENSOARG00000001502	Ovis_aries
ENSPPYP00000001819	ENSPPYG00000001578	Pongo_abelii
ENSSPAP00000013799	ENSSPAG00000010146	Stegastes_partitus
ENSKMAP00000004588	ENSKMAG00000003504	Kryptolebias_marmoratus
ENSACIP00000004758	ENSACIG00000003639	Amphilophus_citrinellus
ENSSMAP00000024306	ENSSMAG00000014838	Scophthalmus_maximus
ENSCGRP00001009158	ENSCGRG00001011303	Cricetulus_griseus_CHOK1GS_HDv1
ENSDNOP00000029228	ENSDNOG00000033265	Dasypus_novemcinctus
ENSLCAP00010046751	ENSLCAG00010021669	Lates_calcarifer
ENSHCOP00000011256	ENSHCOG00000014039	Hippocampus_comes
ENSLSDP00000001270	ENSLSDG00000001003	Lonchura_striata_domestica
ENSBTAP00000027374	ENSBTAG00000020548	Bos_taurus
ENSSMRP00000027416	ENSSMRG00000021142	Salvator_merianae
ENSEASP00005018205	ENSEASG00005012565	Equus_asinus_asinus
ENSPCOP00000012958	ENSPCOG00000018085	Propithecus_coquereli
ENSPRNP00000030746	ENSPRNG00000015146	Parambassis_ranga
ENSCLAP00000009644	ENSCLAG00000006685	Chinchilla_lanigera
ENSCHOP00000004587	ENSCHOG00000005164	Choloepus_hoffmanni
ENSEASP00005000234	ENSEASG00005000268	Equus_asinus_asinus
ENSVPAP00000007239	ENSVPAG00000007782	Vicugna_pacos
ENSUMAP00000004198	ENSUMAG00000003406	Ursus_maritimus
ENSPMAP00000004767	ENSPMAG00000004321	Petromyzon_marinus
ENSMUSP00000030581	ENSMUSG00000028789	Mus_musculus_strain_reference_(CL57BL6)
ENSCPBP00000014786	ENSCPBG00000010982	Chrysemys_picta_bellii
ENSCPGP00000019383	ENSCPGG00000013578	Calidris_pygmaea
