ENSPTRP00000039372	ENSPTRG00000023739	Pan_troglodytes
ENSP00000361544	ENSG00000198088	Homo_sapiens
ENSGGOP00000028712	ENSGGOG00000034932	Gorilla_gorilla
ENSPPYP00000023070	ENSPPYG00000020610	Pongo_abelii
ENSPPAP00000008427	ENSPPAG00000027448	Pan_paniscus
ENSNLEP00000016844	ENSNLEG00000013865	Nomascus_leucogenys
ENSMMUP00000066067	ENSMMUG00000053495	Macaca_mulatta
ENSMFAP00000000619	ENSMFAG00000033608	Macaca_fascicularis
ENSMNEP00000042622	ENSMNEG00000044038	Macaca_nemestrina
ENSPANP00000005813	ENSPANG00000022676	Papio_anubis
ENSTGEP00000018007	ENSTGEG00000014568	Theropithecus_gelada
ENSCATP00000027794	ENSCATG00000037238	Cercocebus_atys
ENSMLEP00000004280	ENSMLEG00000019349	Mandrillus_leucophaeus
ENSCSAP00000005391	ENSCSAG00000009139	Chlorocebus_sabaeus
ENSRBIP00000016119	ENSRBIG00000032117	Rhinopithecus_bieti
ENSRROP00000011124	ENSRROG00000029930	Rhinopithecus_roxellana
ENSCANP00000024091	ENSCANG00000035455	Colobus_angolensis_palliatus
ENSPTEP00000032434	ENSPTEG00000031173	Piliocolobus_tephrosceles
ENSCCAP00000001975	ENSCCAG00000012541	Cebus_capucinus_imitator
ENSSBOP00000019983	ENSSBOG00000026593	Saimiri_boliviensis_boliviensis
ENSCJAP00000014696	ENSCJAG00000007942	Callithrix_jacchus
ENSANAP00000000931	ENSANAG00000007934	Aotus_nancymaae
ENSTSYP00000030147	ENSTSYG00000035322	Carlito_syrichta
ENSMICP00000008883	ENSMICG00000009757	Microcebus_murinus
ENSPCOP00000013568	ENSPCOG00000018421	Propithecus_coquereli
ENSPSMP00000004268	ENSPSMG00000003430	Prolemur_simus
ENSPSMP00000025879	ENSPSMG00000018144	Prolemur_simus
ENSCHIP00000004645	ENSCHIG00000008821	Capra_hircus
ENSOARP00000020181	ENSOARG00000018787	Ovis_aries
ENSBIXP00005036905	ENSBIXG00005007814	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSSCP00000020029	ENSSSCG00000012557	Sus_scrofa_strain_reference
ENSTTRP00000016248	ENSTTRG00000017141	Tursiops_truncatus
ENSVPAP00000003384	ENSVPAG00000003649	Vicugna_pacos
ENSPVAP00000001686	ENSPVAG00000001787	Pteropus_vampyrus
ENSECAP00000040738	ENSECAG00000038630	Equus_caballus
ENSEASP00005010885	ENSEASG00005007680	Equus_asinus_asinus
ENSUMAP00000014633	ENSUMAG00000010765	Ursus_maritimus	ENSUMAT00000017349
ENSUAMP00000028320	ENSUAMG00000021896	Ursus_americanus	ENSUAMT00000031627
ENSAMEP00000011016	ENSAMEG00000010461	Ailuropoda_melanoleuca	ENSAMET00000011487
ENSNVIP00000024801	ENSNVIG00000019205	Neovison_vison
ENSMPUP00000003725	ENSMPUG00000003755	Mustela_putorius_furo
ENSCAFP00020008334	ENSCAFG00020006752	Canis_lupus_dingo
ENSCAFP00000026531	ENSCAFG00000017963	Canis_lupus_familiaris
ENSVVUP00000013242	ENSVVUG00000009729	Vulpes_vulpes
ENSPPRP00000029117	ENSPPRG00000021569	Panthera_pardus
ENSPTIP00000022156	ENSPTIG00000019062	Panthera_tigris_altaica
ENSFCAP00000001833	ENSFCAG00000001984	Felis_catus
ENSUPAP00010017305	ENSUPAG00010013799	Urocitellus_parryii
ENSSDAP00000002498	ENSSDAG00000002406	Spermophilus_dauricus
ENSSTOP00000027792	ENSSTOG00000030643	Ictidomys_tridecemlineatus
ENSMMMP00000012725	ENSMMMG00000011364	Marmota_marmota_marmota
ENSMUSP00000098772	ENSMUSG00000072944	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0096609	MGP_SPRETEiJ_G0034618	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000017335	ENSMSIG00000014797	Mus_spicilegus
MGP_CAROLIEiJ_P0092845	MGP_CAROLIEiJ_G0033448	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0090457	MGP_PahariEiJ_G0031987	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075626	ENSRNOG00000057753	Rattus_norvegicus
