ENSUAMP00000036222	ENSUAMG00000027447	Ursus_americanus
ENSUMAP00000024476	ENSUMAG00000017806	Ursus_maritimus
ENSAMEP00000005107	ENSAMEG00000004820	Ailuropoda_melanoleuca
ENSMPUP00000005955	ENSMPUG00000006007	Mustela_putorius_furo
ENSNVIP00000004599	ENSNVIG00000003538	Neovison_vison
ENSCAFP00000009038	ENSCAFG00000006046	Canis_lupus_familiaris
ENSVVUP00000002713	ENSVVUG00000001997	Vulpes_vulpes
ENSPPRP00000017544	ENSPPRG00000009495	Panthera_pardus
ENSPTIP00000005160	ENSPTIG00000007444	Panthera_tigris_altaica
ENSFCAP00000049562	ENSFCAG00000044600	Felis_catus
ENSOARP00000015951	ENSOARG00000014842	Ovis_aries
ENSCHIP00000007371	ENSCHIG00000010899	Capra_hircus
ENSBMUP00000024467	ENSBMUG00000018373	Bos_mutus
ENSBBBP00000017577	ENSBBBG00000010070	Bison_bison_bison
ENSBIXP00000026052	ENSBIXG00000028137	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000060400	ENSBTAG00000049122	Bos_taurus
ENSBIXP00005034737	ENSBIXG00005015760	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSSCP00000056442	ENSSSCG00000011186	Sus_scrofa_strain_reference
ENSECAP00000010498	ENSECAG00000012733	Equus_caballus
ENSEASP00005007805	ENSEASG00005005678	Equus_asinus_asinus
ENSMLUP00000020747	ENSMLUG00000010691	Myotis_lucifugus
ENSMSIP00000013203	ENSMSIG00000011286	Mus_spicilegus
MGP_SPRETEiJ_P0093199	MGP_SPRETEiJ_G0033755	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0093199
ENSMUSP00000139398	ENSMUSG00000091345	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0089479	MGP_CAROLIEiJ_G0032609	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0025156	MGP_PahariEiJ_G0015477	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000068883	ENSRNOG00000010663	Rattus_norvegicus
ENSMUGP00000020822	ENSMUGG00000017477	Meriones_unguiculatus
ENSCGRP00001021440	ENSCGRG00001020261	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000021660	ENSCGRG00000015716	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015011644	ENSCGRG00015008812	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000020649	ENSMAUG00000018573	Mesocricetus_auratus
ENSMOCP00000020284	ENSMOCG00000017991	Microtus_ochrogaster
ENSPEMP00000028072	ENSPEMG00000023705	Peromyscus_maniculatus_bairdii
ENSNGAP00000006604	ENSNGAG00000009750	Nannospalax_galili
ENSCCNP00000012272	ENSCCNG00000012663	Castor_canadensis
ENSCPOP00000006782	ENSCPOG00000007514	Cavia_porcellus
ENSCAPP00000004380	ENSCAPG00000006900	Cavia_aperea
ENSODEP00000024921	ENSODEG00000018227	Octodon_degus
ENSSDAP00000012165	ENSSDAG00000010859	Spermophilus_dauricus
ENSUPAP00010028363	ENSUPAG00010022393	Urocitellus_parryii
ENSMMMP00000001104	ENSMMMG00000000877	Marmota_marmota_marmota
ENSOCUP00000020700	ENSOCUG00000024036	Oryctolagus_cuniculus
ENSPTRP00000026513	ENSPTRG00000015386	Pan_troglodytes
ENSPPAP00000004063	ENSPPAG00000017205	Pan_paniscus
ENSGGOP00000006550	ENSGGOG00000006695	Gorilla_gorilla
ENSP00000265379	ENSG00000172752	Homo_sapiens
ENSNLEP00000002266	ENSNLEG00000001778	Nomascus_leucogenys
ENSTGEP00000019377	ENSTGEG00000015588	Theropithecus_gelada
ENSPANP00000009539	ENSPANG00000008320	Papio_anubis
ENSMFAP00000008589	ENSMFAG00000001186	Macaca_fascicularis
ENSMNEP00000043383	ENSMNEG00000044376	Macaca_nemestrina
ENSMMUP00000072652	ENSMMUG00000020377	Macaca_mulatta
ENSCSAP00000006436	ENSCSAG00000010280	Chlorocebus_sabaeus
ENSRROP00000015871	ENSRROG00000032098	Rhinopithecus_roxellana
ENSRBIP00000040756	ENSRBIG00000043776	Rhinopithecus_bieti
ENSCANP00000029945	ENSCANG00000038622	Colobus_angolensis_palliatus
ENSCCAP00000000561	ENSCCAG00000002837	Cebus_capucinus_imitator
ENSSBOP00000010887	ENSSBOG00000022269	Saimiri_boliviensis_boliviensis
ENSCJAP00000006101	ENSCJAG00000003344	Callithrix_jacchus
ENSANAP00000004419	ENSANAG00000020296	Aotus_nancymaae
ENSTSYP00000011639	ENSTSYG00000012688	Carlito_syrichta
ENSPCOP00000000835	ENSPCOG00000002663	Propithecus_coquereli
ENSPSMP00000013914	ENSPSMG00000009992	Prolemur_simus
ENSOGAP00000017104	ENSOGAG00000028058	Otolemur_garnettii
ENSLAFP00000020889	ENSLAFG00000029126	Loxodonta_africana
ENSDNOP00000022614	ENSDNOG00000043910	Dasypus_novemcinctus
ENSVURP00010028825	ENSVURG00010022059	Vombatus_ursinus
ENSPCIP00000037837	ENSPCIG00000027854	Phascolarctos_cinereus
