ENSACAP00000002292	ENSACAG00000002360	Anolis_carolinensis	ENSACAT00000002352
ENSLACP00000018732	ENSLACG00000016491	Latimeria_chalumnae	ENSLACT00000018865
ENSEEEP00000033809	ENSEEEG00000016095	Electrophorus_electricus
ENSDARP00000063441	ENSDARG00000053530	Danio_rerio
ENSCHAP00000019860	ENSCHAG00000009659	Clupea_harengus
ENSPMEP00000008794	ENSPMEG00000010567	Poecilia_mexicana
ENSPLAP00000013758	ENSPLAG00000017363	Poecilia_latipinna
ENSPFOP00000002343	ENSPFOG00000002137	Poecilia_formosa
ENSPREP00000018855	ENSPREG00000012775	Poecilia_reticulata
ENSXCOP00000027554	ENSXCOG00000020562	Xiphophorus_couchianus
ENSFHEP00000016600	ENSFHEG00000018345	Fundulus_heteroclitus
ENSGWIP00000019744	ENSGWIG00000010760	Gouania_willdenowi
ENSAOCP00000017657	ENSAOCG00000022856	Amphiprion_ocellaris
ENSAPEP00000021521	ENSAPEG00000015277	Amphiprion_percula
ENSSPAP00000027484	ENSSPAG00000020721	Stegastes_partitus
ENSACLP00000007536	ENSACLG00000005081	Astatotilapia_calliptera
ENSACLP00000015853	ENSACLG00000010786	Astatotilapia_calliptera
ENSPNYP00000001138	ENSPNYG00000000821	Pundamilia_nyererei
ENSNBRP00000020078	ENSNBRG00000015409	Neolamprologus_brichardi
ENSONIP00000002428	ENSONIG00000001939	Oreochromis_niloticus
ENSNBRP00000019970	ENSNBRG00000015398	Neolamprologus_brichardi
ENSLBEP00000004829	ENSLBEG00000003729	Labrus_bergylta
ENSMMOP00000017632	ENSMMOG00000013382	Mola_mola
ENSLCRP00005057353	ENSLCRG00005021297	Larimichthys_crocea
ENSSDUP00000006422	ENSSDUG00000004743	Seriola_dumerili
ENSSLDP00000004896	ENSSLDG00000003732	Seriola_lalandi_dorsalis
ENSTNIP00000001281	ENSTNIG00000006739	Tetraodon_nigroviridis
ENSORLP00020029580	ENSORLG00020013602	Oryzias_latipes_ASM223471v1
ENSORLP00000008102	ENSORLG00000006454	Oryzias_latipes_ASM223467v1
ENSGMOP00000012340	ENSGMOG00000011535	Gadus_morhua
ENSELUP00000014095	ENSELUG00000014141	Esox_lucius
ENSEBUP00000026959	ENSEBUG00000016582	Eptatretus_burgeri
ENSCINP00000012139	ENSCING00000012966	Ciona_intestinalis
ENSCINP00000023975	ENSCING00000012965	Ciona_intestinalis
ENSCSAVP00000016207	ENSCSAVG00000009530	Ciona_savignyi
ENSCSAVP00000018537	ENSCSAVG00000010883	Ciona_savignyi
ENSCINP00000036442	ENSCING00000024726	Ciona_intestinalis
