ENSLCAP00010023693	ENSLCAG00010011129	Lates_calcarifer
ENSSLDP00000027037	ENSSLDG00000021000	Seriola_lalandi_dorsalis
ENSPREP00000031331	ENSPREG00000021224	Poecilia_reticulata
ENSAPOP00000001752	ENSAPOG00000003090	Acanthochromis_polyacanthus
ENSGWIP00000003451	ENSGWIG00000001893	Gouania_willdenowi
ENSSDUP00000017520	ENSSDUG00000012809	Seriola_dumerili
ENSCVAP00000025098	ENSCVAG00000009614	Cyprinodon_variegatus
ENSHHUP00000059671	ENSHHUG00000035428	Hucho_hucho
ENSHCOP00000017770	ENSHCOG00000001819	Hippocampus_comes
ENSACIP00000008254	ENSACIG00000006485	Amphilophus_citrinellus
ENSNPEP00000017877	ENSNPEG00000013307	Nothoprocta_perdicaria
ENSNBRP00000018877	ENSNBRG00000014551	Neolamprologus_brichardi
ENSMALP00000018534	ENSMALG00000012922	Monopterus_albus
ENSXCOP00000024239	ENSXCOG00000018100	Xiphophorus_couchianus
ENSNSUP00000016555	ENSNSUG00000012213	Notechis_scutatus
ENSHCOP00000002489	ENSHCOG00000003645	Hippocampus_comes
ENSAPOP00000026039	ENSAPOG00000009559	Acanthochromis_polyacanthus
ENSEEEP00000019996	ENSEEEG00000009775	Electrophorus_electricus
ENSAMXP00000050892	ENSAMXG00000040480	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAOCP00000006477	ENSAOCG00000010106	Amphiprion_ocellaris
ENSIPUP00000003340	ENSIPUG00000002381	Ictalurus_punctatus
ENSAMXP00000029508	ENSAMXG00000033127	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSHBUP00000031231	ENSHBUG00000016794	Haplochromis_burtoni
ENSAPEP00000027728	ENSAPEG00000019688	Amphiprion_percula
ENSGAFP00000005362	ENSGAFG00000003652	Gambusia_affinis
ENSCABP00000000136	ENSCABG00000000120	Chelonoidis_abingdonii
ENSIPUP00000032083	ENSIPUG00000021566	Ictalurus_punctatus
ENSSFOP00015007442	ENSSFOG00015004899	Scleropages_formosus
ENSPMGP00000017973	ENSPMGG00000014705	Periophthalmus_magnuspinnatus
ENSNBRP00000027902	ENSNBRG00000021271	Neolamprologus_brichardi
ENSAPLP00000018533	ENSAPLG00000023840	Anas_platyrhynchos_platyrhynchos
ENSSMAP00000023151	ENSSMAG00000014118	Scophthalmus_maximus	ENSSMAT00000023418
ENSPLAP00000007859	ENSPLAG00000010298	Poecilia_latipinna
ENSCSEP00000001190	ENSCSEG00000000828	Cynoglossus_semilaevis
ENSSFOP00015004483	ENSSFOG00015002940	Scleropages_formosus
ENSSPAP00000012765	ENSSPAG00000009677	Stegastes_partitus
ENSECRP00000008629	ENSECRG00000005784	Erpetoichthys_calabaricus
