ENSCHAP00000055161	ENSCHAG00000024926	Clupea_harengus	ENSCHAT00000059483
ENSDCDP00000050062	ENSDCDG00000030607	Denticeps_clupeoides	ENSDCDT00000061705
ENSAMXP00000034202	ENSAMXG00000030061	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000057965
ENSPNAP00000007897	ENSPNAG00000002839	Pygocentrus_nattereri	ENSPNAT00000001069
ENSIPUP00000009009	ENSIPUG00000006071	Ictalurus_punctatus	ENSIPUT00000009403
ENSEEEP00000026116	ENSEEEG00000012648	Electrophorus_electricus	ENSEEET00000026413
ENSDARP00000101105	ENSDARG00000075759	Danio_rerio
ENSHHUP00000090829	ENSHHUG00000052431	Hucho_hucho
ENSHHUP00000024576	ENSHHUG00000015433	Hucho_hucho
ENSELUP00000015812	ENSELUG00000015792	Esox_lucius
ENSTNIP00000021984	ENSTNIG00000018801	Tetraodon_nigroviridis
ENSTNIP00000004309	ENSTNIG00000001923	Tetraodon_nigroviridis
ENSMMOP00000010158	ENSMMOG00000007850	Mola_mola
ENSMALP00000011222	ENSMALG00000007968	Monopterus_albus
ENSGACP00000022889	ENSGACG00000017331	Gasterosteus_aculeatus
ENSLCAP00010037670	ENSLCAG00010017642	Lates_calcarifer
ENSSMAP00000011803	ENSSMAG00000007254	Scophthalmus_maximus
ENSSDUP00000024094	ENSSDUG00000017510	Seriola_dumerili
ENSSLDP00000027927	ENSSLDG00000021630	Seriola_lalandi_dorsalis
ENSCGOP00000000980	ENSCGOG00000000470	Cottoperca_gobio
ENSLBEP00000033286	ENSLBEG00000025062	Labrus_bergylta
ENSLCRP00005005769	ENSLCRG00005002932	Larimichthys_crocea
ENSMAMP00000025021	ENSMAMG00000016799	Mastacembelus_armatus
ENSAOCP00000004244	ENSAOCG00000007644	Amphiprion_ocellaris
ENSAPEP00000000215	ENSAPEG00000000159	Amphiprion_percula
ENSAPOP00000000387	ENSAPOG00000001579	Acanthochromis_polyacanthus
ENSSPAP00000010013	ENSSPAG00000007623	Stegastes_partitus
ENSPRNP00000018842	ENSPRNG00000009857	Parambassis_ranga
ENSACLP00000013342	ENSACLG00000009089	Astatotilapia_calliptera
ENSMZEP00005020255	ENSMZEG00005015188	Maylandia_zebra
ENSPNYP00000025770	ENSPNYG00000019428	Pundamilia_nyererei
ENSHBUP00000030573	ENSHBUG00000015778	Haplochromis_burtoni
ENSNBRP00000012848	ENSNBRG00000009997	Neolamprologus_brichardi
ENSONIP00000008929	ENSONIG00000007076	Oreochromis_niloticus
ENSACIP00000027699	ENSACIG00000021444	Amphilophus_citrinellus
ENSFHEP00000026408	ENSFHEG00000009300	Fundulus_heteroclitus
ENSCVAP00000004845	ENSCVAG00000006183	Cyprinodon_variegatus
ENSXMAP00000025399	ENSXMAG00000009864	Xiphophorus_maculatus
ENSXCOP00000001087	ENSXCOG00000000880	Xiphophorus_couchianus
ENSGAFP00000021415	ENSGAFG00000014423	Gambusia_affinis
ENSPLAP00000006989	ENSPLAG00000009237	Poecilia_latipinna
ENSPFOP00000008766	ENSPFOG00000008620	Poecilia_formosa
ENSPMEP00000013918	ENSPMEG00000016334	Poecilia_mexicana
ENSPREP00000027581	ENSPREG00000018648	Poecilia_reticulata
ENSKMAP00000027713	ENSKMAG00000020543	Kryptolebias_marmoratus
ENSORLP00000036442	ENSORLG00000022018	Oryzias_latipes_ASM223467v1
ENSORLP00015008110	ENSORLG00015008955	Oryzias_latipes_ASM223469v1
ENSORLP00020025267	ENSORLG00020007186	Oryzias_latipes_ASM223471v1
ENSOMEP00000017696	ENSOMEG00000019399	Oryzias_melastigma
ENSTRUP00000048767	ENSTRUG00000015288	Takifugu_rubripes
ENSCSEP00000002330	ENSCSEG00000001562	Cynoglossus_semilaevis
ENSATEP00000032018	ENSATEG00000022040	Anabas_testudineus
ENSBSLP00000007978	ENSBSLG00000004019	Betta_splendens
ENSHCOP00000005635	ENSHCOG00000007338	Hippocampus_comes
ENSSFOP00015015960	ENSSFOG00015010258	Scleropages_formosus
ENSPKIP00000020100	ENSPKIG00000004999	Paramormyrops_kingsleyae
ENSLOCP00000014906	ENSLOCG00000012106	Lepisosteus_oculatus
ENSGMOP00000011741	ENSGMOG00000010970	Gadus_morhua
ENSPMGP00000024773	ENSPMGG00000020052	Periophthalmus_magnuspinnatus
ENSECRP00000019578	ENSECRG00000013074	Erpetoichthys_calabaricus
ENSOANP00000026965	ENSOANG00000021189	Ornithorhynchus_anatinus
ENSJHYP00000021370	ENSJHYG00000016185	Junco_hyemalis
ENSJHYP00000021385	ENSJHYG00000016197	Junco_hyemalis
ENSNPEP00000020124	ENSNPEG00000014944	Nothoprocta_perdicaria
ENSGALP00000057186	ENSGALG00000041790	Gallus_gallus
ENSCJPP00005006755	ENSCJPG00005006252	Coturnix_japonica
ENSNMEP00000020002	ENSNMEG00000017170	Numida_meleagris
ENSAPLP00000023980	ENSAPLG00000005142	Anas_platyrhynchos_platyrhynchos
ENSLCOP00000016410	ENSLCOG00000011701	Lepidothrix_coronata
ENSMVIP00005015440	ENSMVIG00005011072	Manacus_vitellinus
ENSTGUP00000013476	ENSTGUG00000013086	Taeniopygia_guttata
ENSLSDP00000022375	ENSLSDG00000015818	Lonchura_striata_domestica
