ENSBIXP00005000442	ENSBIXG00005030223	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSGALP00000064401	ENSGALG00000011947	Gallus_gallus
ENSMFAP00000008681	ENSMFAG00000001153	Macaca_fascicularis
ENSMICP00000022947	ENSMICG00000013546	Microcebus_murinus
ENSVURP00010002022	ENSVURG00010001680	Vombatus_ursinus
ENSPCOP00000005606	ENSPCOG00000013751	Propithecus_coquereli
ENSNPEP00000013563	ENSNPEG00000010141	Nothoprocta_perdicaria
ENSRBIP00000032607	ENSRBIG00000040089	Rhinopithecus_bieti
ENSUPAP00010007308	ENSUPAG00010005893	Urocitellus_parryii
ENSAPEP00000017495	ENSAPEG00000012507	Amphiprion_percula
ENSMUSP00000023113	ENSMUSG00000022476	Mus_musculus_strain_reference_(CL57BL6)
ENSCPBP00000029130	ENSCPBG00000020544	Chrysemys_picta_bellii
ENSEASP00005001950	ENSEASG00005001539	Equus_asinus_asinus
MGP_SPRETEiJ_P0040954	MGP_SPRETEiJ_G0020964	Mus_spretus_strain_SPRET/EiJ
ENSOGAP00000002551	ENSOGAG00000002850	Otolemur_garnettii
ENSUAMP00000029311	ENSUAMG00000022585	Ursus_americanus
ENSNBRP00000004130	ENSNBRG00000003286	Neolamprologus_brichardi
ENSPMGP00000022288	ENSPMGG00000018036	Periophthalmus_magnuspinnatus
ENSGMOP00000002049	ENSGMOG00000001934	Gadus_morhua
ENSRNOP00000005943	ENSRNOG00000004471	Rattus_norvegicus
ENSMALP00000019199	ENSMALG00000013403	Monopterus_albus
ENSAOWP00000017803	ENSAOWG00000012158	Apteryx_owenii
ENSETEP00000008728	ENSETEG00000010746	Echinops_telfairi
ENSIPUP00000029230	ENSIPUG00000019750	Ictalurus_punctatus
ENSLACP00000013326	ENSLACG00000011734	Latimeria_chalumnae
ENSSHAP00000011882	ENSSHAG00000010196	Sarcophilus_harrisii
ENSMAMP00000011000	ENSMAMG00000007445	Mastacembelus_armatus
ENSAMXP00005037000	ENSAMXG00005017623	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNLEP00000018858	ENSNLEG00000015536	Nomascus_leucogenys
ENSARWP00000023504	ENSARWG00000016024	Apteryx_rowi
ENSBBBP00000022786	ENSBBBG00000016919	Bison_bison_bison
ENSGACP00000010029	ENSGACG00000007549	Gasterosteus_aculeatus
