ENSFHEP00000031511	ENSFHEG00000017499	Fundulus_heteroclitus	ENSFHET00000024020
ENSDORP00000011903	ENSDORG00000012659	Dipodomys_ordii
ENSCATP00000033657	ENSCATG00000039797	Cercocebus_atys
F01F1.7.1	WBGene00017162	Caenorhabditis_elegans_strain_N2	F01F1.7.1
ENSEEUP00000008818	ENSEEUG00000009658	Erinaceus_europaeus
ENSRROP00000009099	ENSRROG00000028964	Rhinopithecus_roxellana
ENSFDAP00000008909	ENSFDAG00000017059	Fukomys_damarensis
MGP_CAROLIEiJ_P0039697	MGP_CAROLIEiJ_G0020240	Mus_caroli_strain_CAROLI_EIJ
ENSAMXP00005038923	ENSAMXG00005018162	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPCOP00000026999	ENSPCOG00000025915	Propithecus_coquereli
ENSSMRP00000015449	ENSSMRG00000012008	Salvator_merianae
ENSLBEP00000025493	ENSLBEG00000019475	Labrus_bergylta
ENSLCRP00005016971	ENSLCRG00005006872	Larimichthys_crocea
ENSCHAP00000006659	ENSCHAG00000002348	Clupea_harengus
ENSAOWP00000017047	ENSAOWG00000011657	Apteryx_owenii
ENSCAFP00020016687	ENSCAFG00020013383	Canis_lupus_dingo
ENSCSAP00000002536	ENSCSAG00000006240	Chlorocebus_sabaeus
ENSPANP00000002455	ENSPANG00000019459	Papio_anubis
ENSBIXP00000017865	ENSBIXG00000004177	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOMEP00000005434	ENSOMEG00000006453	Oryzias_melastigma
ENSPMGP00000012419	ENSPMGG00000010243	Periophthalmus_magnuspinnatus
ENSGMOP00000010255	ENSGMOG00000009592	Gadus_morhua
ENSATEP00000024232	ENSATEG00000016800	Anabas_testudineus
ENSMMOP00000016253	ENSMMOG00000012406	Mola_mola
ENSHHUP00000059197	ENSHHUG00000035185	Hucho_hucho
ENSPMJP00000006319	ENSPMJG00000005273	Parus_major
ENSORLP00000034590	ENSORLG00000012330	Oryzias_latipes_ASM223467v1
ENSCINP00000003866	ENSCING00000001913	Ciona_intestinalis
ENSCJPP00005002778	ENSCJPG00005002645	Coturnix_japonica
ENSPNYP00000027966	ENSPNYG00000021038	Pundamilia_nyererei
ENSCANP00000037699	ENSCANG00000042510	Colobus_angolensis_palliatus
ENSCGRP00000022508	ENSCGRG00000016314	Cricetulus_griseus_CriGri_1.0
ENSUMAP00000008566	ENSUMAG00000006538	Ursus_maritimus
ENSEASP00005000472	ENSEASG00005000455	Equus_asinus_asinus
ENSPTRP00000087267	ENSPTRG00000004887	Pan_troglodytes
ENSCABP00000009745	ENSCABG00000007329	Chelonoidis_abingdonii
ENSMEUP00000008654	ENSMEUG00000009477	Notamacropus_eugenii
ENSMPUP00000014630	ENSMPUG00000014739	Mustela_putorius_furo
ENSPFOP00000012280	ENSPFOG00000012159	Poecilia_formosa	ENSPFOT00000012297
ENSPSIP00000002924	ENSPSIG00000002834	Pelodiscus_sinensis
ENSXCOP00000015385	ENSXCOG00000011648	Xiphophorus_couchianus	ENSXCOT00000015578
ENSTSYP00000004970	ENSTSYG00000005429	Carlito_syrichta
ENSRNOP00000072026	ENSRNOG00000060154	Rattus_norvegicus
ENSPTEP00000001946	ENSPTEG00000002224	Piliocolobus_tephrosceles
ENSCCNP00000004257	ENSCCNG00000004483	Castor_canadensis
ENSMMUP00000053303	ENSMMUG00000008432	Macaca_mulatta
ENSMAUP00000011867	ENSMAUG00000012336	Mesocricetus_auratus
ENSMAMP00000035961	ENSMAMG00000024144	Mastacembelus_armatus
ENSHCOP00000027458	ENSHCOG00000019338	Hippocampus_comes
ENSRBIP00000024897	ENSRBIG00000036337	Rhinopithecus_bieti
ENSCANP00000033031	ENSCANG00000040182	Colobus_angolensis_palliatus
ENSOANP00000030317	ENSOANG00000028254	Ornithorhynchus_anatinus
ENSOANP00000020313	ENSOANG00000012841	Ornithorhynchus_anatinus
ENSABRP00000004387	ENSABRG00000004061	Anser_brachyrhynchus
ENSONIP00000021499	ENSONIG00000017048	Oreochromis_niloticus
ENSNPEP00000016817	ENSNPEG00000012425	Nothoprocta_perdicaria
ENSCPGP00000027470	ENSCPGG00000018942	Calidris_pygmaea
ENSSHAP00000007581	ENSSHAG00000006590	Sarcophilus_harrisii
ENSAPLP00000020704	ENSAPLG00000002868	Anas_platyrhynchos_platyrhynchos
ENSCSEP00000032669	ENSCSEG00000020970	Cynoglossus_semilaevis
ENSLCAP00010042006	ENSLCAG00010019549	Lates_calcarifer
ENSSFOP00015020621	ENSSFOG00015013273	Scleropages_formosus
ENSGACP00000003970	ENSGACG00000003024	Gasterosteus_aculeatus
ENSVVUP00000026752	ENSVVUG00000019648	Vulpes_vulpes
ENSHBUP00000010342	ENSHBUG00000011876	Haplochromis_burtoni
ENSKMAP00000016183	ENSKMAG00000012060	Kryptolebias_marmoratus	ENSKMAT00000016413
ENSSCAP00000019212	ENSSCAG00000013869	Serinus_canaria
ENSCPRP00005002112	ENSCPRG00005001479	Crocodylus_porosus
ENSCVAP00000013230	ENSCVAG00000015745	Cyprinodon_variegatus	ENSCVAT00000030658
ENSECRP00000028791	ENSECRG00000019496	Erpetoichthys_calabaricus
ENSCGOP00000018564	ENSCGOG00000008691	Cottoperca_gobio
ENSCPUP00000000950	ENSCPUG00000000738	Calidris_pugnax
ENSAHAP00000007520	ENSAHAG00000005619	Apteryx_haastii
ENSEBUP00000004863	ENSEBUG00000003319	Eptatretus_burgeri	ENSEBUT00000005301
ENSSLDP00000013125	ENSSLDG00000010453	Seriola_lalandi_dorsalis
ENSAMXP00000018127	ENSAMXG00000017597	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSJJAP00000017440	ENSJJAG00000018994	Jaculus_jaculus
ENSPANP00000043697	ENSPANG00000035074	Papio_anubis
ENSFCAP00000031300	ENSFCAG00000000082	Felis_catus
MGP_PahariEiJ_P0043048	MGP_PahariEiJ_G0020243	Mus_pahari_strain_PAHARI_EIJ
ENSAOCP00000012838	ENSAOCG00000017348	Amphiprion_ocellaris
ENSCAFP00000012855	ENSCAFG00000025422	Canis_lupus_familiaris
ENSMUGP00000031882	ENSMUGG00000026501	Meriones_unguiculatus
ENSHGLP00000005877	ENSHGLG00000004292	Heterocephalus_glaber_HetGla_female_1.0
ENSLACP00000019302	ENSLACG00000016977	Latimeria_chalumnae
ENSPEMP00000010267	ENSPEMG00000011305	Peromyscus_maniculatus_bairdii
ENSOGAP00000015057	ENSOGAG00000016813	Otolemur_garnettii
ENSACIP00000000024	ENSACIG00000000022	Amphilophus_citrinellus
ENSSARP00000004132	ENSSARG00000004534	Sorex_araneus
ENSPLAP00000021346	ENSPLAG00000005052	Poecilia_latipinna	ENSPLAT00000011207
ENSPPYP00000005101	ENSPPYG00000004468	Pongo_abelii
ENSSTOP00000003802	ENSSTOG00000004219	Ictidomys_tridecemlineatus
ENSCHIP00000019975	ENSCHIG00000018783	Capra_hircus
ENSAPOP00000002371	ENSAPOG00000003760	Acanthochromis_polyacanthus
ENSRBIP00000033182	ENSRBIG00000040362	Rhinopithecus_bieti
ENSCPOP00000002963	ENSCPOG00000003278	Cavia_porcellus
ENSBIXP00005016924	ENSBIXG00005020544	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOARP00000020519	ENSOARG00000019105	Ovis_aries
ENSPRNP00000021928	ENSPRNG00000011174	Parambassis_ranga
FBpp0080622	FBgn0032690	Drosophila_melanogaster
ENSPPAP00000031761	ENSPPAG00000038775	Pan_paniscus
ENSFALP00000000144	ENSFALG00000000133	Ficedula_albicollis
ENSARWP00000022261	ENSARWG00000015170	Apteryx_rowi
ENSCATP00000016890	ENSCATG00000032335	Cercocebus_atys
