ENSANAP00000001014	ENSANAG00000008774	Aotus_nancymaae
ENSSDUP00000013821	ENSSDUG00000010059	Seriola_dumerili
ENSDNVP00000015449	ENSDNVG00000010891	Dromaius_novaehollandiae
ENSCAFP00000040118	ENSCAFG00000029187	Canis_lupus_familiaris
ENSZALP00000009780	ENSZALG00000008348	Zonotrichia_albicollis
ENSDCDP00000049848	ENSDCDG00000030529	Denticeps_clupeoides
ENSOCUP00000004227	ENSOCUG00000004887	Oryctolagus_cuniculus
ENSPPRP00000019510	ENSPPRG00000010850	Panthera_pardus
ENSPNYP00000029161	ENSPNYG00000021973	Pundamilia_nyererei
ENSPMGP00000017744	ENSPMGG00000014526	Periophthalmus_magnuspinnatus
ENSMMOP00000001891	ENSMMOG00000001586	Mola_mola
ENSPREP00000020099	ENSPREG00000013598	Poecilia_reticulata
ENSBIXP00005025965	ENSBIXG00005004882	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMGAP00000011624	ENSMGAG00000011131	Meleagris_gallopavo
ENSORLP00015029275	ENSORLG00015012328	Oryzias_latipes_ASM223469v1
ENSCGOP00000044074	ENSCGOG00000019816	Cottoperca_gobio
ENSACIP00000011631	ENSACIG00000009084	Amphilophus_citrinellus
ENSGGOP00000024089	ENSGGOG00000027732	Gorilla_gorilla
ENSPNYP00000004127	ENSPNYG00000003215	Pundamilia_nyererei
ENSPCIP00000037843	ENSPCIG00000027861	Phascolarctos_cinereus
ENSCGOP00000037315	ENSCGOG00000017208	Cottoperca_gobio
ENSCLAP00000012575	ENSCLAG00000008701	Chinchilla_lanigera
ENSMNEP00000004539	ENSMNEG00000020909	Macaca_nemestrina
ENSNSUP00000010246	ENSNSUG00000007800	Notechis_scutatus
ENSAOWP00000009868	ENSAOWG00000006770	Apteryx_owenii
ENSFALP00000006404	ENSFALG00000006141	Ficedula_albicollis
ENSHHUP00000074271	ENSHHUG00000043582	Hucho_hucho
ENSHGLP00000025512	ENSHGLG00000018172	Heterocephalus_glaber_HetGla_female_1.0
ENSCAPP00000010871	ENSCAPG00000012051	Cavia_aperea
ENSCSEP00000001329	ENSCSEG00000000920	Cynoglossus_semilaevis
ENSMICP00000024722	ENSMICG00000037315	Microcebus_murinus
ENSPTRP00000051609	ENSPTRG00000006934	Pan_troglodytes
ENSLSDP00000024123	ENSLSDG00000016949	Lonchura_striata_domestica
ENSLCAP00010041966	ENSLCAG00010019637	Lates_calcarifer
ENSBTAP00000066710	ENSBTAG00000053721	Bos_taurus
ENSCCNP00000014313	ENSCCNG00000014794	Castor_canadensis
ENSSDUP00000006012	ENSSDUG00000004443	Seriola_dumerili
ENSNBRP00000029107	ENSNBRG00000022176	Neolamprologus_brichardi
ENSFHEP00000012362	ENSFHEG00000013804	Fundulus_heteroclitus
ENSGWIP00000047854	ENSGWIG00000023520	Gouania_willdenowi
ENSSLDP00000028252	ENSSLDG00000021867	Seriola_lalandi_dorsalis
ENSLCRP00005057210	ENSLCRG00005021251	Larimichthys_crocea
ENSCGRP00001004903	ENSCGRG00001006340	Cricetulus_griseus_CHOK1GS_HDv1
ENSOMEP00000033637	ENSOMEG00000019747	Oryzias_melastigma
ENSCVAP00000031813	ENSCVAG00000021363	Cyprinodon_variegatus
ENSGWIP00000044975	ENSGWIG00000022312	Gouania_willdenowi
ENSSPAP00000010330	ENSSPAG00000007871	Stegastes_partitus
MGP_CAROLIEiJ_P0053843	MGP_CAROLIEiJ_G0024140	Mus_caroli_strain_CAROLI_EIJ
ENSCCEP00000002768	ENSCCEG00000003081	Cyanistes_caeruleus
ENSLAFP00000017684	ENSLAFG00000021813	Loxodonta_africana
MGP_SPRETEiJ_P0055942	MGP_SPRETEiJ_G0025056	Mus_spretus_strain_SPRET/EiJ
ENSOARP00000021798	ENSOARG00000020297	Ovis_aries
ENSGAFP00000009243	ENSGAFG00000006296	Gambusia_affinis
ENSCJPP00005017593	ENSCJPG00005014324	Coturnix_japonica
ENSCSAP00000003864	ENSCSAG00000007604	Chlorocebus_sabaeus
ENSCAFP00020007017	ENSCAFG00020005710	Canis_lupus_dingo
ENSACIP00000002306	ENSACIG00000001881	Amphilophus_citrinellus
ENSMMMP00000023664	ENSMMMG00000020730	Marmota_marmota_marmota
ENSGAGP00000010580	ENSGAGG00000008270	Gopherus_agassizii
ENSCPUP00000020347	ENSCPUG00000013906	Calidris_pugnax
ENSHBUP00000020390	ENSHBUG00000022664	Haplochromis_burtoni
ENSGMOP00000006454	ENSGMOG00000006092	Gadus_morhua
ENSMALP00000023561	ENSMALG00000016429	Monopterus_albus
ENSSLDP00000000269	ENSSLDG00000000304	Seriola_lalandi_dorsalis
ENSHHUP00000006709	ENSHHUG00000004136	Hucho_hucho
ENSMMOP00000019832	ENSMMOG00000015058	Mola_mola
ENSPLAP00000004957	ENSPLAG00000006741	Poecilia_latipinna
ENSECAP00000019187	ENSECAG00000021691	Equus_caballus
ENSODEP00000023353	ENSODEG00000017121	Octodon_degus
ENSMAUP00000024226	ENSMAUG00000021157	Mesocricetus_auratus
ENSORLP00000030695	ENSORLG00000018035	Oryzias_latipes_ASM223467v1
ENSKMAP00000025941	ENSKMAG00000019225	Kryptolebias_marmoratus
ENSMAMP00000020599	ENSMAMG00000013865	Mastacembelus_armatus
ENSTGEP00000002083	ENSTGEG00000001850	Theropithecus_gelada
ENSNVIP00000021938	ENSNVIG00000017155	Neovison_vison
ENSSMRP00000019851	ENSSMRG00000015472	Salvator_merianae
ENSOANP00000014811	ENSOANG00000009308	Ornithorhynchus_anatinus
ENSCGRP00000001828	ENSCGRG00000001359	Cricetulus_griseus_CriGri_1.0
ENSFCAP00000020432	ENSFCAG00000023043	Felis_catus
ENSACAP00000003339	ENSACAG00000003443	Anolis_carolinensis
ENSJHYP00000010102	ENSJHYG00000007934	Junco_hyemalis
ENSOGAP00000021884	ENSOGAG00000028892	Otolemur_garnettii
ENSAMEP00000017813	ENSAMEG00000016864	Ailuropoda_melanoleuca
ENSLBEP00000000011	ENSLBEG00000000016	Labrus_bergylta
ENSMUNP00000003077	ENSMUNG00000002655	Melopsittacus_undulatus
ENSMSIP00000031460	ENSMSIG00000026337	Mus_spicilegus
ENSCATP00000030181	ENSCATG00000038290	Cercocebus_atys
ENSAMXP00005004610	ENSAMXG00005002887	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSARP00000005344	ENSSARG00000005915	Sorex_araneus
ENSPNYP00000031389	ENSPNYG00000023674	Pundamilia_nyererei
ENSHCOP00000001432	ENSHCOG00000002381	Hippocampus_comes
ENSONIP00000000963	ENSONIG00000000762	Oreochromis_niloticus
ENSORLP00015004025	ENSORLG00015004769	Oryzias_latipes_ASM223469v1
ENSPPYP00000007208	ENSPPYG00000006365	Pongo_abelii
ENSSMAP00000008925	ENSSMAG00000005519	Scophthalmus_maximus
ENSPCAP00000007886	ENSPCAG00000008478	Procavia_capensis
ENSCPGP00000023892	ENSCPGG00000016515	Calidris_pygmaea
ENSNMEP00000022981	ENSNMEG00000019614	Numida_meleagris
ENSP00000220507	ENSG00000104140	Homo_sapiens
ENSIPUP00000028030	ENSIPUG00000018976	Ictalurus_punctatus	ENSIPUT00000029170
ENSABRP00000018318	ENSABRG00000015752	Anser_brachyrhynchus
ENSCGRP00015000500	ENSCGRG00015000510	Cricetulus_griseus_CriGri-PICR
ENSBBBP00000006114	ENSBBBG00000014708	Bison_bison_bison
ENSCABP00000013165	ENSCABG00000009870	Chelonoidis_abingdonii
ENSBIXP00000017346	ENSBIXG00000021342	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPSIP00000015928	ENSPSIG00000014195	Pelodiscus_sinensis
ENSONIP00000015171	ENSONIG00000012056	Oreochromis_niloticus
ENSAMXP00000017777	ENSAMXG00000017273	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSTOP00000023798	ENSSTOG00000024381	Ictidomys_tridecemlineatus
ENSMOCP00000011214	ENSMOCG00000011461	Microtus_ochrogaster
ENSMMUP00000077717	ENSMMUG00000058743	Macaca_mulatta
ENSHBUP00000031871	ENSHBUG00000017837	Haplochromis_burtoni
ENSPFOP00000012946	ENSPFOG00000012938	Poecilia_formosa
ENSAPEP00000032199	ENSAPEG00000022872	Amphiprion_percula
ENSHCOP00000015043	ENSHCOG00000018574	Hippocampus_comes
ENSNGAP00000005622	ENSNGAG00000008052	Nannospalax_galili
ENSDORP00000018586	ENSDORG00000024773	Dipodomys_ordii
ENSPMGP00000019015	ENSPMGG00000015476	Periophthalmus_magnuspinnatus
ENSMZEP00005012290	ENSMZEG00005009233	Maylandia_zebra
ENSPPAP00000020361	ENSPPAG00000033404	Pan_paniscus
ENSMUGP00000010550	ENSMUGG00000009290	Meriones_unguiculatus
ENSBSLP00000045655	ENSBSLG00000021779	Betta_splendens
ENSACLP00000002019	ENSACLG00000001410	Astatotilapia_calliptera
ENSMVIP00005013675	ENSMVIG00005009897	Manacus_vitellinus
ENSCANP00000008104	ENSCANG00000026726	Colobus_angolensis_palliatus
ENSBMUP00000024322	ENSBMUG00000018273	Bos_mutus
ENSUPAP00010019285	ENSUPAG00010015277	Urocitellus_parryii
ENSXMAP00000021901	ENSXMAG00000021774	Xiphophorus_maculatus
ENSGALP00000042743	ENSGALG00000028047	Gallus_gallus
ENSOPRP00000000728	ENSOPRG00000000803	Ochotona_princeps
ENSACLP00000009785	ENSACLG00000006677	Astatotilapia_calliptera
ENSELUP00000021317	ENSELUG00000020407	Esox_lucius
ENSAPLP00000016011	ENSAPLG00000016130	Anas_platyrhynchos_platyrhynchos
ENSPCOP00000002272	ENSPCOG00000006932	Propithecus_coquereli
ENSXCOP00000010152	ENSXCOG00000007704	Xiphophorus_couchianus
ENSTNIP00000013895	ENSTNIG00000010965	Tetraodon_nigroviridis
ENSMODP00000053266	ENSMODG00000000207	Monodelphis_domestica
ENSSPUP00000002064	ENSSPUG00000001566	Sphenodon_punctatus
ENSPSMP00000033751	ENSPSMG00000023254	Prolemur_simus
ENSTBEP00000006510	ENSTBEG00000007544	Tupaia_belangeri
ENSAOCP00000022766	ENSAOCG00000000494	Amphiprion_ocellaris
ENSPMJP00000019180	ENSPMJG00000014388	Parus_major
ENSLBEP00000032326	ENSLBEG00000024375	Labrus_bergylta
ENSJJAP00000002775	ENSJJAG00000005067	Jaculus_jaculus
ENSPMEP00000033146	ENSPMEG00000021476	Poecilia_mexicana
ENSAPEP00000002902	ENSAPEG00000002104	Amphiprion_percula
ENSORLP00020030172	ENSORLG00020014497	Oryzias_latipes_ASM223471v1
ENSLACP00000005434	ENSLACG00000004835	Latimeria_chalumnae
ENSPVIP00000026244	ENSPVIG00000019597	Pogona_vitticeps
ENSPEMP00000033202	ENSPEMG00000026008	Peromyscus_maniculatus_bairdii
ENSOMEP00000023631	ENSOMEG00000003823	Oryzias_melastigma
ENSSDAP00000004797	ENSSDAG00000004502	Spermophilus_dauricus
ENSBSLP00000048118	ENSBSLG00000022919	Betta_splendens
ENSHGLP00100006731	ENSHGLG00100005053	Heterocephalus_glaber_HetGla_1.0
ENSUAMP00000021109	ENSUAMG00000016606	Ursus_americanus
ENSSBOP00000005654	ENSSBOG00000019703	Saimiri_boliviensis_boliviensis
ENSNBRP00000003883	ENSNBRG00000003078	Neolamprologus_brichardi
ENSTRUP00000054397	ENSTRUG00000022807	Takifugu_rubripes
ENSCJAP00000072483	ENSCJAG00000064184	Callithrix_jacchus
ENSEASP00005024181	ENSEASG00005016427	Equus_asinus_asinus
ENSVVUP00000037308	ENSVVUG00000026686	Vulpes_vulpes
ENSCHAP00000040874	ENSCHAG00000019137	Clupea_harengus
ENSGGOP00000044876	ENSGGOG00000039054	Gorilla_gorilla
ENSPRNP00000026006	ENSPRNG00000013097	Parambassis_ranga
ENSDARP00000094132	ENSDARG00000070434	Danio_rerio
ENSGACP00000007830	ENSGACG00000005922	Gasterosteus_aculeatus
ENSTNIP00000020575	ENSTNIG00000017434	Tetraodon_nigroviridis
ENSAPOP00000027743	ENSAPOG00000012419	Acanthochromis_polyacanthus
ENSETEP00000000510	ENSETEG00000000639	Echinops_telfairi
ENSRBIP00000037736	ENSRBIG00000042430	Rhinopithecus_bieti
ENSPVAP00000001746	ENSPVAG00000001847	Pteropus_vampyrus
ENSTSYP00000019271	ENSTSYG00000027590	Carlito_syrichta
ENSTGUP00000016391	ENSTGUG00000016072	Taeniopygia_guttata
ENSRNOP00000018277	ENSRNOG00000013380	Rattus_norvegicus
ENSEEUP00000012544	ENSEEUG00000013784	Erinaceus_europaeus
ENSAHAP00000002552	ENSAHAG00000002089	Apteryx_haastii
ENSMPUP00000008693	ENSMPUG00000008764	Mustela_putorius_furo
ENSTTRP00000010860	ENSTTRG00000011459	Tursiops_truncatus
ENSCCAP00000037975	ENSCCAG00000036832	Cebus_capucinus_imitator
ENSDNOP00000027787	ENSDNOG00000044018	Dasypus_novemcinctus
ENSFDAP00000001279	ENSFDAG00000011297	Fukomys_damarensis
ENSCHIP00000001050	ENSCHIG00000001552	Capra_hircus
ENSPTEP00000029458	ENSPTEG00000028862	Piliocolobus_tephrosceles
ENSVPAP00000006082	ENSVPAG00000006549	Vicugna_pacos
ENSCPOP00000021371	ENSCPOG00000040307	Cavia_porcellus
ENSPNAP00000025384	ENSPNAG00000010450	Pygocentrus_nattereri
ENSSSCP00000005130	ENSSSCG00000004758	Sus_scrofa_strain_reference
ENSATEP00000003816	ENSATEG00000002649	Anabas_testudineus
ENSCPRP00005026875	ENSCPRG00005018624	Crocodylus_porosus
ENSLCOP00000016912	ENSLCOG00000012028	Lepidothrix_coronata
ENSDCDP00000028786	ENSDCDG00000020662	Denticeps_clupeoides
ENSMLEP00000009666	ENSMLEG00000029009	Mandrillus_leucophaeus
ENSARWP00000014846	ENSARWG00000010278	Apteryx_rowi
ENSATEP00000001847	ENSATEG00000001308	Anabas_testudineus
ENSORLP00020004599	ENSORLG00020005395	Oryzias_latipes_ASM223471v1
ENSCPBP00000018500	ENSCPBG00000013474	Chrysemys_picta_bellii
ENSMFAP00000009362	ENSMFAG00000000850	Macaca_fascicularis
ENSLCAP00010041437	ENSLCAG00010019418	Lates_calcarifer
ENSRROP00000042837	ENSRROG00000044517	Rhinopithecus_roxellana
ENSUMAP00000016897	ENSUMAG00000012410	Ursus_maritimus
ENSEEEP00000027631	ENSEEEG00000013308	Electrophorus_electricus	ENSEEET00000027948
ENSTGUP00000011103	ENSTGUG00000010772	Taeniopygia_guttata
ENSGACP00000017157	ENSGACG00000012976	Gasterosteus_aculeatus
ENSLOCP00000015172	ENSLOCG00000012329	Lepisosteus_oculatus
ENSMZEP00005017440	ENSMZEG00005013116	Maylandia_zebra
