ENSCCEP00000002903	ENSCCEG00000003240	Cyanistes_caeruleus
ENSCJPP00005002575	ENSCJPG00005002872	Coturnix_japonica
ENSNPEP00000016505	ENSNPEG00000012299	Nothoprocta_perdicaria
ENSCGRP00000009106	ENSCGRG00000006659	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015015232	ENSCGRG00015011702	Cricetulus_griseus_CriGri-PICR
ENSHGLP00100004178	ENSHGLG00100003177	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000021033	ENSHGLG00000015028	Heterocephalus_glaber_HetGla_female_1.0
ENSANAP00000020022	ENSANAG00000027794	Aotus_nancymaae
ENSDORP00000001200	ENSDORG00000001282	Dipodomys_ordii
ENSCAFP00000052360	ENSCAFG00000046525	Canis_lupus_familiaris
ENSPNYP00000031639	ENSPNYG00000023867	Pundamilia_nyererei
ENSHBUP00000025533	ENSHBUG00000007565	Haplochromis_burtoni
ENSNBRP00000012272	ENSNBRG00000009590	Neolamprologus_brichardi
