C44B9.4.1	WBGene00008081	Caenorhabditis_elegans_strain_N2	C44B9.4.1
FBpp0071501	FBgn0026582	Drosophila_melanogaster	FBtr0071573
ENSCINP00000000932	ENSCING00000000505	Ciona_intestinalis
ENSCSAVP00000020027	ENSCSAVG00000011755	Ciona_savignyi
ENSCLAP00000004039	ENSCLAG00000002884	Chinchilla_lanigera
ENSODEP00000015307	ENSODEG00000011300	Octodon_degus
ENSCPOP00000000423	ENSCPOG00000000480	Cavia_porcellus
ENSCAPP00000002538	ENSCAPG00000005474	Cavia_aperea
ENSHGLP00000021466	ENSHGLG00000015336	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013064	ENSHGLG00100009674	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000014410	ENSFDAG00000001625	Fukomys_damarensis
ENSHGLP00100013003	ENSHGLG00100009627	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000019009	ENSHGLG00000013620	Heterocephalus_glaber_HetGla_female_1.0
ENSSSCP00000024875	ENSSSCG00000029059	Sus_scrofa_strain_reference
ENSVPAP00000001511	ENSVPAG00000001635	Vicugna_pacos
ENSBIXP00000013235	ENSBIXG00000018197	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005019819	ENSBIXG00005006276	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000071103	ENSBTAG00000000375	Bos_taurus
ENSBMUP00000021969	ENSBMUG00000016541	Bos_mutus
ENSCHIP00000008525	ENSCHIG00000011670	Capra_hircus
ENSOARP00000009694	ENSOARG00000009018	Ovis_aries
ENSEEUP00000013870	ENSEEUG00000015192	Erinaceus_europaeus	ENSEEUT00000015197
ENSEEUP00000004494	ENSEEUG00000004905	Erinaceus_europaeus	ENSEEUT00000004922
ENSSARP00000000914	ENSSARG00000000998	Sorex_araneus	ENSSART00000000996
ENSP00000278412	ENSG00000149136	Homo_sapiens
