ENSLAFP00000008079	ENSLAFG00000009629	Loxodonta_africana	ENSLAFT00000009628
ENSLAFP00000028499	ENSLAFG00000032003	Loxodonta_africana	ENSLAFT00000027316
ENSPCAP00000014848	ENSPCAG00000015905	Procavia_capensis	ENSPCAT00000015873
ENSTTRP00000009291	ENSTTRG00000009799	Tursiops_truncatus	ENSTTRT00000009798
ENSSSCP00000013444	ENSSSCG00000012645	Sus_scrofa_strain_reference
ENSBIXP00005037957	ENSBIXG00005006883	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000066664	ENSBTAG00000022399	Bos_taurus
ENSBMUP00000007800	ENSBMUG00000006135	Bos_mutus
ENSOARP00000010391	ENSOARG00000009690	Ovis_aries
ENSBIXP00005016390	ENSBIXG00005003296	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005038058	ENSBIXG00005020075	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000069286	ENSBTAG00000054511	Bos_taurus
ENSBIXP00005037972	ENSBIXG00005003271	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005016377	ENSBIXG00005003291	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005016312	ENSBIXG00005020014	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005016339	ENSBIXG00005003281	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005037999	ENSBIXG00005020023	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00005038018	ENSBIXG00005003286	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000057164	ENSBTAG00000054321	Bos_taurus
ENSCHIP00000006204	ENSCHIG00000010106	Capra_hircus
ENSECAP00000023900	ENSECAG00000032272	Equus_caballus
ENSECAP00000031898	ENSECAG00000028416	Equus_caballus
ENSECAP00000031393	ENSECAG00000030430	Equus_caballus
ENSEASP00005009753	ENSEASG00005006933	Equus_asinus_asinus
ENSUAMP00000029185	ENSUAMG00000022503	Ursus_americanus
ENSUMAP00000034150	ENSUMAG00000024573	Ursus_maritimus
ENSAMEP00000019845	ENSAMEG00000018790	Ailuropoda_melanoleuca
ENSMPUP00000017467	ENSMPUG00000017580	Mustela_putorius_furo
ENSMPUP00000008587	ENSMPUG00000008655	Mustela_putorius_furo
ENSNVIP00000031849	ENSNVIG00000024521	Neovison_vison
ENSNVIP00000021450	ENSNVIG00000016800	Neovison_vison
ENSCAFP00020002149	ENSCAFG00020001864	Canis_lupus_dingo
ENSCAFP00020002141	ENSCAFG00020001857	Canis_lupus_dingo
ENSCAFP00000035665	ENSCAFG00000025552	Canis_lupus_familiaris
ENSCAFP00000027514	ENSCAFG00000018646	Canis_lupus_familiaris
ENSVVUP00000011979	ENSVVUG00000008845	Vulpes_vulpes
ENSPPRP00000020510	ENSPPRG00000011554	Panthera_pardus
ENSPTIP00000001065	ENSPTIG00000002830	Panthera_tigris_altaica
ENSFCAP00000048376	ENSFCAG00000042396	Felis_catus
ENSPVAP00000006849	ENSPVAG00000007260	Pteropus_vampyrus
ENSMLUP00000014512	ENSMLUG00000015935	Myotis_lucifugus
ENSCGRP00015018381	ENSCGRG00015014149	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001006660	ENSCGRG00001009053	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000010929	ENSPEMG00000025693	Peromyscus_maniculatus_bairdii
ENSMOCP00000026050	ENSMOCG00000021979	Microtus_ochrogaster
ENSMUSP00000110709	ENSMUSG00000050926	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0095086	MGP_SPRETEiJ_G0034188	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000002108	ENSMSIG00000002007	Mus_spicilegus
MGP_CAROLIEiJ_P0091327	MGP_CAROLIEiJ_G0033030	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0088973	MGP_PahariEiJ_G0031576	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000046551	ENSRNOG00000031533	Rattus_norvegicus
ENSNGAP00000005702	ENSNGAG00000008204	Nannospalax_galili
ENSCGRP00001019488	ENSCGRG00001018908	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015018356	ENSCGRG00015014132	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000005770	ENSCGRG00000004225	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000000154	ENSMAUG00000000156	Mesocricetus_auratus
ENSMOCP00000009563	ENSMOCG00000009747	Microtus_ochrogaster
ENSPEMP00000023757	ENSPEMG00000026236	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0095087	MGP_SPRETEiJ_G0034189	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000062991	ENSMUSG00000045284	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0091328	MGP_CAROLIEiJ_G0033031	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000038146	ENSRNOG00000023458	Rattus_norvegicus
ENSNGAP00000005822	ENSNGAG00000008435	Nannospalax_galili
ENSJJAP00000016082	ENSJJAG00000018053	Jaculus_jaculus
ENSJJAP00000004853	ENSJJAG00000009849	Jaculus_jaculus
ENSDORP00000006102	ENSDORG00000006515	Dipodomys_ordii
ENSCLAP00000025404	ENSCLAG00000017483	Chinchilla_lanigera
ENSODEP00000026489	ENSODEG00000019922	Octodon_degus
ENSHGLP00000028323	ENSHGLG00000020561	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026652	ENSHGLG00100019583	Heterocephalus_glaber_HetGla_1.0
ENSCPOP00000018965	ENSCPOG00000027086	Cavia_porcellus
ENSFDAP00000013981	ENSFDAG00000000945	Fukomys_damarensis
