ENSEBUP00000004854	ENSEBUG00000003359	Eptatretus_burgeri	ENSEBUT00000005292
ENSEBUP00000013385	ENSEBUG00000008456	Eptatretus_burgeri	ENSEBUT00000013961
ENSPMAP00000004400	ENSPMAG00000003979	Petromyzon_marinus	ENSPMAT00000004417
ENSCHAP00000011250	ENSCHAG00000006337	Clupea_harengus
ENSDCDP00000038905	ENSDCDG00000025981	Denticeps_clupeoides
ENSEEEP00000008248	ENSEEEG00000004311	Electrophorus_electricus
ENSIPUP00000001707	ENSIPUG00000001228	Ictalurus_punctatus
ENSAMXP00000052426	ENSAMXG00000030791	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000029062	ENSPNAG00000014938	Pygocentrus_nattereri
ENSAMXP00005005542	ENSAMXG00005003390	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEEEP00000008247	ENSEEEG00000004310	Electrophorus_electricus
ENSDARP00000083875	ENSDARG00000062122	Danio_rerio
ENSTRUP00000020412	ENSTRUG00000008162	Takifugu_rubripes
ENSTNIP00000008306	ENSTNIG00000005604	Tetraodon_nigroviridis
ENSGACP00000021294	ENSGACG00000016141	Gasterosteus_aculeatus
ENSMALP00000010111	ENSMALG00000007190	Monopterus_albus
ENSATEP00000028863	ENSATEG00000019899	Anabas_testudineus
ENSAOCP00000023107	ENSAOCG00000000537	Amphiprion_ocellaris
ENSAPEP00000027911	ENSAPEG00000019799	Amphiprion_percula
ENSAPOP00000006237	ENSAPOG00000008069	Acanthochromis_polyacanthus
ENSORLP00000006878	ENSORLG00000005462	Oryzias_latipes_ASM223467v1
ENSORLP00020005505	ENSORLG00020006383	Oryzias_latipes_ASM223471v1
ENSORLP00015023696	ENSORLG00015003825	Oryzias_latipes_ASM223469v1
ENSOMEP00000011116	ENSOMEG00000012406	Oryzias_melastigma
ENSMZEP00005029004	ENSMZEG00005021634	Maylandia_zebra
ENSACLP00000022262	ENSACLG00000015099	Astatotilapia_calliptera
ENSHBUP00000001734	ENSHBUG00000002910	Haplochromis_burtoni
ENSPNYP00000030803	ENSPNYG00000023217	Pundamilia_nyererei
ENSNBRP00000021230	ENSNBRG00000016266	Neolamprologus_brichardi
ENSONIP00000011282	ENSONIG00000008972	Oreochromis_niloticus
ENSACIP00000013317	ENSACIG00000010349	Amphilophus_citrinellus
ENSLCAP00010001912	ENSLCAG00010001022	Lates_calcarifer
ENSSDUP00000031205	ENSSDUG00000022436	Seriola_dumerili
ENSSLDP00000001719	ENSSLDG00000001366	Seriola_lalandi_dorsalis
ENSMMOP00000009464	ENSMMOG00000007336	Mola_mola
ENSMAMP00000030004	ENSMAMG00000020230	Mastacembelus_armatus
ENSBSLP00000011760	ENSBSLG00000005517	Betta_splendens
ENSCSEP00000007667	ENSCSEG00000004942	Cynoglossus_semilaevis
ENSPFOP00000011074	ENSPFOG00000010801	Poecilia_formosa
ENSPLAP00000031128	ENSPLAG00000022883	Poecilia_latipinna
ENSPMEP00000006419	ENSPMEG00000007943	Poecilia_mexicana
ENSPREP00000010611	ENSPREG00000007223	Poecilia_reticulata
ENSXMAP00000009562	ENSXMAG00000009500	Xiphophorus_maculatus
ENSXCOP00000018215	ENSXCOG00000013722	Xiphophorus_couchianus
ENSGAFP00000030587	ENSGAFG00000020614	Gambusia_affinis
ENSFHEP00000007938	ENSFHEG00000009128	Fundulus_heteroclitus
