C02H7.1.1	WBGene00001127	Caenorhabditis_elegans_strain_N2	C02H7.1.1
FBpp0082383	FBgn0038221	Drosophila_melanogaster	FBtr0082924
ENSMEUP00000009832	ENSMEUG00000010766	Notamacropus_eugenii	ENSMEUT00000010808
ENSPCIP00000035694	ENSPCIG00000026388	Phascolarctos_cinereus	ENSPCIT00000043956
ENSMODP00000047030	ENSMODG00000002477	Monodelphis_domestica	ENSMODT00000069927
ENSSHAP00000010847	ENSSHAG00000009352	Sarcophilus_harrisii	ENSSHAT00000010941
ENSPTRP00000048573	ENSPTRG00000028947	Pan_troglodytes	ENSPTRT00000055962
ENSPPAP00000023463	ENSPPAG00000034877	Pan_paniscus	ENSPPAT00000046288
ENSGGOP00000017880	ENSGGOG00000010361	Gorilla_gorilla	ENSGGOT00000034406
ENSP00000362424	ENSG00000204104	Homo_sapiens	ENST00000373327
ENSPPYP00000014902	ENSPPYG00000013325	Pongo_abelii
ENSNLEP00000013770	ENSNLEG00000011298	Nomascus_leucogenys
ENSMFAP00000035283	ENSMFAG00000002763	Macaca_fascicularis
ENSMMUP00000013180	ENSMMUG00000010080	Macaca_mulatta
ENSMNEP00000012130	ENSMNEG00000030348	Macaca_nemestrina
ENSMLEP00000022106	ENSMLEG00000035267	Mandrillus_leucophaeus
ENSPANP00000014804	ENSPANG00000007987	Papio_anubis
ENSTGEP00000030002	ENSTGEG00000024079	Theropithecus_gelada
ENSCATP00000015424	ENSCATG00000031689	Cercocebus_atys
ENSCSAP00000002322	ENSCSAG00000006023	Chlorocebus_sabaeus
ENSRBIP00000042666	ENSRBIG00000044577	Rhinopithecus_bieti
ENSRROP00000018781	ENSRROG00000033429	Rhinopithecus_roxellana
ENSPTEP00000040149	ENSPTEG00000037010	Piliocolobus_tephrosceles
ENSCANP00000032562	ENSCANG00000039944	Colobus_angolensis_palliatus
ENSSBOP00000025882	ENSSBOG00000029375	Saimiri_boliviensis_boliviensis
ENSCCAP00000023282	ENSCCAG00000029412	Cebus_capucinus_imitator
ENSCJAP00000000722	ENSCJAG00000000419	Callithrix_jacchus
ENSANAP00000002443	ENSANAG00000018287	Aotus_nancymaae
ENSTSYP00000012926	ENSTSYG00000014080	Carlito_syrichta
ENSPCOP00000027300	ENSPCOG00000026120	Propithecus_coquereli
ENSPSMP00000005109	ENSPSMG00000003951	Prolemur_simus
ENSMICP00000004311	ENSMICG00000004727	Microcebus_murinus
ENSOGAP00000010701	ENSOGAG00000011953	Otolemur_garnettii
ENSHGLP00000012330	ENSHGLG00000008815	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000549	ENSFDAG00000010774	Fukomys_damarensis
ENSODEP00000013355	ENSODEG00000009879	Octodon_degus
