ENSGMOP00000007383	ENSGMOG00000006950	Gadus_morhua
ENSMLUP00000001295	ENSMLUG00000001415	Myotis_lucifugus
ENSPPRP00000028832	ENSPPRG00000021136	Panthera_pardus
ENSPTRP00000020081	ENSPTRG00000011685	Pan_troglodytes
ENSCJAP00000071735	ENSCJAG00000065690	Callithrix_jacchus
ENSFHEP00000019581	ENSFHEG00000021492	Fundulus_heteroclitus
ENSBIXP00000017415	ENSBIXG00000021424	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMEUP00000011389	ENSMEUG00000012506	Notamacropus_eugenii
ENSCABP00000009575	ENSCABG00000007209	Chelonoidis_abingdonii
ENSDNOP00000023999	ENSDNOG00000045402	Dasypus_novemcinctus
ENSJJAP00000021877	ENSJJAG00000022107	Jaculus_jaculus
ENSMUNP00000013633	ENSMUNG00000010640	Melopsittacus_undulatus
ENSAHAP00000006984	ENSAHAG00000005227	Apteryx_haastii
ENSUPAP00010011616	ENSUPAG00010009436	Urocitellus_parryii
ENSSMRP00000005308	ENSSMRG00000004326	Salvator_merianae
ENSPPAP00000024259	ENSPPAG00000035271	Pan_paniscus
ENSVPAP00000005227	ENSVPAG00000005626	Vicugna_pacos
ENSONIP00000007698	ENSONIG00000006108	Oreochromis_niloticus
ENSODEP00000012523	ENSODEG00000009280	Octodon_degus
ENSLCAP00010045680	ENSLCAG00010021231	Lates_calcarifer
ENSHGLP00100020410	ENSHGLG00100015043	Heterocephalus_glaber_HetGla_1.0
ENSTGEP00000022111	ENSTGEG00000017865	Theropithecus_gelada
ENSAOCP00000010334	ENSAOCG00000014561	Amphiprion_ocellaris
ENSCJPP00005013176	ENSCJPG00005011143	Coturnix_japonica
ENSMMMP00000025366	ENSMMMG00000022212	Marmota_marmota_marmota
ENSMFAP00000006349	ENSMFAG00000040343	Macaca_fascicularis
ENSCANP00000031741	ENSCANG00000039536	Colobus_angolensis_palliatus
ENSAMXP00005047853	ENSAMXG00005021938	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSLDP00000001004	ENSSLDG00000000891	Seriola_lalandi_dorsalis
ENSNSUP00000004681	ENSNSUG00000003736	Notechis_scutatus
ENSPREP00000010035	ENSPREG00000006836	Poecilia_reticulata
ENSEASP00005013454	ENSEASG00005009395	Equus_asinus_asinus
ENSAPOP00000029610	ENSAPOG00000015598	Acanthochromis_polyacanthus
ENSAMEP00000002851	ENSAMEG00000002717	Ailuropoda_melanoleuca
ENSRBIP00000027541	ENSRBIG00000037642	Rhinopithecus_bieti
ENSOGAP00000002675	ENSOGAG00000002990	Otolemur_garnettii
ENSATEP00000021817	ENSATEG00000015145	Anabas_testudineus
