ENSPCIP00000029904	ENSPCIG00000022252	Phascolarctos_cinereus	ENSPCIT00000036806
ENSVURP00010025791	ENSVURG00010019751	Vombatus_ursinus	ENSVURT00010029367
ENSMEUP00000011258	ENSMEUG00000012331	Notamacropus_eugenii	ENSMEUT00000012384
ENSSHAP00000020410	ENSSHAG00000017311	Sarcophilus_harrisii	ENSSHAT00000020571
ENSMODP00000011123	ENSMODG00000009009	Monodelphis_domestica	ENSMODT00000011340
ENSPTRP00000087927	ENSPTRG00000012641	Pan_troglodytes
ENSPPAP00000007864	ENSPPAG00000027108	Pan_paniscus
ENSP00000386896	ENSG00000091409	Homo_sapiens
ENSGGOP00000043106	ENSGGOG00000007814	Gorilla_gorilla
ENSNLEP00000036932	ENSNLEG00000005561	Nomascus_leucogenys
ENSPPYP00000014440	ENSPPYG00000012936	Pongo_abelii
ENSMFAP00000038154	ENSMFAG00000038164	Macaca_fascicularis
ENSMMUP00000003172	ENSMMUG00000002370	Macaca_mulatta
ENSMNEP00000034753	ENSMNEG00000040472	Macaca_nemestrina
ENSPANP00000018525	ENSPANG00000016462	Papio_anubis
ENSTGEP00000023462	ENSTGEG00000018930	Theropithecus_gelada
ENSCATP00000027919	ENSCATG00000037277	Cercocebus_atys
ENSMLEP00000029610	ENSMLEG00000038882	Mandrillus_leucophaeus
ENSCANP00000013004	ENSCANG00000029809	Colobus_angolensis_palliatus
ENSPTEP00000041444	ENSPTEG00000037927	Piliocolobus_tephrosceles
ENSRBIP00000035055	ENSRBIG00000041122	Rhinopithecus_bieti
ENSRROP00000025062	ENSRROG00000036224	Rhinopithecus_roxellana
ENSCSAP00000010866	ENSCSAG00000014750	Chlorocebus_sabaeus
ENSCJAP00000013940	ENSCJAG00000007399	Callithrix_jacchus
ENSSBOP00000032426	ENSSBOG00000032166	Saimiri_boliviensis_boliviensis
ENSCCAP00000009541	ENSCCAG00000022463	Cebus_capucinus_imitator
ENSANAP00000006186	ENSANAG00000020937	Aotus_nancymaae
ENSTSYP00000006759	ENSTSYG00000007377	Carlito_syrichta
ENSPCOP00000017876	ENSPCOG00000020776	Propithecus_coquereli
ENSMICP00000006367	ENSMICG00000006990	Microcebus_murinus
ENSPSMP00000034646	ENSPSMG00000023755	Prolemur_simus
ENSOGAP00000009638	ENSOGAG00000010765	Otolemur_garnettii
ENSTBEP00000011593	ENSTBEG00000013342	Tupaia_belangeri
ENSCCNP00000007907	ENSCCNG00000008376	Castor_canadensis
ENSDORP00000004826	ENSDORG00000005156	Dipodomys_ordii
MGP_SPRETEiJ_P0054340	MGP_SPRETEiJ_G0024571	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000009350	ENSMSIG00000008202	Mus_spicilegus
ENSMUSP00000107729	ENSMUSG00000027111	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0052259	MGP_CAROLIEiJ_G0023648	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0063255	MGP_PahariEiJ_G0025100	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000002075	ENSRNOG00000001518	Rattus_norvegicus
ENSMUGP00000031284	ENSMUGG00000026007	Meriones_unguiculatus
ENSMUGP00000031282	ENSMUGG00000026006	Meriones_unguiculatus
ENSMOCP00000014481	ENSMOCG00000013969	Microtus_ochrogaster
ENSPEMP00000025355	ENSPEMG00000021809	Peromyscus_maniculatus_bairdii
ENSCGRP00001018067	ENSCGRG00001017916	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000013053	ENSCGRG00000009486	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015002694	ENSCGRG00015002126	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000022913	ENSMAUG00000020187	Mesocricetus_auratus
ENSNGAP00000025986	ENSNGAG00000023769	Nannospalax_galili
ENSJJAP00000008056	ENSJJAG00000012292	Jaculus_jaculus
ENSSDAP00000012716	ENSSDAG00000011420	Spermophilus_dauricus
ENSSTOP00000005764	ENSSTOG00000006442	Ictidomys_tridecemlineatus
ENSUPAP00010013342	ENSUPAG00010010765	Urocitellus_parryii
ENSMMMP00000027074	ENSMMMG00000023663	Marmota_marmota_marmota
ENSHGLP00000015371	ENSHGLG00000010983	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100014629	ENSHGLG00100010823	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000012896	ENSFDAG00000020202	Fukomys_damarensis
ENSCLAP00000009354	ENSCLAG00000006496	Chinchilla_lanigera
ENSODEP00000014289	ENSODEG00000010571	Octodon_degus
ENSCPOP00000026062	ENSCPOG00000008418	Cavia_porcellus
ENSCAPP00000005244	ENSCAPG00000007582	Cavia_aperea
ENSOPRP00000005189	ENSOPRG00000005642	Ochotona_princeps
ENSOCUP00000000353	ENSOCUG00000000403	Oryctolagus_cuniculus
ENSVPAP00000001695	ENSVPAG00000001838	Vicugna_pacos
ENSSSCP00000031111	ENSSSCG00000015955	Sus_scrofa_strain_reference
ENSOARP00000001243	ENSOARG00000001187	Ovis_aries
ENSCHIP00000010556	ENSCHIG00000013031	Capra_hircus
ENSBIXP00000022195	ENSBIXG00000025114	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000066450	ENSBTAG00000017266	Bos_taurus
ENSBIXP00005025044	ENSBIXG00005027649	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000002266	ENSBMUG00000001668	Bos_mutus
ENSBBBP00000010712	ENSBBBG00000004869	Bison_bison_bison
ENSTTRP00000011040	ENSTTRG00000011633	Tursiops_truncatus
ENSUAMP00000034294	ENSUAMG00000026112	Ursus_americanus	ENSUAMT00000038192
ENSUMAP00000020758	ENSUMAG00000014604	Ursus_maritimus	ENSUMAT00000024596
ENSAMEP00000013706	ENSAMEG00000012952	Ailuropoda_melanoleuca	ENSAMET00000014277
