ENSPTRP00000051717	ENSPTRG00000005184	Pan_troglodytes	ENSPTRT00000058688
ENSP00000437621	ENSG00000149948	Homo_sapiens	ENST00000536545
ENSGGOP00000039889	ENSGGOG00000036483	Gorilla_gorilla
ENSPPYP00000005395	ENSPPYG00000004736	Pongo_abelii
ENSNLEP00000003825	ENSNLEG00000003169	Nomascus_leucogenys
ENSRROP00000016586	ENSRROG00000032427	Rhinopithecus_roxellana
ENSRBIP00000031452	ENSRBIG00000039558	Rhinopithecus_bieti
ENSCANP00000015710	ENSCANG00000031318	Colobus_angolensis_palliatus
ENSPTEP00000023455	ENSPTEG00000024167	Piliocolobus_tephrosceles
ENSMNEP00000023982	ENSMNEG00000035555	Macaca_nemestrina
ENSMFAP00000023343	ENSMFAG00000043308	Macaca_fascicularis
ENSMMUP00000048224	ENSMMUG00000022660	Macaca_mulatta
ENSMLEP00000040703	ENSMLEG00000044377	Mandrillus_leucophaeus
ENSCATP00000029884	ENSCATG00000038158	Cercocebus_atys
ENSTGEP00000026382	ENSTGEG00000021246	Theropithecus_gelada
ENSPANP00000040184	ENSPANG00000013190	Papio_anubis
ENSMMUP00000079526	ENSMMUG00000058201	Macaca_mulatta
ENSCJAP00000068891	ENSCJAG00000055414	Callithrix_jacchus
