ENSPMEP00000030964	ENSPMEG00000017760	Poecilia_mexicana
ENSHCOP00000006174	ENSHCOG00000007936	Hippocampus_comes
ENSKMAP00000028611	ENSKMAG00000021207	Kryptolebias_marmoratus
ENSSMAP00000001819	ENSSMAG00000001149	Scophthalmus_maximus
ENSDCDP00000035747	ENSDCDG00000023891	Denticeps_clupeoides
ENSSPUP00000022945	ENSSPUG00000017617	Sphenodon_punctatus
ENSCHAP00000035024	ENSCHAG00000016659	Clupea_harengus
ENSMZEP00005006384	ENSMZEG00005004937	Maylandia_zebra
ENSAOCP00000029363	ENSAOCG00000019617	Amphiprion_ocellaris
ENSETEP00000015105	ENSETEG00000018584	Echinops_telfairi	ENSETET00000018585
ENSACLP00000025819	ENSACLG00000017572	Astatotilapia_calliptera
ENSGAFP00000020223	ENSGAFG00000013669	Gambusia_affinis
ENSXCOP00000006724	ENSXCOG00000005198	Xiphophorus_couchianus
ENSABRP00000004006	ENSABRG00000003741	Anser_brachyrhynchus
ENSAPEP00000005045	ENSAPEG00000003631	Amphiprion_percula
ENSPFOP00000019131	ENSPFOG00000019020	Poecilia_formosa
ENSAPOP00000034740	ENSAPOG00000024217	Acanthochromis_polyacanthus
ENSXMAP00000015341	ENSXMAG00000015309	Xiphophorus_maculatus
ENSLCRP00005034825	ENSLCRG00005013645	Larimichthys_crocea
ENSPKIP00000040442	ENSPKIG00000017406	Paramormyrops_kingsleyae
ENSFHEP00000020842	ENSFHEG00000022782	Fundulus_heteroclitus
ENSHHUP00000081187	ENSHHUG00000047226	Hucho_hucho
ENSELUP00000019397	ENSELUG00000018734	Esox_lucius
ENSSPAP00000003427	ENSSPAG00000002639	Stegastes_partitus
ENSTGUP00000001376	ENSTGUG00000001336	Taeniopygia_guttata	ENSTGUT00000001389
ENSMODP00000057763	ENSMODG00000015716	Monodelphis_domestica
ENSPLAP00000019827	ENSPLAG00000002255	Poecilia_latipinna
ENSCSEP00000010514	ENSCSEG00000006753	Cynoglossus_semilaevis
ENSHGLP00000022017	ENSHGLG00000015707	Heterocephalus_glaber_HetGla_female_1.0
ENSONIP00000018935	ENSONIG00000015042	Oreochromis_niloticus
ENSCMIP00000042010	ENSCMIG00000017478	Callorhinchus_milii
