ENSECAP00000020674	ENSECAG00000023234	Equus_caballus
ENSNLEP00000000067	ENSNLEG00000000061	Nomascus_leucogenys
ENSCLAP00000013842	ENSCLAG00000009572	Chinchilla_lanigera
ENSOGAP00000021708	ENSOGAG00000028544	Otolemur_garnettii
ENSLAFP00000020065	ENSLAFG00000027970	Loxodonta_africana
ENSABRP00000007696	ENSABRG00000007048	Anser_brachyrhynchus	ENSABRT00000011064
ENSHGLP00100019218	ENSHGLG00100014169	Heterocephalus_glaber_HetGla_1.0
ENSPPYP00000002327	ENSPPYG00000002012	Pongo_abelii
ENSLCOP00000003170	ENSLCOG00000002402	Lepidothrix_coronata
ENSTSYP00000020901	ENSTSYG00000036695	Carlito_syrichta
ENSPTEP00000014393	ENSPTEG00000016082	Piliocolobus_tephrosceles
ENSMGAP00000002676	ENSMGAG00000003030	Meleagris_gallopavo
ENSTGUP00000003283	ENSTGUG00000003189	Taeniopygia_guttata
ENSSDAP00000003824	ENSSDAG00000003615	Spermophilus_dauricus
ENSSHAP00000006378	ENSSHAG00000005551	Sarcophilus_harrisii
ENSCJPP00005011859	ENSCJPG00005010134	Coturnix_japonica
ENSMEUP00000000905	ENSMEUG00000000983	Notamacropus_eugenii
ENSJJAP00000019914	ENSJJAG00000020740	Jaculus_jaculus
ENSNSUP00000000155	ENSNSUG00000000185	Notechis_scutatus	ENSNSUT00000000174
ENSXETP00000029931	ENSXETG00000007236	Xenopus_tropicalis
ENSAPLP00000005369	ENSAPLG00000005804	Anas_platyrhynchos_platyrhynchos
ENSCGRP00015019673	ENSCGRG00015015127	Cricetulus_griseus_CriGri-PICR
ENSPCIP00000048786	ENSPCIG00000035445	Phascolarctos_cinereus
ENSMFAP00000005606	ENSMFAG00000002471	Macaca_fascicularis
ENSMMMP00000022985	ENSMMMG00000020146	Marmota_marmota_marmota
ENSSMRP00000011606	ENSSMRG00000009125	Salvator_merianae	ENSSMRT00000013527
ENSBBBP00000008627	ENSBBBG00000008652	Bison_bison_bison
ENSCCNP00000010502	ENSCCNG00000010974	Castor_canadensis
ENSFDAP00000021836	ENSFDAG00000007415	Fukomys_damarensis
ENSMVIP00005015172	ENSMVIG00005010927	Manacus_vitellinus
