ENSCHIP00000002153	ENSCHIG00000004885	Capra_hircus
ENSOARP00000007726	ENSOARG00000007209	Ovis_aries
ENSBIXP00005014216	ENSBIXG00005018226	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000003682	ENSBIXG00000010098	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000014587	ENSBTAG00000010994	Bos_taurus
ENSBMUP00000027816	ENSBMUG00000020847	Bos_mutus
ENSBBBP00000018070	ENSBBBG00000001887	Bison_bison_bison
ENSTTRP00000006312	ENSTTRG00000006666	Tursiops_truncatus
ENSSSCP00000013754	ENSSSCG00000038918	Sus_scrofa_strain_reference
ENSEEUP00000003947	ENSEEUG00000004314	Erinaceus_europaeus
ENSPVAP00000009876	ENSPVAG00000010479	Pteropus_vampyrus
ENSMLUP00000000780	ENSMLUG00000000850	Myotis_lucifugus
ENSUAMP00000018647	ENSUAMG00000014784	Ursus_americanus	ENSUAMT00000020860
ENSUMAP00000015930	ENSUMAG00000011517	Ursus_maritimus	ENSUMAT00000018858
ENSAMEP00000011548	ENSAMEG00000010968	Ailuropoda_melanoleuca	ENSAMET00000012039
ENSMPUP00000003396	ENSMPUG00000003426	Mustela_putorius_furo
ENSNVIP00000017993	ENSNVIG00000013963	Neovison_vison
ENSCAFP00020019500	ENSCAFG00020015507	Canis_lupus_dingo
ENSCAFP00000018312	ENSCAFG00000012434	Canis_lupus_familiaris
ENSVVUP00000037803	ENSVVUG00000027004	Vulpes_vulpes
ENSPPRP00000010081	ENSPPRG00000004349	Panthera_pardus
ENSFCAP00000006851	ENSFCAG00000007389	Felis_catus
ENSECAP00000019741	ENSECAG00000022139	Equus_caballus
ENSEASP00005006844	ENSEASG00005005052	Equus_asinus_asinus
ENSCCNP00000025009	ENSCCNG00000024441	Castor_canadensis
ENSDORP00000008613	ENSDORG00000009169	Dipodomys_ordii
ENSMSIP00000005494	ENSMSIG00000004954	Mus_spicilegus
MGP_SPRETEiJ_P0049501	MGP_SPRETEiJ_G0023434	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000112481	ENSMUSG00000083282	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0047539	MGP_CAROLIEiJ_G0022520	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0020552	MGP_PahariEiJ_G0014017	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000026718	ENSRNOG00000019708	Rattus_norvegicus
ENSMUGP00000005789	ENSMUGG00000005341	Meriones_unguiculatus
ENSPEMP00000012620	ENSPEMG00000012907	Peromyscus_maniculatus_bairdii
ENSMOCP00000017077	ENSMOCG00000015786	Microtus_ochrogaster
ENSCGRP00001000054	ENSCGRG00001000078	Cricetulus_griseus_CHOK1GS_HDv1
