ENSCMIP00000013548	ENSCMIG00000006782	Callorhinchus_milii
ENSMALP00000029009	ENSMALG00000020053	Monopterus_albus
ENSCCNP00000004708	ENSCCNG00000005013	Castor_canadensis
ENSEBUP00000005545	ENSEBUG00000003764	Eptatretus_burgeri
ENSPMAP00000009386	ENSPMAG00000008375	Petromyzon_marinus
ENSCINP00000022381	ENSCING00000011799	Ciona_intestinalis
ENSPNAP00000023361	ENSPNAG00000006409	Pygocentrus_nattereri
ENSPNAP00000023271	ENSPNAG00000000522	Pygocentrus_nattereri
ENSAMXP00000000515	ENSAMXG00000000506	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00000031709	ENSAMXG00000043596	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005055626	ENSAMXG00005024700	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSIPUP00000003840	ENSIPUG00000002546	Ictalurus_punctatus
ENSEEEP00000001843	ENSEEEG00000001125	Electrophorus_electricus
ENSDARP00000124184	ENSDARG00000063068	Danio_rerio
ENSCHAP00000041464	ENSCHAG00000016116	Clupea_harengus
ENSPMEP00000023225	ENSPMEG00000004782	Poecilia_mexicana
ENSPLAP00000004759	ENSPLAG00000006618	Poecilia_latipinna
ENSGAFP00000027148	ENSGAFG00000018339	Gambusia_affinis
ENSCVAP00000023583	ENSCVAG00000007146	Cyprinodon_variegatus
ENSORLP00020004598	ENSORLG00020005404	Oryzias_latipes_ASM223471v1
ENSORLP00020024155	ENSORLG00020005380	Oryzias_latipes_ASM223471v1
ENSORLP00000034213	ENSORLG00000022341	Oryzias_latipes_ASM223467v1
ENSORLP00000037196	ENSORLG00000022048	Oryzias_latipes_ASM223467v1
ENSOMEP00000024577	ENSOMEG00000005288	Oryzias_melastigma
ENSCGOP00000045064	ENSCGOG00000020177	Cottoperca_gobio
ENSPMGP00000002278	ENSPMGG00000002017	Periophthalmus_magnuspinnatus
ENSPMGP00000002297	ENSPMGG00000002030	Periophthalmus_magnuspinnatus
ENSCSEP00000010703	ENSCSEG00000006808	Cynoglossus_semilaevis
ENSCSEP00000010569	ENSCSEG00000006735	Cynoglossus_semilaevis
ENSMMOP00000014561	ENSMMOG00000011139	Mola_mola
ENSFHEP00000000843	ENSFHEG00000001606	Fundulus_heteroclitus
