ENSXCOP00000019064	ENSXCOG00000014328	Xiphophorus_couchianus
ENSOGAP00000000842	ENSOGAG00000000941	Otolemur_garnettii
ENSNBRP00000011403	ENSNBRG00000008834	Neolamprologus_brichardi
ENSOMEP00000035664	ENSOMEG00000023045	Oryzias_melastigma
ENSACIP00000011922	ENSACIG00000009287	Amphilophus_citrinellus
C56G2.7b.1	WBGene00016981	Caenorhabditis_elegans_strain_N2
ENSTGUP00000016807	ENSTGUG00000016508	Taeniopygia_guttata
ENSOMEP00000001863	ENSOMEG00000002793	Oryzias_melastigma
ENSCGOP00000049286	ENSCGOG00000021957	Cottoperca_gobio
ENSECRP00000014505	ENSECRG00000009663	Erpetoichthys_calabaricus
ENSSHAP00000016970	ENSSHAG00000014429	Sarcophilus_harrisii
ENSPVIP00000009144	ENSPVIG00000007303	Pogona_vitticeps
ENSONIP00000021132	ENSONIG00000016775	Oreochromis_niloticus
ENSSPUP00000018835	ENSSPUG00000014518	Sphenodon_punctatus
ENSNMEP00000018371	ENSNMEG00000015994	Numida_meleagris
ENSLBEP00000019242	ENSLBEG00000014791	Labrus_bergylta
ENSMUSP00000141274	ENSMUSG00000042165	Mus_musculus_strain_reference_(CL57BL6)
ENSPMGP00000013962	ENSPMGG00000011475	Periophthalmus_magnuspinnatus
ENSPKIP00000032056	ENSPKIG00000012305	Paramormyrops_kingsleyae
ENSBIXP00005017671	ENSBIXG00005003573	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMFAP00000029794	ENSMFAG00000042099	Macaca_fascicularis
ENSCHAP00000015179	ENSCHAG00000008102	Clupea_harengus
ENSPREP00000002098	ENSPREG00000001534	Poecilia_reticulata
ENSHCOP00000022726	ENSHCOG00000010679	Hippocampus_comes
ENSCPBP00000039325	ENSCPBG00000027092	Chrysemys_picta_bellii
ENSCCAP00000018619	ENSCCAG00000027146	Cebus_capucinus_imitator
ENSCAPP00000011006	ENSCAPG00000012143	Cavia_aperea
ENSEEEP00000051946	ENSEEEG00000024376	Electrophorus_electricus
ENSGACP00000013743	ENSGACG00000010370	Gasterosteus_aculeatus
ENSHGLP00100009296	ENSHGLG00100006889	Heterocephalus_glaber_HetGla_1.0
ENSDNOP00000031448	ENSDNOG00000049138	Dasypus_novemcinctus
ENSORLP00015005232	ENSORLG00015006033	Oryzias_latipes_ASM223469v1
ENSGWIP00000022552	ENSGWIG00000012075	Gouania_willdenowi
ENSTGEP00000012567	ENSTGEG00000010262	Theropithecus_gelada
ENSDARP00000075874	ENSDARG00000058560	Danio_rerio
ENSPMEP00000023625	ENSPMEG00000005333	Poecilia_mexicana
ENSCJPP00005002707	ENSCJPG00005003018	Coturnix_japonica
ENSGACP00000015780	ENSGACG00000011924	Gasterosteus_aculeatus
ENSKMAP00000006604	ENSKMAG00000004980	Kryptolebias_marmoratus
ENSCLAP00000007427	ENSCLAG00000005222	Chinchilla_lanigera
ENSORLP00020010987	ENSORLG00020011923	Oryzias_latipes_ASM223471v1
ENSORLP00000018638	ENSORLG00000014864	Oryzias_latipes_ASM223467v1
ENSPLAP00000000690	ENSPLAG00000001566	Poecilia_latipinna
ENSGMOP00000021035	ENSGMOG00000019559	Gadus_morhua
ENSCCEP00000024110	ENSCCEG00000021460	Cyanistes_caeruleus
ENSMZEP00005035348	ENSMZEG00005026417	Maylandia_zebra
ENSAPOP00000022728	ENSAPOG00000004127	Acanthochromis_polyacanthus
ENSNLEP00000019306	ENSNLEG00000015858	Nomascus_leucogenys
ENSARWP00000013919	ENSARWG00000009631	Apteryx_rowi	ENSARWT00000015899
ENSSBOP00000019394	ENSSBOG00000026290	Saimiri_boliviensis_boliviensis
ENSPMEP00000013600	ENSPMEG00000000781	Poecilia_mexicana
ENSFALP00000011028	ENSFALG00000010566	Ficedula_albicollis
ENSBBBP00000027379	ENSBBBG00000023624	Bison_bison_bison
ENSMUGP00000018810	ENSMUGG00000015951	Meriones_unguiculatus
ENSCGRP00001006384	ENSCGRG00001008593	Cricetulus_griseus_CHOK1GS_HDv1
ENSPCIP00000043968	ENSPCIG00000013388	Phascolarctos_cinereus
ENSPRNP00000001906	ENSPRNG00000001195	Parambassis_ranga
ENSCGRP00000018946	ENSCGRG00000013794	Cricetulus_griseus_CriGri_1.0
ENSCABP00000005820	ENSCABG00000004366	Chelonoidis_abingdonii
ENSSFOP00015025347	ENSSFOG00015016269	Scleropages_formosus
ENSHBUP00000028778	ENSHBUG00000012755	Haplochromis_burtoni
ENSNVIP00000027540	ENSNVIG00000021284	Neovison_vison
ENSBIXP00000016149	ENSBIXG00000020422	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCGOP00000050568	ENSCGOG00000022439	Cottoperca_gobio
ENSPTEP00000000516	ENSPTEG00000000603	Piliocolobus_tephrosceles
ENSCATP00000039981	ENSCATG00000042561	Cercocebus_atys
ENSMEUP00000008333	ENSMEUG00000009124	Notamacropus_eugenii
ENSCHIP00000014493	ENSCHIG00000015510	Capra_hircus
ENSLAFP00000002664	ENSLAFG00000003207	Loxodonta_africana
ENSPNYP00000017842	ENSPNYG00000013469	Pundamilia_nyererei
ENSMOCP00000015280	ENSMOCG00000014522	Microtus_ochrogaster
ENSCAFP00020000118	ENSCAFG00020000118	Canis_lupus_dingo
ENSABRP00000004962	ENSABRG00000003927	Anser_brachyrhynchus
ENSGAFP00000004032	ENSGAFG00000002724	Gambusia_affinis
ENSCSAP00000011874	ENSCSAG00000015796	Chlorocebus_sabaeus
ENSFHEP00000004337	ENSFHEG00000005257	Fundulus_heteroclitus
ENSCINP00000013972	ENSCING00000006808	Ciona_intestinalis
ENSAHAP00000001513	ENSAHAG00000001293	Apteryx_haastii	ENSAHAT00000001722
ENSCSEP00000033587	ENSCSEG00000021555	Cynoglossus_semilaevis
ENSPLAP00000004439	ENSPLAG00000006138	Poecilia_latipinna
ENSSLDP00000016520	ENSSLDG00000013102	Seriola_lalandi_dorsalis
ENSMNEP00000005699	ENSMNEG00000025734	Macaca_nemestrina
ENSLSDP00000006193	ENSLSDG00000004730	Lonchura_striata_domestica
ENSMVIP00005005610	ENSMVIG00005004297	Manacus_vitellinus
MGP_CAROLIEiJ_P0056584	MGP_CAROLIEiJ_G0024776	Mus_caroli_strain_CAROLI_EIJ
ENSDNVP00000020841	ENSDNVG00000014589	Dromaius_novaehollandiae	ENSDNVT00000025136
ENSAPLP00000011115	ENSAPLG00000011362	Anas_platyrhynchos_platyrhynchos
ENSLCAP00010056973	ENSLCAG00010026591	Lates_calcarifer
ENSCVAP00000017472	ENSCVAG00000020581	Cyprinodon_variegatus
ENSACAP00000004621	ENSACAG00000004732	Anolis_carolinensis
ENSCPUP00000011867	ENSCPUG00000008412	Calidris_pugnax
ENSPFOP00000006526	ENSPFOG00000006543	Poecilia_formosa
ENSANAP00000027355	ENSANAG00000031521	Aotus_nancymaae
ENSANAP00000009589	ENSANAG00000022779	Aotus_nancymaae
ENSPMEP00000021438	ENSPMEG00000001655	Poecilia_mexicana
ENSTSYP00000022876	ENSTSYG00000026096	Carlito_syrichta
ENSSLDP00000001029	ENSSLDG00000000876	Seriola_lalandi_dorsalis
ENSGWIP00000018802	ENSGWIG00000010360	Gouania_willdenowi
ENSPNYP00000031666	ENSPNYG00000023888	Pundamilia_nyererei
ENSACIP00000015052	ENSACIG00000011688	Amphilophus_citrinellus
ENSPSIP00000003925	ENSPSIG00000003713	Pelodiscus_sinensis
ENSPEMP00000022754	ENSPEMG00000020024	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0058786	MGP_SPRETEiJ_G0025699	Mus_spretus_strain_SPRET/EiJ
ENSMALP00000002314	ENSMALG00000001740	Monopterus_albus
ENSHHUP00000050496	ENSHHUG00000030470	Hucho_hucho
ENSPFOP00000012105	ENSPFOG00000012054	Poecilia_formosa
ENSSCAP00000021122	ENSSCAG00000015218	Serinus_canaria
ENSCHAP00000010779	ENSCHAG00000005973	Clupea_harengus
ENSSDAP00000006636	ENSSDAG00000006131	Spermophilus_dauricus
ENSOANP00000005339	ENSOANG00000003363	Ornithorhynchus_anatinus
ENSJJAP00000006804	ENSJJAG00000011363	Jaculus_jaculus
ENSGMOP00000005135	ENSGMOG00000004854	Gadus_morhua
ENSPCAP00000015347	ENSPCAG00000016407	Procavia_capensis
ENSPCOP00000018875	ENSPCOG00000021357	Propithecus_coquereli
ENSAOCP00000030810	ENSAOCG00000022032	Amphiprion_ocellaris
ENSAMXP00000017322	ENSAMXG00000016818	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSUPAP00010010642	ENSUPAG00010008614	Urocitellus_parryii
