ENSAOCP00000003387	ENSAOCG00000006671	Amphiprion_ocellaris
ENSBMUP00000035274	ENSBMUG00000026232	Bos_mutus
ENSNGAP00000005789	ENSNGAG00000008327	Nannospalax_galili
ENSCGOP00000019287	ENSCGOG00000009252	Cottoperca_gobio
ENSOMEP00000011213	ENSOMEG00000012523	Oryzias_melastigma
ENSOCUP00000000775	ENSOCUG00000000897	Oryctolagus_cuniculus
ENSTTRP00000010343	ENSTTRG00000010908	Tursiops_truncatus
ENSNSUP00000023158	ENSNSUG00000016695	Notechis_scutatus
ENSPSIP00000015442	ENSPSIG00000013615	Pelodiscus_sinensis
ENSATEP00000017506	ENSATEG00000012171	Anabas_testudineus
ENSRBIP00000025562	ENSRBIG00000036645	Rhinopithecus_bieti
ENSDNVP00000018802	ENSDNVG00000013144	Dromaius_novaehollandiae
ENSUMAP00000010029	ENSUMAG00000007543	Ursus_maritimus
ENSECAP00000020185	ENSECAG00000022617	Equus_caballus
ENSXCOP00000012848	ENSXCOG00000009712	Xiphophorus_couchianus
ENSECRP00000008503	ENSECRG00000005701	Erpetoichthys_calabaricus
ENSKMAP00000012326	ENSKMAG00000009245	Kryptolebias_marmoratus
ENSDCDP00000035293	ENSDCDG00000023689	Denticeps_clupeoides
ENSCAFP00000050809	ENSCAFG00000018614	Canis_lupus_familiaris
ENSBBBP00000016851	ENSBBBG00000006659	Bison_bison_bison
ENSAHAP00000026337	ENSAHAG00000018338	Apteryx_haastii
ENSSMAP00000016993	ENSSMAG00000010411	Scophthalmus_maximus
ENSGACP00000021019	ENSGACG00000015926	Gasterosteus_aculeatus
ENSLCOP00000015898	ENSLCOG00000011354	Lepidothrix_coronata
ENSFALP00000002093	ENSFALG00000002013	Ficedula_albicollis
ENSBTAP00000000017	ENSBTAG00000000013	Bos_taurus
ENSDORP00000013334	ENSDORG00000014183	Dipodomys_ordii
ENSMUSP00000063166	ENSMUSG00000050697	Mus_musculus_strain_reference_(CL57BL6)
ENSONIP00000014173	ENSONIG00000011261	Oreochromis_niloticus
ENSMFAP00000001653	ENSMFAG00000036296	Macaca_fascicularis
