ENSLACP00000001969	ENSLACG00000001759	Latimeria_chalumnae
ENSLACP00000010953	ENSLACG00000009637	Latimeria_chalumnae
ENSLACP00000017529	ENSLACG00000015439	Latimeria_chalumnae
ENSLACP00000004832	ENSLACG00000004298	Latimeria_chalumnae
ENSLACP00000001084	ENSLACG00000000970	Latimeria_chalumnae
ENSLACP00000002364	ENSLACG00000002113	Latimeria_chalumnae
ENSLACP00000005421	ENSLACG00000004824	Latimeria_chalumnae	ENSLACT00000005469
ENSLACP00000009319	ENSLACG00000008221	Latimeria_chalumnae	ENSLACT00000009390
ENSLACP00000010123	ENSLACG00000008924	Latimeria_chalumnae	ENSLACT00000010200
ENSLACP00000001493	ENSLACG00000001337	Latimeria_chalumnae	ENSLACT00000001506
ENSLACP00000012990	ENSLACG00000011444	Latimeria_chalumnae	ENSLACT00000013085
ENSLACP00000010268	ENSLACG00000009046	Latimeria_chalumnae	ENSLACT00000010346
ENSLACP00000012009	ENSLACG00000010569	Latimeria_chalumnae	ENSLACT00000012100
ENSLACP00000005332	ENSLACG00000004741	Latimeria_chalumnae	ENSLACT00000005379
ENSLACP00000013149	ENSLACG00000011580	Latimeria_chalumnae	ENSLACT00000013245
ENSLACP00000002452	ENSLACG00000002189	Latimeria_chalumnae	ENSLACT00000002472
ENSLACP00000000089	ENSLACG00000000077	Latimeria_chalumnae	ENSLACT00000000090
ENSLACP00000004854	ENSLACG00000004316	Latimeria_chalumnae	ENSLACT00000004896
ENSLACP00000012609	ENSLACG00000011108	Latimeria_chalumnae	ENSLACT00000012703
ENSLACP00000003529	ENSLACG00000003145	Latimeria_chalumnae	ENSLACT00000003560
ENSLACP00000004271	ENSLACG00000003803	Latimeria_chalumnae	ENSLACT00000004309
ENSLACP00000014343	ENSLACG00000012623	Latimeria_chalumnae	ENSLACT00000014443
ENSLACP00000000950	ENSLACG00000000848	Latimeria_chalumnae	ENSLACT00000000959
ENSLACP00000005628	ENSLACG00000005001	Latimeria_chalumnae	ENSLACT00000005677
ENSLACP00000011119	ENSLACG00000009782	Latimeria_chalumnae	ENSLACT00000011202
ENSLACP00000012396	ENSLACG00000010916	Latimeria_chalumnae	ENSLACT00000012489
ENSLACP00000006154	ENSLACG00000005459	Latimeria_chalumnae	ENSLACT00000006206
ENSLACP00000012788	ENSLACG00000011265	Latimeria_chalumnae	ENSLACT00000012882
ENSLACP00000004409	ENSLACG00000003920	Latimeria_chalumnae	ENSLACT00000004447
ENSLACP00000005637	ENSLACG00000005009	Latimeria_chalumnae	ENSLACT00000005686
ENSLACP00000020925	ENSLACG00000018384	Latimeria_chalumnae	ENSLACT00000021065
ENSLACP00000011387	ENSLACG00000010019	Latimeria_chalumnae	ENSLACT00000011473
ENSLACP00000021103	ENSLACG00000018540	Latimeria_chalumnae	ENSLACT00000021243
