ENSAPEP00000012472	ENSAPEG00000008893	Amphiprion_percula
ENSNBRP00000025655	ENSNBRG00000019620	Neolamprologus_brichardi
ENSMVIP00005019878	ENSMVIG00005014061	Manacus_vitellinus
ENSNGAP00000009529	ENSNGAG00000012193	Nannospalax_galili
ENSPKIP00000019227	ENSPKIG00000004485	Paramormyrops_kingsleyae
ENSVURP00010019781	ENSVURG00010015105	Vombatus_ursinus
ENSXMAP00000004229	ENSXMAG00000004225	Xiphophorus_maculatus
ENSGGOP00000005475	ENSGGOG00000037173	Gorilla_gorilla
ENSPVAP00000009837	ENSPVAG00000010439	Pteropus_vampyrus
ENSCAFP00000032692	ENSCAFG00000008104	Canis_lupus_familiaris
ENSNVIP00000027557	ENSNVIG00000021308	Neovison_vison
ENSACLP00000017268	ENSACLG00000011783	Astatotilapia_calliptera
ENSACIP00000003247	ENSACIG00000002595	Amphilophus_citrinellus
ENSELUP00000028945	ENSELUG00000005648	Esox_lucius
ENSSBOP00000003551	ENSSBOG00000017086	Saimiri_boliviensis_boliviensis
ENSPSMP00000016473	ENSPSMG00000011754	Prolemur_simus
ENSLACP00000008619	ENSLACG00000007620	Latimeria_chalumnae
ENSJHYP00000008753	ENSJHYG00000006941	Junco_hyemalis
ENSRBIP00000041665	ENSRBIG00000044150	Rhinopithecus_bieti
ENSCPRP00005003302	ENSCPRG00005002432	Crocodylus_porosus
ENSFHEP00000017382	ENSFHEG00000019081	Fundulus_heteroclitus
ENSCGOP00000047088	ENSCGOG00000021141	Cottoperca_gobio
ENSCCAP00000018222	ENSCCAG00000026940	Cebus_capucinus_imitator
ENSNMEP00000008214	ENSNMEG00000008060	Numida_meleagris
ENSTGUP00000013705	ENSTGUG00000013314	Taeniopygia_guttata
ENSCPGP00000002683	ENSCPGG00000002000	Calidris_pygmaea
ENSBBBP00000016510	ENSBBBG00000024577	Bison_bison_bison
ENSHHUP00000014421	ENSHHUG00000008931	Hucho_hucho
ENSP00000301921	ENSG00000171056	Homo_sapiens
ENSCPUP00000009091	ENSCPUG00000006483	Calidris_pugnax
ENSECRP00000007182	ENSECRG00000004795	Erpetoichthys_calabaricus
ENSSSCP00000040343	ENSSSCG00000031889	Sus_scrofa_strain_reference
ENSMUSP00000078597	ENSMUSG00000063060	Mus_musculus_strain_reference_(CL57BL6)
ENSDARP00000147155	ENSDARG00000030125	Danio_rerio
ENSXETP00000003614	ENSXETG00000004658	Xenopus_tropicalis
ENSMMOP00000020528	ENSMMOG00000015611	Mola_mola
ENSABRP00000003498	ENSABRG00000003296	Anser_brachyrhynchus
ENSGAFP00000005145	ENSGAFG00000003511	Gambusia_affinis
ENSAHAP00000005026	ENSAHAG00000003915	Apteryx_haastii
ENSCVAP00000019880	ENSCVAG00000000613	Cyprinodon_variegatus
ENSMICP00000030385	ENSMICG00000009404	Microcebus_murinus
ENSPCIP00000005727	ENSPCIG00000004792	Phascolarctos_cinereus
ENSAMXP00005040953	ENSAMXG00005019193	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMGAP00000015016	ENSMGAG00000014195	Meleagris_gallopavo
ENSTGEP00000019223	ENSTGEG00000015463	Theropithecus_gelada
ENSARWP00000008532	ENSARWG00000005961	Apteryx_rowi
ENSDNVP00000014840	ENSDNVG00000010443	Dromaius_novaehollandiae
ENSTTRP00000014732	ENSTTRG00000015548	Tursiops_truncatus
ENSOMEP00000014399	ENSOMEG00000015900	Oryzias_melastigma
ENSPTRP00000072974	ENSPTRG00000050907	Pan_troglodytes
ENSAMXP00000040536	ENSAMXG00000030409	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLOCP00000020715	ENSLOCG00000016760	Lepisosteus_oculatus
ENSBSLP00000054619	ENSBSLG00000025639	Betta_splendens
ENSECAP00000042666	ENSECAG00000039487	Equus_caballus
ENSGAGP00000010695	ENSGAGG00000008347	Gopherus_agassizii	ENSGAGT00000012265
ENSMUGP00000022990	ENSMUGG00000019254	Meriones_unguiculatus
ENSSFOP00015024914	ENSSFOG00015016022	Scleropages_formosus
ENSGALP00000056925	ENSGALG00000041296	Gallus_gallus
ENSMODP00000011087	ENSMODG00000008896	Monodelphis_domestica
ENSJJAP00000006056	ENSJJAG00000010830	Jaculus_jaculus
ENSOGAP00000022255	ENSOGAG00000034608	Otolemur_garnettii
ENSSMRP00000015768	ENSSMRG00000012266	Salvator_merianae
ENSBMUP00000003903	ENSBMUG00000003073	Bos_mutus
ENSDNOP00000017725	ENSDNOG00000044362	Dasypus_novemcinctus
ENSP00000451145	ENSG00000258724	Homo_sapiens
ENSPMEP00000032460	ENSPMEG00000020311	Poecilia_mexicana
ENSORLP00020023598	ENSORLG00020004544	Oryzias_latipes_ASM223471v1
ENSMALP00000004672	ENSMALG00000003408	Monopterus_albus
ENSPKIP00000036740	ENSPKIG00000015196	Paramormyrops_kingsleyae
ENSLCAP00010032082	ENSLCAG00010015076	Lates_calcarifer
ENSHHUP00000006142	ENSHHUG00000003795	Hucho_hucho
ENSORLP00000026708	ENSORLG00000027772	Oryzias_latipes_ASM223467v1
ENSBTAP00000060976	ENSBTAG00000054688	Bos_taurus
ENSMSIP00000016718	ENSMSIG00000014331	Mus_spicilegus
ENSDCDP00000028618	ENSDCDG00000020587	Denticeps_clupeoides
ENSTBEP00000002775	ENSTBEG00000003228	Tupaia_belangeri
ENSPTEP00000034394	ENSPTEG00000032643	Piliocolobus_tephrosceles
ENSAMEP00000016946	ENSAMEG00000016046	Ailuropoda_melanoleuca
ENSCPBP00000028512	ENSCPBG00000020139	Chrysemys_picta_bellii
ENSMLEP00000015536	ENSMLEG00000031950	Mandrillus_leucophaeus
ENSSFOP00015014538	ENSSFOG00015009373	Scleropages_formosus
ENSPPRP00000021139	ENSPPRG00000012019	Panthera_pardus
ENSCGRP00001023082	ENSCGRG00001021410	Cricetulus_griseus_CHOK1GS_HDv1
ENSAPLP00000032715	ENSAPLG00000031006	Anas_platyrhynchos_platyrhynchos
ENSPFOP00000009924	ENSPFOG00000009961	Poecilia_formosa
ENSUPAP00010004036	ENSUPAG00010003304	Urocitellus_parryii
ENSCABP00000015785	ENSCABG00000011782	Chelonoidis_abingdonii
MGP_CAROLIEiJ_P0037113	MGP_CAROLIEiJ_G0019410	Mus_caroli_strain_CAROLI_EIJ
ENSUAMP00000019295	ENSUAMG00000015245	Ursus_americanus
ENSPLAP00000011885	ENSPLAG00000015086	Poecilia_latipinna
ENSMLUP00000017720	ENSMLUG00000029313	Myotis_lucifugus
ENSFDAP00000002230	ENSFDAG00000011992	Fukomys_damarensis
ENSAOWP00000018976	ENSAOWG00000012908	Apteryx_owenii
ENSPANP00000005292	ENSPANG00000002883	Papio_anubis
