ENSLAFP00000022882	ENSLAFG00000030888	Loxodonta_africana
ENSCCNP00000016688	ENSCCNG00000016989	Castor_canadensis
ENSFDAP00000021347	ENSFDAG00000000046	Fukomys_damarensis
ENSSSCP00000019008	ENSSSCG00000017942	Sus_scrofa_strain_reference
ENSOANP00000026424	ENSOANG00000020774	Ornithorhynchus_anatinus
MGP_SPRETEiJ_P0029043	MGP_SPRETEiJ_G0017438	Mus_spretus_strain_SPRET/EiJ
ENSCHIP00000030048	ENSCHIG00000024951	Capra_hircus
ENSJJAP00000001835	ENSJJAG00000002636	Jaculus_jaculus
ENSBBBP00000006615	ENSBBBG00000003626	Bison_bison_bison
ENSPCIP00000042233	ENSPCIG00000031869	Phascolarctos_cinereus
ENSOGAP00000018352	ENSOGAG00000034278	Otolemur_garnettii	ENSOGAT00000034266
ENSPEMP00000021347	ENSPEMG00000019019	Peromyscus_maniculatus_bairdii
ENSCJAP00000074769	ENSCJAG00000066903	Callithrix_jacchus	ENSCJAT00000102161
ENSAMEP00000017542	ENSAMEG00000016605	Ailuropoda_melanoleuca
ENSBMUP00000008558	ENSBMUG00000006688	Bos_mutus
ENSCAFP00020010485	ENSCAFG00020008512	Canis_lupus_dingo
ENSNVIP00000003625	ENSNVIG00000002885	Neovison_vison
ENSUMAP00000021235	ENSUMAG00000015517	Ursus_maritimus
ENSNGAP00000021495	ENSNGAG00000020654	Nannospalax_galili
ENSBIXP00005020309	ENSBIXG00005007232	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCGRP00015011805	ENSCGRG00015009005	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000016533	ENSCGRG00000012009	Cricetulus_griseus_CriGri_1.0
ENSHGLP00100024666	ENSHGLG00100018114	Heterocephalus_glaber_HetGla_1.0
ENSOCUP00000031573	ENSOCUG00000032904	Oryctolagus_cuniculus
ENSSTOP00000018420	ENSSTOG00000024856	Ictidomys_tridecemlineatus
ENSRNOP00000021402	ENSRNOG00000015975	Rattus_norvegicus
ENSSDAP00000004177	ENSSDAG00000003856	Spermophilus_dauricus
ENSMMMP00000022117	ENSMMMG00000019415	Marmota_marmota_marmota
ENSBTAP00000069931	ENSBTAG00000045892	Bos_taurus
ENSMUGP00000018493	ENSMUGG00000015606	Meriones_unguiculatus
ENSCLAP00000019733	ENSCLAG00000013536	Chinchilla_lanigera
ENSMAUP00000002195	ENSMAUG00000001712	Mesocricetus_auratus
MGP_CAROLIEiJ_P0027659	MGP_CAROLIEiJ_G0016602	Mus_caroli_strain_CAROLI_EIJ
ENSMPUP00000010054	ENSMPUG00000010131	Mustela_putorius_furo
ENSEASP00005028001	ENSEASG00005019031	Equus_asinus_asinus
ENSUAMP00000018715	ENSUAMG00000014827	Ursus_americanus
ENSMSIP00000030077	ENSMSIG00000025149	Mus_spicilegus
ENSMLUP00000020107	ENSMLUG00000026735	Myotis_lucifugus
ENSVVUP00000039036	ENSVVUG00000027843	Vulpes_vulpes
ENSCAFP00000050492	ENSCAFG00000045519	Canis_lupus_familiaris
ENSCGRP00001005435	ENSCGRG00001007134	Cricetulus_griseus_CHOK1GS_HDv1
ENSBIXP00000008411	ENSBIXG00000014266	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSFCAP00000055703	ENSFCAG00000050178	Felis_catus
ENSVURP00010003484	ENSVURG00010002791	Vombatus_ursinus
ENSHGLP00000025644	ENSHGLG00000018261	Heterocephalus_glaber_HetGla_female_1.0
ENSUPAP00010018644	ENSUPAG00010014750	Urocitellus_parryii
ENSMOCP00000012184	ENSMOCG00000012374	Microtus_ochrogaster
MGP_PahariEiJ_P0034410	MGP_PahariEiJ_G0017733	Mus_pahari_strain_PAHARI_EIJ
ENSMUSP00000099640	ENSMUSG00000018570	Mus_musculus_strain_reference_(CL57BL6)
ENSOARP00000013037	ENSOARG00000012160	Ovis_aries
ENSPSMP00000028151	ENSPSMG00000019603	Prolemur_simus	ENSPSMT00000032534
ENSBMUP00000008552	ENSBMUG00000006684	Bos_mutus
ENSECAP00000024942	ENSECAG00000013076	Equus_caballus
ENSCPOP00000025169	ENSCPOG00000021214	Cavia_porcellus
