ENSCABP00000011937	ENSCABG00000008914	Chelonoidis_abingdonii
ENSGAGP00000005346	ENSGAGG00000004319	Gopherus_agassizii
ENSCPBP00000040806	ENSCPBG00000028025	Chrysemys_picta_bellii
ENSPSIP00000004230	ENSPSIG00000003971	Pelodiscus_sinensis
ENSGALP00000021691	ENSGALG00000013304	Gallus_gallus
ENSCJPP00005018859	ENSCJPG00005015307	Coturnix_japonica
ENSMGAP00000001350	ENSMGAG00000001798	Meleagris_gallopavo
ENSNMEP00000003456	ENSNMEG00000004010	Numida_meleagris
ENSAPLP00000002934	ENSAPLG00000003447	Anas_platyrhynchos_platyrhynchos
ENSAPLP00000029688	ENSAPLG00000018869	Anas_platyrhynchos_platyrhynchos
ENSABRP00000021276	ENSABRG00000018088	Anser_brachyrhynchus
ENSCCEP00000017583	ENSCCEG00000016261	Cyanistes_caeruleus
ENSPMJP00000003458	ENSPMJG00000003022	Parus_major
ENSFALP00000003158	ENSFALG00000003035	Ficedula_albicollis
ENSLSDP00000018850	ENSLSDG00000013459	Lonchura_striata_domestica
ENSLSDP00000018859	ENSLSDG00000013464	Lonchura_striata_domestica
ENSTGUP00000004795	ENSTGUG00000004634	Taeniopygia_guttata
ENSZALP00000014222	ENSZALG00000011785	Zonotrichia_albicollis
ENSJHYP00000005166	ENSJHYG00000004215	Junco_hyemalis
ENSSCAP00000010188	ENSSCAG00000007733	Serinus_canaria
ENSLCOP00000019598	ENSLCOG00000013823	Lepidothrix_coronata
ENSMVIP00005001327	ENSMVIG00005001033	Manacus_vitellinus
ENSCPGP00000016254	ENSCPGG00000011440	Calidris_pygmaea
ENSCPUP00000026385	ENSCPUG00000017776	Calidris_pugnax
ENSMUNP00000005391	ENSMUNG00000004440	Melopsittacus_undulatus
ENSAHAP00000022704	ENSAHAG00000015916	Apteryx_haastii
ENSAOWP00000008444	ENSAOWG00000005781	Apteryx_owenii
ENSARWP00000009426	ENSARWG00000006568	Apteryx_rowi
ENSDNVP00000014593	ENSDNVG00000010279	Dromaius_novaehollandiae
ENSACAP00000004571	ENSACAG00000004670	Anolis_carolinensis
ENSPVIP00000034907	ENSPVIG00000025497	Pogona_vitticeps
ENSNSUP00000015831	ENSNSUG00000011707	Notechis_scutatus
ENSSMRP00000002419	ENSSMRG00000002093	Salvator_merianae
ENSSPUP00000004881	ENSSPUG00000003717	Sphenodon_punctatus
ENSXETP00000008211	ENSXETG00000006859	Xenopus_tropicalis
ENSCPRP00005010577	ENSCPRG00005007547	Crocodylus_porosus
ENSCPRP00005010586	ENSCPRG00005007551	Crocodylus_porosus
ENSNPEP00000011649	ENSNPEG00000008748	Nothoprocta_perdicaria
ENSNPEP00000011653	ENSNPEG00000008756	Nothoprocta_perdicaria
ENSXETP00000029732	ENSXETG00000007380	Xenopus_tropicalis
ENSCHAP00000030531	ENSCHAG00000014424	Clupea_harengus
ENSDCDP00000045456	ENSDCDG00000028571	Denticeps_clupeoides
ENSAMXP00005004899	ENSAMXG00005002744	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000018317	ENSAMXG00000017755	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000000868	ENSPNAG00000007789	Pygocentrus_nattereri
ENSIPUP00000033405	ENSIPUG00000022439	Ictalurus_punctatus
ENSEEEP00000003350	ENSEEEG00000001873	Electrophorus_electricus
ENSDARP00000128187	ENSDARG00000005004	Danio_rerio
ENSHHUP00000063376	ENSHHUG00000037456	Hucho_hucho
ENSELUP00000040326	ENSELUG00000020753	Esox_lucius
ENSGMOP00000020127	ENSGMOG00000018617	Gadus_morhua
ENSSFOP00015009728	ENSSFOG00015006291	Scleropages_formosus
ENSPKIP00000012858	ENSPKIG00000000501	Paramormyrops_kingsleyae
ENSLOCP00000007853	ENSLOCG00000006496	Lepisosteus_oculatus
ENSECRP00000031277	ENSECRG00000021193	Erpetoichthys_calabaricus
ENSECRP00000031247	ENSECRG00000020882	Erpetoichthys_calabaricus
ENSCMIP00000039521	ENSCMIG00000016545	Callorhinchus_milii
ENSLACP00000016588	ENSLACG00000014620	Latimeria_chalumnae
ENSVURP00010001428	ENSVURG00010001196	Vombatus_ursinus
ENSPCIP00000045462	ENSPCIG00000017881	Phascolarctos_cinereus
ENSMEUP00000007680	ENSMEUG00000008395	Notamacropus_eugenii
ENSSHAP00000011102	ENSSHAG00000009558	Sarcophilus_harrisii
ENSMODP00000034435	ENSMODG00000009409	Monodelphis_domestica
ENSLAFP00000001903	ENSLAFG00000002278	Loxodonta_africana
ENSPCAP00000007985	ENSPCAG00000008540	Procavia_capensis
ENSETEP00000003864	ENSETEG00000004734	Echinops_telfairi
ENSCHOP00000010768	ENSCHOG00000012161	Choloepus_hoffmanni
ENSDNOP00000033229	ENSDNOG00000037631	Dasypus_novemcinctus
