ENSCLAP00000025685	ENSCLAG00000017806	Chinchilla_lanigera	ENSCLAT00000025980
ENSODEP00000000108	ENSODEG00000000098	Octodon_degus	ENSODET00000000115
ENSHGLP00100027018	ENSHGLG00100020027	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000028491	ENSHGLG00000020769	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000002848	ENSFDAG00000012443	Fukomys_damarensis
ENSUPAP00010015723	ENSUPAG00010012599	Urocitellus_parryii
ENSNGAP00000021198	ENSNGAG00000020457	Nannospalax_galili
ENSDORP00000018736	ENSDORG00000029300	Dipodomys_ordii
ENSOPRP00000007306	ENSOPRG00000007995	Ochotona_princeps
ENSOCUP00000019846	ENSOCUG00000002331	Oryctolagus_cuniculus
ENSPTRP00000063288	ENSPTRG00000021334	Pan_troglodytes
ENSPPAP00000000267	ENSPPAG00000000874	Pan_paniscus
ENSP00000302863	ENSG00000171481	Homo_sapiens
ENSGGOP00000013434	ENSGGOG00000013779	Gorilla_gorilla
ENSNLEP00000022854	ENSNLEG00000018995	Nomascus_leucogenys
ENSCJAP00000037311	ENSCJAG00000020065	Callithrix_jacchus
ENSTSYP00000032065	ENSTSYG00000007236	Carlito_syrichta
ENSMICP00000046370	ENSMICG00000045321	Microcebus_murinus
ENSMICP00000046742	ENSMICG00000043496	Microcebus_murinus
ENSMICP00000041628	ENSMICG00000044928	Microcebus_murinus
ENSMICP00000032716	ENSMICG00000043641	Microcebus_murinus
ENSPCOP00000003663	ENSPCOG00000010946	Propithecus_coquereli
ENSPSMP00000003293	ENSPSMG00000002697	Prolemur_simus
ENSOGAP00000017672	ENSOGAG00000033185	Otolemur_garnettii
ENSOGAP00000005769	ENSOGAG00000006455	Otolemur_garnettii
ENSTBEP00000013655	ENSTBEG00000015746	Tupaia_belangeri
ENSSSCP00000024475	ENSSSCG00000043935	Sus_scrofa_strain_reference
ENSSSCP00000005947	ENSSSCG00000049713	Sus_scrofa_strain_reference
ENSSSCP00000047467	ENSSSCG00000026287	Sus_scrofa_strain_reference
ENSSSCP00000040783	ENSSSCG00000037648	Sus_scrofa_strain_reference
ENSBTAP00000056457	ENSBTAG00000048218	Bos_taurus
ENSBIXP00005015431	ENSBIXG00005019231	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000037165	ENSBIXG00000020691	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000021768	ENSBBBG00000015356	Bison_bison_bison
ENSOARP00000020651	ENSOARG00000019224	Ovis_aries
ENSEASP00005030839	ENSEASG00005021012	Equus_asinus_asinus
ENSECAP00000004127	ENSECAG00000005943	Equus_caballus
ENSUMAP00000004106	ENSUMAG00000003332	Ursus_maritimus
ENSUMAP00000020520	ENSUMAG00000015037	Ursus_maritimus
ENSUAMP00000034233	ENSUAMG00000026068	Ursus_americanus
ENSUAMP00000034234	ENSUAMG00000026069	Ursus_americanus
ENSAMEP00000020697	ENSAMEG00000019647	Ailuropoda_melanoleuca
ENSNVIP00000003950	ENSNVIG00000003181	Neovison_vison
ENSMPUP00000001447	ENSMPUG00000001460	Mustela_putorius_furo
ENSPTIP00000003131	ENSPTIG00000005983	Panthera_tigris_altaica
ENSPTIP00000003137	ENSPTIG00000005987	Panthera_tigris_altaica
ENSFCAP00000023016	ENSFCAG00000041871	Felis_catus
ENSPPRP00000020518	ENSPPRG00000011556	Panthera_pardus
ENSFCAP00000012813	ENSFCAG00000042143	Felis_catus
ENSPVAP00000009344	ENSPVAG00000009913	Pteropus_vampyrus
ENSLAFP00000029204	ENSLAFG00000026652	Loxodonta_africana
ENSLAFP00000023287	ENSLAFG00000026244	Loxodonta_africana
ENSETEP00000006814	ENSETEG00000008388	Echinops_telfairi
ENSDNOP00000020286	ENSDNOG00000031154	Dasypus_novemcinctus
