ENSLCOP00000000956	ENSLCOG00000000793	Lepidothrix_coronata
ENSMVIP00005004692	ENSMVIG00005003613	Manacus_vitellinus
ENSTGUP00000009658	ENSTGUG00000009345	Taeniopygia_guttata
ENSLSDP00000013929	ENSLSDG00000010069	Lonchura_striata_domestica
ENSZALP00000007416	ENSZALG00000006593	Zonotrichia_albicollis
ENSJHYP00000001177	ENSJHYG00000000997	Junco_hyemalis
ENSPMJP00000026825	ENSPMJG00000019564	Parus_major
ENSCCEP00000015326	ENSCCEG00000014456	Cyanistes_caeruleus
ENSSCAP00000020807	ENSSCAG00000014959	Serinus_canaria
ENSFALP00000007714	ENSFALG00000007377	Ficedula_albicollis
ENSCPGP00000026626	ENSCPGG00000018351	Calidris_pygmaea
ENSCPUP00000025343	ENSCPUG00000017144	Calidris_pugnax
ENSMUNP00000010702	ENSMUNG00000008428	Melopsittacus_undulatus
ENSGALP00000046986	ENSGALG00000040866	Gallus_gallus
ENSCJPP00005016551	ENSCJPG00005013583	Coturnix_japonica
ENSMGAP00000007654	ENSMGAG00000007491	Meleagris_gallopavo
ENSNMEP00000005507	ENSNMEG00000005731	Numida_meleagris
ENSABRP00000009485	ENSABRG00000008476	Anser_brachyrhynchus
ENSAHAP00000009422	ENSAHAG00000006621	Apteryx_haastii
ENSAOWP00000027394	ENSAOWG00000018459	Apteryx_owenii
ENSARWP00000010692	ENSARWG00000007307	Apteryx_rowi
ENSDNVP00000008989	ENSDNVG00000006329	Dromaius_novaehollandiae
ENSNPEP00000010843	ENSNPEG00000008142	Nothoprocta_perdicaria
ENSCPRP00005018078	ENSCPRG00005012602	Crocodylus_porosus
ENSCPBP00000017459	ENSCPBG00000012789	Chrysemys_picta_bellii
ENSGAGP00000002071	ENSGAGG00000001675	Gopherus_agassizii
ENSGAGP00000035694	ENSGAGG00000025337	Gopherus_agassizii
ENSCABP00000007327	ENSCABG00000005183	Chelonoidis_abingdonii
ENSPSIP00000017218	ENSPSIG00000015242	Pelodiscus_sinensis
ENSPVIP00000012851	ENSPVIG00000010011	Pogona_vitticeps
ENSACAP00000000539	ENSACAG00000000462	Anolis_carolinensis
ENSSMRP00000021051	ENSSMRG00000016376	Salvator_merianae
ENSSPUP00000014184	ENSSPUG00000010809	Sphenodon_punctatus
ENSCLAP00000018668	ENSCLAG00000012801	Chinchilla_lanigera
ENSODEP00000000939	ENSODEG00000000751	Octodon_degus
ENSCPOP00000003905	ENSCPOG00000004329	Cavia_porcellus
ENSCAPP00000011840	ENSCAPG00000012826	Cavia_aperea
ENSHGLP00000026967	ENSHGLG00000019175	Heterocephalus_glaber_HetGla_female_1.0
ENSSDAP00000000871	ENSSDAG00000000876	Spermophilus_dauricus
ENSUPAP00010000328	ENSUPAG00010000290	Urocitellus_parryii
ENSSTOP00000005824	ENSSTOG00000006501	Ictidomys_tridecemlineatus
ENSMMMP00000011291	ENSMMMG00000010050	Marmota_marmota_marmota
ENSCCNP00000012880	ENSCCNG00000013370	Castor_canadensis
ENSDORP00000001417	ENSDORG00000001518	Dipodomys_ordii
ENSMOCP00000008145	ENSMOCG00000008061	Microtus_ochrogaster
