ENSCAPP00000000712	ENSCAPG00000000849	Cavia_aperea
ENSLACP00000003925	ENSLACG00000003494	Latimeria_chalumnae
ENSATEP00000001712	ENSATEG00000001197	Anabas_testudineus
ENSPVIP00000034858	ENSPVIG00000025431	Pogona_vitticeps
ENSACLP00000002116	ENSACLG00000001475	Astatotilapia_calliptera
ENSSDAP00000008594	ENSSDAG00000007843	Spermophilus_dauricus
ENSCJPP00005008610	ENSCJPG00005007680	Coturnix_japonica
ENSPTIP00000023497	ENSPTIG00000019938	Panthera_tigris_altaica
ENSCLAP00000016386	ENSCLAG00000011270	Chinchilla_lanigera
ENSOMEP00000024304	ENSOMEG00000004860	Oryzias_melastigma
ENSZALP00000016711	ENSZALG00000013537	Zonotrichia_albicollis
ENSCHAP00000022829	ENSCHAG00000011371	Clupea_harengus
ENSORLP00020028123	ENSORLG00020011447	Oryzias_latipes_ASM223471v1
ENSEEEP00000035061	ENSEEEG00000016671	Electrophorus_electricus
ENSPCIP00000040813	ENSPCIG00000029864	Phascolarctos_cinereus
ENSARWP00000011748	ENSARWG00000008126	Apteryx_rowi
ENSCSEP00000028853	ENSCSEG00000018464	Cynoglossus_semilaevis
ENSPCIP00000043394	ENSPCIG00000031681	Phascolarctos_cinereus
ENSDNOP00000013201	ENSDNOG00000017039	Dasypus_novemcinctus
ENSGWIP00000018047	ENSGWIG00000010020	Gouania_willdenowi
ENSBIXP00000038026	ENSBIXG00000021739	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMZEP00005020723	ENSMZEG00005015550	Maylandia_zebra
ENSECRP00000024759	ENSECRG00000016773	Erpetoichthys_calabaricus	ENSECRT00000025296
ENSAPEP00000014577	ENSAPEG00000010400	Amphiprion_percula
ENSPSMP00000005895	ENSPSMG00000004470	Prolemur_simus
ENSCJAP00000075128	ENSCJAG00000008994	Callithrix_jacchus
ENSMVIP00005010708	ENSMVIG00005007881	Manacus_vitellinus
ENSHHUP00000059425	ENSHHUG00000035317	Hucho_hucho
ENSEEEP00000035064	ENSEEEG00000016674	Electrophorus_electricus	ENSEEET00000035474
ENSDORP00000016476	ENSDORG00000028514	Dipodomys_ordii
ENSPTIP00000022864	ENSPTIG00000019535	Panthera_tigris_altaica
ENSHGLP00000011240	ENSHGLG00000008065	Heterocephalus_glaber_HetGla_female_1.0
ENSPVIP00000034862	ENSPVIG00000025436	Pogona_vitticeps
ENSLCOP00000006436	ENSLCOG00000004777	Lepidothrix_coronata
ENSORLP00015011433	ENSORLG00015012242	Oryzias_latipes_ASM223469v1
ENSMOCP00000011058	ENSMOCG00000011295	Microtus_ochrogaster
ENSRBIP00000041261	ENSRBIG00000043980	Rhinopithecus_bieti
ENSMZEP00005000693	ENSMZEG00005000639	Maylandia_zebra
ENSCSAP00000005730	ENSCSAG00000009472	Chlorocebus_sabaeus
ENSPEMP00000027996	ENSPEMG00000023647	Peromyscus_maniculatus_bairdii
ENSHGLP00100023462	ENSHGLG00100017239	Heterocephalus_glaber_HetGla_1.0
ENSIPUP00000027520	ENSIPUG00000018632	Ictalurus_punctatus	ENSIPUT00000028640
ENSEEEP00000035062	ENSEEEG00000016672	Electrophorus_electricus
ENSMFAP00000006881	ENSMFAG00000036142	Macaca_fascicularis
ENSMODP00000004365	ENSMODG00000003574	Monodelphis_domestica
ENSAPLP00000022358	ENSAPLG00000004429	Anas_platyrhynchos_platyrhynchos
ENSLCOP00000006437	ENSLCOG00000004778	Lepidothrix_coronata
ENSMAMP00000003052	ENSMAMG00000002106	Mastacembelus_armatus
ENSCCEP00000011794	ENSCCEG00000011451	Cyanistes_caeruleus
ENSPPAP00000007551	ENSPPAG00000026839	Pan_paniscus
ENSAMEP00000003135	ENSAMEG00000002954	Ailuropoda_melanoleuca
ENSTGEP00000016997	ENSTGEG00000013730	Theropithecus_gelada
ENSHHUP00000080977	ENSHHUG00000047130	Hucho_hucho
ENSAMXP00000050987	ENSAMXG00000038404	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000051515
ENSPRNP00000028093	ENSPRNG00000014034	Parambassis_ranga
ENSLOCP00000013843	ENSLOCG00000011259	Lepisosteus_oculatus	ENSLOCT00000013872
ENSSFOP00015002147	ENSSFOG00015001413	Scleropages_formosus	ENSSFOT00015002189
ENSMODP00000047510	ENSMODG00000039561	Monodelphis_domestica
ENSODEP00000022635	ENSODEG00000016615	Octodon_degus
ENSFALP00000003238	ENSFALG00000003101	Ficedula_albicollis
ENSAOWP00000025742	ENSAOWG00000017393	Apteryx_owenii
ENSMODP00000050031	ENSMODG00000038835	Monodelphis_domestica
ENSCHIP00000021120	ENSCHIG00000019549	Capra_hircus
ENSACLP00000017367	ENSACLG00000011866	Astatotilapia_calliptera
ENSPCAP00000011038	ENSPCAG00000011841	Procavia_capensis
ENSCPUP00000008928	ENSCPUG00000006365	Calidris_pugnax
ENSNSUP00000015583	ENSNSUG00000011536	Notechis_scutatus
ENSCABP00000021964	ENSCABG00000016184	Chelonoidis_abingdonii
ENSCABP00000021963	ENSCABG00000016183	Chelonoidis_abingdonii
ENSHGLP00100009317	ENSHGLG00100006905	Heterocephalus_glaber_HetGla_1.0
ENSHCOP00000023293	ENSHCOG00000011714	Hippocampus_comes
ENSECRP00000017260	ENSECRG00000011506	Erpetoichthys_calabaricus
ENSCABP00000021965	ENSCABG00000016185	Chelonoidis_abingdonii
ENSPMEP00000034827	ENSPMEG00000024209	Poecilia_mexicana
ENSECRP00000017241	ENSECRG00000011495	Erpetoichthys_calabaricus
ENSBIXP00005041775	ENSBIXG00005024977	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMICP00000031980	ENSMICG00000035047	Microcebus_murinus
ENSOANP00000016095	ENSOANG00000010155	Ornithorhynchus_anatinus
ENSMPUP00000015886	ENSMPUG00000015992	Mustela_putorius_furo
ENSMMOP00000026873	ENSMMOG00000020323	Mola_mola
ENSSSCP00000059604	ENSSSCG00000005166	Sus_scrofa_strain_reference
ENSGMOP00000000759	ENSGMOG00000000753	Gadus_morhua
ENSXCOP00000003348	ENSXCOG00000002645	Xiphophorus_couchianus
ENSHHUP00000059446	ENSHHUG00000035318	Hucho_hucho
ENSPCOP00000005425	ENSPCOG00000013614	Propithecus_coquereli
ENSCAFP00000047453	ENSCAFG00000001635	Canis_lupus_familiaris
ENSMLEP00000005045	ENSMLEG00000022742	Mandrillus_leucophaeus
ENSMZEP00005015268	ENSMZEG00005011451	Maylandia_zebra
ENSCPOP00000028778	ENSCPOG00000026839	Cavia_porcellus
ENSMZEP00005038222	ENSMZEG00005028606	Maylandia_zebra
ENSCHOP00000012199	ENSCHOG00000013782	Choloepus_hoffmanni
ENSAMXP00005033254	ENSAMXG00005016167	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
