ENSVURP00010018489	ENSVURG00010014090	Vombatus_ursinus	ENSVURT00010021018
ENSPCIP00000025586	ENSPCIG00000019248	Phascolarctos_cinereus	ENSPCIT00000031504
ENSMEUP00000005336	ENSMEUG00000005844	Notamacropus_eugenii	ENSMEUT00000005861
ENSMODP00000016730	ENSMODG00000013380	Monodelphis_domestica	ENSMODT00000017041
ENSCLAP00000010615	ENSCLAG00000007325	Chinchilla_lanigera
ENSODEP00000022714	ENSODEG00000016671	Octodon_degus
ENSCPOP00000004627	ENSCPOG00000005143	Cavia_porcellus
ENSCAPP00000012943	ENSCAPG00000013681	Cavia_aperea
ENSHGLP00000011919	ENSHGLG00000008533	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100019259	ENSHGLG00100014198	Heterocephalus_glaber_HetGla_1.0
MGP_SPRETEiJ_P0082695	MGP_SPRETEiJ_G0030774	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000025583	ENSMSIG00000021614	Mus_spicilegus
ENSMUSP00000113726	ENSMUSG00000074141	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0079362	MGP_CAROLIEiJ_G0029676	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0016230	MGP_PahariEiJ_G0012901	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000027320	ENSRNOG00000020148	Rattus_norvegicus
ENSMUGP00000011502	ENSMUGG00000009981	Meriones_unguiculatus
ENSMUGP00000009768	ENSMUGG00000008686	Meriones_unguiculatus
ENSCGRP00001017531	ENSCGRG00001017543	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014839	ENSCGRG00000010750	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015025754	ENSCGRG00015019554	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000015487	ENSMAUG00000014929	Mesocricetus_auratus
ENSMOCP00000009243	ENSMOCG00000009373	Microtus_ochrogaster
ENSPEMP00000035796	ENSPEMG00000006448	Peromyscus_maniculatus_bairdii
ENSNGAP00000005781	ENSNGAG00000008304	Nannospalax_galili
ENSCCNP00000031058	ENSCCNG00000029630	Castor_canadensis
ENSDORP00000023709	ENSDORG00000014950	Dipodomys_ordii
ENSSTOP00000030561	ENSSTOG00000019779	Ictidomys_tridecemlineatus
ENSUPAP00010018255	ENSUPAG00010014508	Urocitellus_parryii
