ENSTGUP00000012925	ENSTGUG00000012557	Taeniopygia_guttata
ENSLSDP00000001392	ENSLSDG00000001094	Lonchura_striata_domestica
ENSSCAP00000010619	ENSSCAG00000008025	Serinus_canaria
ENSZALP00000018252	ENSZALG00000014638	Zonotrichia_albicollis
ENSFALP00000002740	ENSFALG00000002631	Ficedula_albicollis
ENSPMJP00000015476	ENSPMJG00000011758	Parus_major
ENSCCEP00000010280	ENSCCEG00000010272	Cyanistes_caeruleus
ENSCPUP00000014290	ENSCPUG00000010054	Calidris_pugnax
ENSCPGP00000006761	ENSCPGG00000004841	Calidris_pygmaea
ENSGALP00000063493	ENSGALG00000044996	Gallus_gallus
ENSCJPP00005009424	ENSCJPG00005008273	Coturnix_japonica
ENSNMEP00000009034	ENSNMEG00000008780	Numida_meleagris
ENSABRP00000003643	ENSABRG00000003416	Anser_brachyrhynchus
ENSAOWP00000019365	ENSAOWG00000013156	Apteryx_owenii
ENSAHAP00000001520	ENSAHAG00000001260	Apteryx_haastii
ENSARWP00000017261	ENSARWG00000011876	Apteryx_rowi
ENSDNVP00000027161	ENSDNVG00000018863	Dromaius_novaehollandiae
ENSCPRP00005016290	ENSCPRG00005011378	Crocodylus_porosus
ENSCPBP00000028849	ENSCPBG00000020343	Chrysemys_picta_bellii
ENSGAGP00000001098	ENSGAGG00000000888	Gopherus_agassizii
ENSPSIP00000006124	ENSPSIG00000005676	Pelodiscus_sinensis
ENSSPUP00000010397	ENSSPUG00000008040	Sphenodon_punctatus
ENSPVIP00000011804	ENSPVIG00000009253	Pogona_vitticeps
ENSVURP00010016334	ENSVURG00010012513	Vombatus_ursinus
ENSMEUP00000010786	ENSMEUG00000011844	Notamacropus_eugenii
ENSSHAP00000000193	ENSSHAG00000000162	Sarcophilus_harrisii
ENSMODP00000038438	ENSMODG00000025627	Monodelphis_domestica
ENSSTOP00000020953	ENSSTOG00000022474	Ictidomys_tridecemlineatus
ENSUPAP00010008486	ENSUPAG00010006832	Urocitellus_parryii
ENSMMMP00000004273	ENSMMMG00000003878	Marmota_marmota_marmota
ENSSDAP00000026993	ENSSDAG00000024473	Spermophilus_dauricus
ENSHGLP00100012315	ENSHGLG00100009123	Heterocephalus_glaber_HetGla_1.0
