ENSPTRP00000070487	ENSPTRG00000048892	Pan_troglodytes
ENSPPAP00000040308	ENSPPAG00000042816	Pan_paniscus
ENSP00000479730	ENSG00000204583	Homo_sapiens
ENSGGOP00000023760	ENSGGOG00000040324	Gorilla_gorilla
ENSNLEP00000010468	ENSNLEG00000008583	Nomascus_leucogenys
ENSRROP00000030438	ENSRROG00000038968	Rhinopithecus_roxellana
ENSRBIP00000042573	ENSRBIG00000044545	Rhinopithecus_bieti
ENSPTEP00000000296	ENSPTEG00000000362	Piliocolobus_tephrosceles
ENSCANP00000007727	ENSCANG00000025447	Colobus_angolensis_palliatus
ENSPANP00000001819	ENSPANG00000015387	Papio_anubis
ENSCATP00000001752	ENSCATG00000008048	Cercocebus_atys
ENSTGEP00000035856	ENSTGEG00000028539	Theropithecus_gelada
ENSCSAP00000016174	ENSCSAG00000001858	Chlorocebus_sabaeus
ENSMMUP00000077692	ENSMMUG00000031455	Macaca_mulatta
ENSMFAP00000016304	ENSMFAG00000031341	Macaca_fascicularis
ENSMNEP00000023673	ENSMNEG00000035427	Macaca_nemestrina
ENSMLEP00000011463	ENSMLEG00000029915	Mandrillus_leucophaeus
ENSCCAP00000028308	ENSCCAG00000032109	Cebus_capucinus_imitator
ENSSBOP00000014685	ENSSBOG00000024088	Saimiri_boliviensis_boliviensis
ENSCJAP00000076717	ENSCJAG00000057171	Callithrix_jacchus
ENSANAP00000025469	ENSANAG00000030457	Aotus_nancymaae
ENSOPRP00000005070	ENSOPRG00000005534	Ochotona_princeps
ENSEEUP00000006163	ENSEEUG00000006782	Erinaceus_europaeus
ENSSARP00000011922	ENSSARG00000013205	Sorex_araneus
ENSPVAP00000011708	ENSPVAG00000012418	Pteropus_vampyrus
ENSCAFP00020012756	ENSCAFG00020010268	Canis_lupus_dingo
ENSCAFP00000047386	ENSCAFG00000023461	Canis_lupus_familiaris
ENSVVUP00000005933	ENSVVUG00000004628	Vulpes_vulpes
ENSAMEP00000014330	ENSAMEG00000013610	Ailuropoda_melanoleuca
ENSBIXP00000033148	ENSBIXG00000015863	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005010956	ENSBIXG00005015486	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000061032	ENSBTAG00000049454	Bos_taurus
ENSBMUP00000029590	ENSBMUG00000022134	Bos_mutus
ENSBBBP00000023459	ENSBBBG00000018058	Bison_bison_bison
ENSCHIP00000014596	ENSCHIG00000015576	Capra_hircus
ENSOARP00000011999	ENSOARG00000011196	Ovis_aries
ENSTTRP00000015637	ENSTTRG00000016495	Tursiops_truncatus
ENSECAP00000042902	ENSECAG00000016321	Equus_caballus
ENSEASP00005024570	ENSEASG00005016695	Equus_asinus_asinus
ENSMSIP00000004153	ENSMSIG00000003802	Mus_spicilegus	ENSMSIT00000005273
MGP_SPRETEiJ_P0072411	MGP_SPRETEiJ_G0028543	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000139397	ENSMUSG00000072754	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0069739	MGP_CAROLIEiJ_G0027545	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0057976	MGP_PahariEiJ_G0024127	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000053555	ENSRNOG00000037466	Rattus_norvegicus
ENSMUGP00000003320	ENSMUGG00000003091	Meriones_unguiculatus
ENSCGRP00001028115	ENSCGRG00001024930	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000004365	ENSCGRG00000003214	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015027114	ENSCGRG00015020563	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000024862	ENSMAUG00000021578	Mesocricetus_auratus
ENSMOCP00000007512	ENSMOCG00000007334	Microtus_ochrogaster
ENSPEMP00000037092	ENSPEMG00000024446	Peromyscus_maniculatus_bairdii
ENSNGAP00000001427	ENSNGAG00000001066	Nannospalax_galili
ENSJJAP00000023606	ENSJJAG00000023325	Jaculus_jaculus
ENSCCNP00000028475	ENSCCNG00000027425	Castor_canadensis
ENSUPAP00010029684	ENSUPAG00010023350	Urocitellus_parryii
ENSCLAP00000019571	ENSCLAG00000013428	Chinchilla_lanigera
ENSFDAP00000005145	ENSFDAG00000014228	Fukomys_damarensis
ENSCAPP00000005729	ENSCAPG00000007994	Cavia_aperea
ENSCPOP00000027556	ENSCPOG00000038864	Cavia_porcellus
ENSPCOP00000004276	ENSPCOG00000012527	Propithecus_coquereli
ENSMICP00000045495	ENSMICG00000041480	Microcebus_murinus
ENSPSMP00000015372	ENSPSMG00000010948	Prolemur_simus
ENSOGAP00000005929	ENSOGAG00000006631	Otolemur_garnettii
ENSLAFP00000027083	ENSLAFG00000031708	Loxodonta_africana
ENSPCAP00000010799	ENSPCAG00000011602	Procavia_capensis
ENSETEP00000013571	ENSETEG00000016726	Echinops_telfairi
ENSDNOP00000031781	ENSDNOG00000034515	Dasypus_novemcinctus
ENSSHAP00000010793	ENSSHAG00000009304	Sarcophilus_harrisii
ENSPCIP00000051758	ENSPCIG00000031829	Phascolarctos_cinereus
ENSMODP00000042778	ENSMODG00000040730	Monodelphis_domestica
