ENSSARP00000003912	ENSSARG00000004293	Sorex_araneus
ENSCLAP00000019515	ENSCLAG00000013392	Chinchilla_lanigera
ENSSHAP00000020909	ENSSHAG00000017729	Sarcophilus_harrisii
ENSGACP00000012320	ENSGACG00000009336	Gasterosteus_aculeatus
ENSCMIP00000030008	ENSCMIG00000012782	Callorhinchus_milii
ENSCATP00000036387	ENSCATG00000040989	Cercocebus_atys
ENSARWP00000001294	ENSARWG00000001056	Apteryx_rowi
ENSPKIP00000005825	ENSPKIG00000022353	Paramormyrops_kingsleyae
ENSDARP00000139437	ENSDARG00000105014	Danio_rerio
ENSANAP00000004475	ENSANAG00000020274	Aotus_nancymaae
ENSLCRP00005033010	ENSLCRG00005012963	Larimichthys_crocea
ENSCPUP00000005521	ENSCPUG00000004048	Calidris_pugnax
ENSCGRP00015003304	ENSCGRG00015002601	Cricetulus_griseus_CriGri-PICR
ENSPTEP00000005894	ENSPTEG00000006811	Piliocolobus_tephrosceles
ENSFDAP00000021345	ENSFDAG00000007774	Fukomys_damarensis
ENSCPOP00000013122	ENSCPOG00000014563	Cavia_porcellus
ENSCAFP00020020900	ENSCAFG00020016532	Canis_lupus_dingo
ENSGGOP00000021103	ENSGGOG00000008192	Gorilla_gorilla
ENSNLEP00000030208	ENSNLEG00000007111	Nomascus_leucogenys
ENSCJAP00000007368	ENSCJAG00000003984	Callithrix_jacchus
ENSMODP00000000276	ENSMODG00000000231	Monodelphis_domestica
FBpp0079802	FBgn0020270	Drosophila_melanogaster	FBtr0080213
ENSECRP00000002879	ENSECRG00000001963	Erpetoichthys_calabaricus
ENSCCAP00000002285	ENSCCAG00000013972	Cebus_capucinus_imitator
ENSPLAP00000006503	ENSPLAG00000008655	Poecilia_latipinna
ENSAMXP00005030415	ENSAMXG00005014920	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPTRP00000065307	ENSPTRG00000051749	Pan_troglodytes
ENSCAFP00000006193	ENSCAFG00000004162	Canis_lupus_familiaris
ENSCPBP00000034448	ENSCPBG00000024022	Chrysemys_picta_bellii
ENSFALP00000000322	ENSFALG00000000315	Ficedula_albicollis	ENSFALT00000000325
ENSCLAP00000000876	ENSCLAG00000000681	Chinchilla_lanigera
ENSCCEP00000027437	ENSCCEG00000023966	Cyanistes_caeruleus	ENSCCET00000040679
ENSBIXP00005009869	ENSBIXG00005014792	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMSIP00000019579	ENSMSIG00000016606	Mus_spicilegus
ENSMUNP00000003558	ENSMUNG00000003033	Melopsittacus_undulatus
ENSPSIP00000006524	ENSPSIG00000005945	Pelodiscus_sinensis
ENSRROP00000000782	ENSRROG00000002902	Rhinopithecus_roxellana
ENSLCAP00010035359	ENSLCAG00010016574	Lates_calcarifer
ENSSDAP00000011866	ENSSDAG00000010656	Spermophilus_dauricus
ENSCGOP00000014975	ENSCGOG00000007161	Cottoperca_gobio
ENSCCEP00000004451	ENSCCEG00000004911	Cyanistes_caeruleus	ENSCCET00000007398
ENSPTEP00000007842	ENSPTEG00000008910	Piliocolobus_tephrosceles
ENSORLP00000009106	ENSORLG00000007259	Oryzias_latipes_ASM223467v1
ENSVPAP00000005420	ENSVPAG00000005835	Vicugna_pacos
ENSSSCP00000055397	ENSSSCG00000014955	Sus_scrofa_strain_reference
ENSTGEP00000013271	ENSTGEG00000010776	Theropithecus_gelada
MGP_CAROLIEiJ_P0086756	MGP_CAROLIEiJ_G0031788	Mus_caroli_strain_CAROLI_EIJ
ENSUMAP00000009379	ENSUMAG00000007075	Ursus_maritimus
ENSFCAP00000022057	ENSFCAG00000025219	Felis_catus
ZC302.1.2	WBGene00003405	Caenorhabditis_elegans_strain_N2	ZC302.1.2
ENSSLDP00000028145	ENSSLDG00000021788	Seriola_lalandi_dorsalis
ENSABRP00000027332	ENSABRG00000022756	Anser_brachyrhynchus
ENSEEUP00000007697	ENSEEUG00000008433	Erinaceus_europaeus
ENSMUGP00000032218	ENSMUGG00000026814	Meriones_unguiculatus
ENSGALP00000027766	ENSGALG00000017211	Gallus_gallus
ENSORLP00015003277	ENSORLG00015004018	Oryzias_latipes_ASM223469v1
ENSDORP00000004517	ENSDORG00000004828	Dipodomys_ordii
ENSTTRP00000010020	ENSTTRG00000010568	Tursiops_truncatus
ENSLSDP00000018865	ENSLSDG00000013471	Lonchura_striata_domestica
ENSPMEP00000011728	ENSPMEG00000013833	Poecilia_mexicana
ENSATEP00000017396	ENSATEG00000012114	Anabas_testudineus
ENSONIP00000007635	ENSONIG00000006062	Oreochromis_niloticus
ENSPTEP00000036578	ENSPTEG00000034344	Piliocolobus_tephrosceles
ENSTSYP00000020087	ENSTSYG00000011155	Carlito_syrichta
ENSSPUP00000012095	ENSSPUG00000009288	Sphenodon_punctatus	ENSSPUT00000012899
ENSMZEP00005037737	ENSMZEG00005028135	Maylandia_zebra
ENSTGUP00000013206	ENSTGUG00000012824	Taeniopygia_guttata
ENSLACP00000004618	ENSLACG00000004111	Latimeria_chalumnae
ENSODEP00000020046	ENSODEG00000014786	Octodon_degus
ENSVVUP00000015733	ENSVVUG00000011537	Vulpes_vulpes
ENSMVIP00005017725	ENSMVIG00005012625	Manacus_vitellinus	ENSMVIT00005020052
ENSFHEP00000024997	ENSFHEG00000006931	Fundulus_heteroclitus
ENSRNOP00000012940	ENSRNOG00000009506	Rattus_norvegicus
ENSPPAP00000023381	ENSPPAG00000034731	Pan_paniscus
ENSPCOP00000008589	ENSPCOG00000015583	Propithecus_coquereli
ENSORLP00020022179	ENSORLG00020000758	Oryzias_latipes_ASM223471v1
ENSMMOP00000015991	ENSMMOG00000012194	Mola_mola
ENSMALP00000010641	ENSMALG00000007532	Monopterus_albus
ENSXCOP00000016864	ENSXCOG00000012719	Xiphophorus_couchianus
ENSOARP00000002235	ENSOARG00000002115	Ovis_aries
ENSACAP00000013944	ENSACAG00000014110	Anolis_carolinensis
ENSPCAP00000014295	ENSPCAG00000015250	Procavia_capensis
ENSRBIP00000003378	ENSRBIG00000015935	Rhinopithecus_bieti
ENSPRNP00000003828	ENSPRNG00000001525	Parambassis_ranga
ENSCVAP00000029597	ENSCVAG00000017494	Cyprinodon_variegatus
ENSAPLP00000021869	ENSAPLG00000021936	Anas_platyrhynchos_platyrhynchos
ENSHCOP00000004877	ENSHCOG00000006409	Hippocampus_comes
ENSLBEP00000034173	ENSLBEG00000025629	Labrus_bergylta
ENSPFOP00000003275	ENSPFOG00000003429	Poecilia_formosa
ENSP00000325863	ENSG00000020922	Homo_sapiens
ENSCGRP00000019465	ENSCGRG00000014178	Cricetulus_griseus_CriGri_1.0
ENSBSLP00000024958	ENSBSLG00000012433	Betta_splendens
ENSOANP00000016491	ENSOANG00000010399	Ornithorhynchus_anatinus
ENSGMOP00000013757	ENSGMOG00000012847	Gadus_morhua
ENSPMAP00000007282	ENSPMAG00000006588	Petromyzon_marinus
ENSPANP00000009957	ENSPANG00000017475	Papio_anubis
ENSOGAP00000010874	ENSOGAG00000012154	Otolemur_garnettii
ENSEEEP00000050839	ENSEEEG00000023877	Electrophorus_electricus
ENSXMAP00000004014	ENSXMAG00000004003	Xiphophorus_maculatus
ENSBTAP00000011748	ENSBTAG00000008925	Bos_taurus
ENSGAFP00000017381	ENSGAFG00000011764	Gambusia_affinis
ENSPMGP00000011646	ENSPMGG00000009650	Periophthalmus_magnuspinnatus
ENSMOCP00000011203	ENSMOCG00000011442	Microtus_ochrogaster
ENSKMAP00000012071	ENSKMAG00000009066	Kryptolebias_marmoratus
ENSCANP00000026204	ENSCANG00000036523	Colobus_angolensis_palliatus
ENSPREP00000033509	ENSPREG00000022696	Poecilia_reticulata
ENSAOWP00000015777	ENSAOWG00000010733	Apteryx_owenii
ENSAHAP00000023904	ENSAHAG00000016708	Apteryx_haastii
ENSCHIP00000024516	ENSCHIG00000021669	Capra_hircus
ENSXETP00000031138	ENSXETG00000011837	Xenopus_tropicalis
ENSMAUP00000017399	ENSMAUG00000016290	Mesocricetus_auratus
ENSRBIP00000021472	ENSRBIG00000034693	Rhinopithecus_bieti
ENSMMMP00000004308	ENSMMMG00000003822	Marmota_marmota_marmota
ENSETEP00000016001	ENSETEG00000019699	Echinops_telfairi
ENSPPRP00000019205	ENSPPRG00000010728	Panthera_pardus
ENSBIXP00000005921	ENSBIXG00000012082	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSLAFP00000019954	ENSLAFG00000016373	Loxodonta_africana
ENSAMEP00000008084	ENSAMEG00000007626	Ailuropoda_melanoleuca
ENSPTRP00000088458	ENSPTRG00000004184	Pan_troglodytes
ENSJHYP00000023914	ENSJHYG00000017981	Junco_hyemalis	ENSJHYT00000028830
ENSACLP00000027130	ENSACLG00000018456	Astatotilapia_calliptera
ENSVURP00010013682	ENSVURG00010010496	Vombatus_ursinus
