ENSOGAP00000012453	ENSOGAG00000013906	Otolemur_garnettii
ENSMZEP00005024336	ENSMZEG00005018191	Maylandia_zebra
ENSSMRP00000020671	ENSSMRG00000016080	Salvator_merianae
ENSARWP00000004883	ENSARWG00000003523	Apteryx_rowi
ENSACLP00000012191	ENSACLG00000008323	Astatotilapia_calliptera
ENSMOCP00000008046	ENSMOCG00000007960	Microtus_ochrogaster
ENSSBOP00000039904	ENSSBOG00000035964	Saimiri_boliviensis_boliviensis
ENSMMOP00000008100	ENSMMOG00000006282	Mola_mola
ENSSFOP00015016262	ENSSFOG00015010481	Scleropages_formosus
ENSPNAP00000032261	ENSPNAG00000020101	Pygocentrus_nattereri
ENSDARP00000087721	ENSDARG00000063686	Danio_rerio
ENSCJPP00005016334	ENSCJPG00005013435	Coturnix_japonica
ENSOCUP00000001680	ENSOCUG00000001951	Oryctolagus_cuniculus
ENSNPEP00000005951	ENSNPEG00000004495	Nothoprocta_perdicaria
ENSPCIP00000030129	ENSPCIG00000022436	Phascolarctos_cinereus
ENSCGRP00001011632	ENSCGRG00001013234	Cricetulus_griseus_CHOK1GS_HDv1
ENSCSEP00000024410	ENSCSEG00000015591	Cynoglossus_semilaevis
ENSTGEP00000023722	ENSTGEG00000019172	Theropithecus_gelada
ENSHCOP00000004248	ENSHCOG00000005665	Hippocampus_comes
ENSGWIP00000014963	ENSGWIG00000008390	Gouania_willdenowi
ENSHGLP00000022021	ENSHGLG00000015711	Heterocephalus_glaber_HetGla_female_1.0
ENSAOWP00000009527	ENSAOWG00000006545	Apteryx_owenii
ENSCATP00000021174	ENSCATG00000034329	Cercocebus_atys
ENSPMEP00000014146	ENSPMEG00000016544	Poecilia_mexicana
ENSCABP00000007997	ENSCABG00000006023	Chelonoidis_abingdonii
ENSMALP00000003453	ENSMALG00000002528	Monopterus_albus
ENSOPRP00000015312	ENSOPRG00000016768	Ochotona_princeps
ENSAMEP00000005862	ENSAMEG00000005558	Ailuropoda_melanoleuca
ENSAPEP00000003783	ENSAPEG00000002714	Amphiprion_percula
ENSHHUP00000082163	ENSHHUG00000047736	Hucho_hucho
ENSCPOP00000022773	ENSCPOG00000039300	Cavia_porcellus
ENSPSMP00000029850	ENSPSMG00000020719	Prolemur_simus
ENSORLP00020024267	ENSORLG00020005536	Oryzias_latipes_ASM223471v1
