ENSLOCP00000009571	ENSLOCG00000007882	Lepisosteus_oculatus
ENSECRP00000011544	ENSECRG00000007681	Erpetoichthys_calabaricus
ENSACAP00000000267	ENSACAG00000000271	Anolis_carolinensis
ENSPVIP00000025087	ENSPVIG00000018861	Pogona_vitticeps
ENSSMRP00000003154	ENSSMRG00000002657	Salvator_merianae
ENSSPUP00000004713	ENSSPUG00000003480	Sphenodon_punctatus
ENSCPUP00000008622	ENSCPUG00000006187	Calidris_pugnax
ENSCPGP00000009399	ENSCPGG00000006686	Calidris_pygmaea
ENSMUNP00000019770	ENSMUNG00000015097	Melopsittacus_undulatus
ENSLCOP00000006364	ENSLCOG00000004720	Lepidothrix_coronata
ENSMVIP00005020003	ENSMVIG00005014152	Manacus_vitellinus
ENSTGUP00000006098	ENSTGUG00000005930	Taeniopygia_guttata
ENSLSDP00000018065	ENSLSDG00000012888	Lonchura_striata_domestica
ENSSCAP00000014316	ENSSCAG00000010529	Serinus_canaria
ENSZALP00000009112	ENSZALG00000007866	Zonotrichia_albicollis
ENSJHYP00000015552	ENSJHYG00000011942	Junco_hyemalis
ENSCCEP00000013958	ENSCCEG00000013344	Cyanistes_caeruleus
ENSPMJP00000000034	ENSPMJG00000000074	Parus_major
ENSFALP00000011701	ENSFALG00000011210	Ficedula_albicollis
ENSABRP00000019253	ENSABRG00000016509	Anser_brachyrhynchus
ENSAPLP00000003983	ENSAPLG00000004461	Anas_platyrhynchos_platyrhynchos
ENSGALP00000015550	ENSGALG00000009560	Gallus_gallus
ENSCJPP00005000638	ENSCJPG00005000721	Coturnix_japonica
ENSMGAP00000001760	ENSMGAG00000002208	Meleagris_gallopavo
ENSNMEP00000025733	ENSNMEG00000021765	Numida_meleagris
ENSAHAP00000004595	ENSAHAG00000003566	Apteryx_haastii
ENSARWP00000009322	ENSARWG00000006515	Apteryx_rowi
ENSAOWP00000008550	ENSAOWG00000005876	Apteryx_owenii
ENSDNVP00000009914	ENSDNVG00000007007	Dromaius_novaehollandiae
ENSNPEP00000000800	ENSNPEG00000000640	Nothoprocta_perdicaria
ENSCPRP00005015053	ENSCPRG00005010564	Crocodylus_porosus
ENSCABP00000023477	ENSCABG00000017309	Chelonoidis_abingdonii
ENSGAGP00000026982	ENSGAGG00000019639	Gopherus_agassizii
ENSCPBP00000026304	ENSCPBG00000018666	Chrysemys_picta_bellii
ENSPSIP00000005487	ENSPSIG00000005113	Pelodiscus_sinensis
ENSBIXP00005024683	ENSBIXG00005027233	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000030579	ENSBIXG00000012611	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000003991	ENSBTAG00000003068	Bos_taurus
ENSBMUP00000021399	ENSBMUG00000016087	Bos_mutus
ENSBBBP00000016518	ENSBBBG00000024613	Bison_bison_bison
ENSCHIP00000010501	ENSCHIG00000012999	Capra_hircus
ENSOARP00000017317	ENSOARG00000016126	Ovis_aries
ENSSSCP00000036001	ENSSSCG00000008857	Sus_scrofa_strain_reference
ENSTTRP00000012227	ENSTTRG00000012897	Tursiops_truncatus
ENSTTRP00000006653	ENSTTRG00000007044	Tursiops_truncatus
ENSVPAP00000005612	ENSVPAG00000006052	Vicugna_pacos
ENSCAFP00020007069	ENSCAFG00020005739	Canis_lupus_dingo
ENSCAFP00000052048	ENSCAFG00000047816	Canis_lupus_familiaris
ENSCAFP00000052383	ENSCAFG00000046884	Canis_lupus_familiaris
ENSVVUP00000014713	ENSVVUG00000010800	Vulpes_vulpes
ENSVVUP00000000015	ENSVVUG00000000008	Vulpes_vulpes
ENSCAFP00000057754	ENSCAFG00000047802	Canis_lupus_familiaris
ENSCAFP00020006716	ENSCAFG00020005440	Canis_lupus_dingo
ENSCAFP00000017052	ENSCAFG00000011607	Canis_lupus_familiaris
ENSCAFP00020002777	ENSCAFG00020002352	Canis_lupus_dingo
ENSVVUP00000030660	ENSVVUG00000022387	Vulpes_vulpes
ENSCAFP00020019738	ENSCAFG00020015678	Canis_lupus_dingo
ENSCAFP00000064760	ENSCAFG00000048282	Canis_lupus_familiaris
ENSVVUP00000014375	ENSVVUG00000010523	Vulpes_vulpes
ENSCAFP00000046576	ENSCAFG00000047735	Canis_lupus_familiaris
ENSCAFP00020024100	ENSCAFG00020018967	Canis_lupus_dingo
ENSVVUP00000008159	ENSVVUG00000006174	Vulpes_vulpes
ENSCAFP00000053331	ENSCAFG00000047895	Canis_lupus_familiaris
ENSCAFP00020002255	ENSCAFG00020001928	Canis_lupus_dingo
ENSAMEP00000005899	ENSAMEG00000005596	Ailuropoda_melanoleuca
ENSUMAP00000027284	ENSUMAG00000019828	Ursus_maritimus
ENSCAFP00000057798	ENSCAFG00000046768	Canis_lupus_familiaris
ENSCAFP00020008127	ENSCAFG00020006574	Canis_lupus_dingo
ENSUAMP00000004492	ENSUAMG00000004116	Ursus_americanus
ENSNVIP00000029783	ENSNVIG00000022952	Neovison_vison
ENSPTIP00000018817	ENSPTIG00000016830	Panthera_tigris_altaica
ENSPPRP00000023744	ENSPPRG00000013994	Panthera_pardus
ENSFCAP00000028749	ENSFCAG00000032708	Felis_catus
ENSMLUP00000012766	ENSMLUG00000014033	Myotis_lucifugus
ENSPVAP00000012928	ENSPVAG00000013707	Pteropus_vampyrus
ENSECAP00000008393	ENSECAG00000010554	Equus_caballus
ENSEASP00005032459	ENSEASG00005022137	Equus_asinus_asinus
ENSCHOP00000006679	ENSCHOG00000007550	Choloepus_hoffmanni
ENSCHOP00000009106	ENSCHOG00000010290	Choloepus_hoffmanni
ENSDNOP00000007452	ENSDNOG00000009622	Dasypus_novemcinctus
ENSPCAP00000012311	ENSPCAG00000013175	Procavia_capensis
ENSPPAP00000028773	ENSPPAG00000037413	Pan_paniscus
ENSPTRP00000028446	ENSPTRG00000016574	Pan_troglodytes
ENSGGOP00000015347	ENSGGOG00000015730	Gorilla_gorilla
ENSP00000261507	ENSG00000052802	Homo_sapiens
ENSPPYP00000016960	ENSPPYG00000015178	Pongo_abelii
ENSNLEP00000031264	ENSNLEG00000032156	Nomascus_leucogenys
ENSRBIP00000031657	ENSRBIG00000039648	Rhinopithecus_bieti
ENSRROP00000038047	ENSRROG00000042423	Rhinopithecus_roxellana
ENSCANP00000012847	ENSCANG00000029826	Colobus_angolensis_palliatus
ENSPTEP00000000041	ENSPTEG00000000079	Piliocolobus_tephrosceles
ENSMMUP00000073655	ENSMMUG00000056040	Macaca_mulatta
ENSMNEP00000002035	ENSMNEG00000009247	Macaca_nemestrina
ENSMFAP00000027370	ENSMFAG00000045090	Macaca_fascicularis
ENSPANP00000007914	ENSPANG00000015686	Papio_anubis
ENSTGEP00000024078	ENSTGEG00000019481	Theropithecus_gelada
ENSCSAP00000014870	ENSCSAG00000003174	Chlorocebus_sabaeus
ENSCATP00000010617	ENSCATG00000029596	Cercocebus_atys
ENSMLEP00000028024	ENSMLEG00000038216	Mandrillus_leucophaeus
ENSCCAP00000035882	ENSCCAG00000035852	Cebus_capucinus_imitator
ENSSBOP00000034283	ENSSBOG00000033313	Saimiri_boliviensis_boliviensis
ENSCJAP00000017042	ENSCJAG00000009301	Callithrix_jacchus
ENSANAP00000015352	ENSANAG00000025546	Aotus_nancymaae
ENSTBEP00000007996	ENSTBEG00000009230	Tupaia_belangeri
ENSSDAP00000012648	ENSSDAG00000011413	Spermophilus_dauricus
ENSSDAP00000007173	ENSSDAG00000006609	Spermophilus_dauricus
ENSUPAP00010018192	ENSUPAG00010014459	Urocitellus_parryii
ENSSTOP00000025428	ENSSTOG00000012269	Ictidomys_tridecemlineatus
ENSMMMP00000017125	ENSMMMG00000015220	Marmota_marmota_marmota
ENSMMMP00000004599	ENSMMMG00000004193	Marmota_marmota_marmota
ENSOGAP00000008312	ENSOGAG00000009281	Otolemur_garnettii
ENSOGAP00000020644	ENSOGAG00000026502	Otolemur_garnettii
ENSTSYP00000029405	ENSTSYG00000035751	Carlito_syrichta
ENSMSIP00000018963	ENSMSIG00000016154	Mus_spicilegus
MGP_SPRETEiJ_P0088045	MGP_SPRETEiJ_G0032201	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000034015	ENSMUSG00000031604	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0084558	MGP_CAROLIEiJ_G0031085	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0047440	MGP_PahariEiJ_G0021551	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000043782	ENSRNOG00000032297	Rattus_norvegicus
ENSMUGP00000012218	ENSMUGG00000010650	Meriones_unguiculatus
ENSPEMP00000017769	ENSPEMG00000016575	Peromyscus_maniculatus_bairdii
ENSMOCP00000012534	ENSMOCG00000012604	Microtus_ochrogaster
ENSCGRP00001025154	ENSCGRG00001022848	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015005317	ENSCGRG00015004181	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000008275	ENSCGRG00000006036	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000011527	ENSMAUG00000012095	Mesocricetus_auratus
ENSNGAP00000024486	ENSNGAG00000022734	Nannospalax_galili
ENSJJAP00000021059	ENSJJAG00000021536	Jaculus_jaculus
ENSCCNP00000004310	ENSCCNG00000004551	Castor_canadensis
ENSCLAP00000018130	ENSCLAG00000012431	Chinchilla_lanigera
ENSODEP00000008833	ENSODEG00000006599	Octodon_degus
ENSCPOP00000005260	ENSCPOG00000005831	Cavia_porcellus
ENSCAPP00000008822	ENSCAPG00000010429	Cavia_aperea
ENSHGLP00000006996	ENSHGLG00000005109	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100004937	ENSHGLG00100003745	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000004115	ENSFDAG00000013397	Fukomys_damarensis
ENSPSMP00000005670	ENSPSMG00000004306	Prolemur_simus
ENSMICP00000024232	ENSMICG00000033307	Microcebus_murinus
ENSCJAP00000078413	ENSCJAG00000058516	Callithrix_jacchus
