ENSCCAP00000005729	ENSCCAG00000020623	Cebus_capucinus_imitator
ENSCJAP00000063887	ENSCJAG00000046241	Callithrix_jacchus
ENSSBOP00000003789	ENSSBOG00000017755	Saimiri_boliviensis_boliviensis
ENSANAP00000000271	ENSANAG00000002014	Aotus_nancymaae
ENSRBIP00000029154	ENSRBIG00000038462	Rhinopithecus_bieti
ENSRROP00000034105	ENSRROG00000040609	Rhinopithecus_roxellana
ENSCANP00000035657	ENSCANG00000041534	Colobus_angolensis_palliatus
ENSMFAP00000009672	ENSMFAG00000034999	Macaca_fascicularis
ENSMNEP00000002013	ENSMNEG00000009122	Macaca_nemestrina
ENSCATP00000000035	ENSCATG00000000220	Cercocebus_atys
ENSTGEP00000033313	ENSTGEG00000026612	Theropithecus_gelada
ENSMLEP00000003519	ENSMLEG00000015307	Mandrillus_leucophaeus
ENSPANP00000042584	ENSPANG00000031128	Papio_anubis
ENSPTRP00000091356	ENSPTRG00000051872	Pan_troglodytes
ENSPPAP00000004092	ENSPPAG00000017407	Pan_paniscus
ENSGGOP00000032935	ENSGGOG00000037956	Gorilla_gorilla
ENSMICP00000034401	ENSMICG00000029270	Microcebus_murinus
ENSECAP00000039051	ENSECAG00000029251	Equus_caballus
ENSEASP00005024618	ENSEASG00005016731	Equus_asinus_asinus
ENSCHIP00000029565	ENSCHIG00000024647	Capra_hircus	ENSCHIT00000037435
