ENSMMOP00000004057	ENSMMOG00000003246	Mola_mola	ENSMMOT00000004131
ENSMAMP00000011222	ENSMAMG00000007604	Mastacembelus_armatus	ENSMAMT00000011510
ENSGAFP00000016501	ENSGAFG00000011133	Gambusia_affinis	ENSGAFT00000016659
ENSPLAP00000012374	ENSPLAG00000015645	Poecilia_latipinna	ENSPLAT00000020019
ENSSLDP00000013416	ENSSLDG00000010696	Seriola_lalandi_dorsalis
ENSODEP00000012881	ENSODEG00000009535	Octodon_degus
ENSFDAP00000018583	ENSFDAG00000009715	Fukomys_damarensis
ENSMAUP00000007903	ENSMAUG00000009460	Mesocricetus_auratus
ENSMOCP00000014758	ENSMOCG00000014160	Microtus_ochrogaster
MGP_CAROLIEiJ_P0034404	MGP_CAROLIEiJ_G0018536	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0041010	MGP_PahariEiJ_G0019601	Mus_pahari_strain_PAHARI_EIJ
ENSJJAP00000005573	ENSJJAG00000010486	Jaculus_jaculus
ENSDORP00000017424	ENSDORG00000028803	Dipodomys_ordii
ENSDNOP00000023697	ENSDNOG00000036056	Dasypus_novemcinctus
ENSSHAP00000019779	ENSSHAG00000016789	Sarcophilus_harrisii
ENSPCIP00000007866	ENSPCIG00000006572	Phascolarctos_cinereus
ENSOANP00000013679	ENSOANG00000008588	Ornithorhynchus_anatinus
