ENSPSIP00000012188	ENSPSIG00000010977	Pelodiscus_sinensis
ENSGAGP00000019210	ENSGAGG00000014200	Gopherus_agassizii
ENSGAGP00000019209	ENSGAGG00000014199	Gopherus_agassizii
ENSCPRP00005024546	ENSCPRG00005017068	Crocodylus_porosus
ENSSMRP00000007639	ENSSMRG00000006120	Salvator_merianae
ENSPVIP00000022666	ENSPVIG00000017097	Pogona_vitticeps
ENSVURP00010013740	ENSVURG00010010568	Vombatus_ursinus
ENSPCIP00000053788	ENSPCIG00000032012	Phascolarctos_cinereus
ENSMODP00000018694	ENSMODG00000014949	Monodelphis_domestica
ENSOANP00000012529	ENSOANG00000007867	Ornithorhynchus_anatinus
ENSXETP00000037116	ENSXETG00000013081	Xenopus_tropicalis
ENSLACP00000020628	ENSLACG00000018126	Latimeria_chalumnae
ENSDCDP00000061548	ENSDCDG00000035085	Denticeps_clupeoides
ENSCHAP00000018666	ENSCHAG00000009607	Clupea_harengus
ENSAMXP00005048476	ENSAMXG00005022176	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000019497	ENSAMXG00000018934	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000017746	ENSPNAG00000024041	Pygocentrus_nattereri
ENSIPUP00000011434	ENSIPUG00000007776	Ictalurus_punctatus
ENSEEEP00000051413	ENSEEEG00000024125	Electrophorus_electricus
ENSDARP00000107719	ENSDARG00000090253	Danio_rerio
ENSHHUP00000046876	ENSHHUG00000028513	Hucho_hucho
ENSHHUP00000001504	ENSHHUG00000000972	Hucho_hucho
ENSELUP00000027747	ENSELUG00000004081	Esox_lucius
ENSTRUP00000027755	ENSTRUG00000010996	Takifugu_rubripes
ENSTNIP00000005573	ENSTNIG00000003004	Tetraodon_nigroviridis
ENSGWIP00000000907	ENSGWIG00000000566	Gouania_willdenowi
ENSGWIP00000005763	ENSGWIG00000003287	Gouania_willdenowi
ENSGWIP00000000893	ENSGWIG00000000558	Gouania_willdenowi
ENSCSEP00000000684	ENSCSEG00000000490	Cynoglossus_semilaevis
ENSCGOP00000042695	ENSCGOG00000019287	Cottoperca_gobio
ENSGACP00000004355	ENSGACG00000003324	Gasterosteus_aculeatus
ENSMMOP00000013567	ENSMMOG00000010403	Mola_mola
ENSLCRP00005018328	ENSLCRG00005007554	Larimichthys_crocea
ENSLBEP00000029754	ENSLBEG00000022511	Labrus_bergylta
ENSLBEP00000028992	ENSLBEG00000021942	Labrus_bergylta
ENSMAMP00000023122	ENSMAMG00000015567	Mastacembelus_armatus
ENSMALP00000029508	ENSMALG00000020418	Monopterus_albus
ENSATEP00000007455	ENSATEG00000005255	Anabas_testudineus
ENSBSLP00000031508	ENSBSLG00000015538	Betta_splendens
ENSPMGP00000011971	ENSPMGG00000009904	Periophthalmus_magnuspinnatus
ENSSDUP00000029093	ENSSDUG00000020974	Seriola_dumerili
ENSSLDP00000017751	ENSSLDG00000013998	Seriola_lalandi_dorsalis
ENSSMAP00000027690	ENSSMAG00000016925	Scophthalmus_maximus
ENSLCAP00010003092	ENSLCAG00010001630	Lates_calcarifer
ENSLCAP00010028387	ENSLCAG00010013322	Lates_calcarifer
ENSAOCP00000016121	ENSAOCG00000002560	Amphiprion_ocellaris
ENSAPEP00000001622	ENSAPEG00000001161	Amphiprion_percula
ENSAPOP00000027754	ENSAPOG00000012537	Acanthochromis_polyacanthus
ENSSPAP00000023805	ENSSPAG00000017970	Stegastes_partitus
ENSPRNP00000005825	ENSPRNG00000003503	Parambassis_ranga
ENSFHEP00000034131	ENSFHEG00000000532	Fundulus_heteroclitus
ENSCVAP00000006607	ENSCVAG00000008162	Cyprinodon_variegatus
ENSPFOP00000002921	ENSPFOG00000002922	Poecilia_formosa
ENSPLAP00000030072	ENSPLAG00000020818	Poecilia_latipinna
ENSPMEP00000028797	ENSPMEG00000014131	Poecilia_mexicana
ENSGAFP00000031370	ENSGAFG00000021136	Gambusia_affinis
ENSPREP00000004815	ENSPREG00000003376	Poecilia_reticulata
ENSXMAP00000000123	ENSXMAG00000000120	Xiphophorus_maculatus
ENSKMAP00000014525	ENSKMAG00000010909	Kryptolebias_marmoratus
ENSORLP00015003011	ENSORLG00015003719	Oryzias_latipes_ASM223469v1
ENSORLP00000002924	ENSORLG00000002354	Oryzias_latipes_ASM223467v1
ENSORLP00020006625	ENSORLG00020007483	Oryzias_latipes_ASM223471v1
ENSOMEP00000007637	ENSOMEG00000008761	Oryzias_melastigma
ENSMZEP00005003747	ENSMZEG00005002890	Maylandia_zebra
ENSHBUP00000028984	ENSHBUG00000001127	Haplochromis_burtoni
ENSONIP00000009235	ENSONIG00000007323	Oreochromis_niloticus
ENSACLP00000003339	ENSACLG00000002253	Astatotilapia_calliptera
ENSPNYP00000000756	ENSPNYG00000000599	Pundamilia_nyererei
ENSNBRP00000022970	ENSNBRG00000017585	Neolamprologus_brichardi
ENSACIP00000002219	ENSACIG00000001796	Amphilophus_citrinellus
ENSHCOP00000028346	ENSHCOG00000020962	Hippocampus_comes
ENSGMOP00000004630	ENSGMOG00000004365	Gadus_morhua
ENSSFOP00015034357	ENSSFOG00015021893	Scleropages_formosus
ENSPKIP00000017848	ENSPKIG00000003607	Paramormyrops_kingsleyae
ENSLOCP00000000620	ENSLOCG00000000559	Lepisosteus_oculatus
ENSECRP00000017708	ENSECRG00000011823	Erpetoichthys_calabaricus
ENSCMIP00000032806	ENSCMIG00000014029	Callorhinchus_milii
