ENSPCIP00000024714	ENSPCIG00000018619	Phascolarctos_cinereus	ENSPCIT00000030446
ENSVURP00010005817	ENSVURG00010004519	Vombatus_ursinus	ENSVURT00010006577
ENSMEUP00000005366	ENSMEUG00000005874	Notamacropus_eugenii	ENSMEUT00000005891
ENSSHAP00000018732	ENSSHAG00000015903	Sarcophilus_harrisii	ENSSHAT00000018887
ENSMODP00000031563	ENSMODG00000003357	Monodelphis_domestica	ENSMODT00000033136
ENSMSIP00000034979	ENSMSIG00000029171	Mus_spicilegus
MGP_SPRETEiJ_P0073060	MGP_SPRETEiJ_G0028668	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000031607	ENSMUSG00000029603	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0070371	MGP_CAROLIEiJ_G0027668	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0058588	MGP_PahariEiJ_G0024250	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000066399	ENSRNOG00000050848	Rattus_norvegicus
ENSMUGP00000017512	ENSMUGG00000014899	Meriones_unguiculatus
ENSCGRP00001018960	ENSCGRG00001018544	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015000166	ENSCGRG00015000205	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000010114	ENSMAUG00000011103	Mesocricetus_auratus
ENSMOCP00000008519	ENSMOCG00000008527	Microtus_ochrogaster
ENSNGAP00000014301	ENSNGAG00000015637	Nannospalax_galili
ENSCCNP00000009319	ENSCCNG00000009832	Castor_canadensis
ENSPPAP00000018182	ENSPPAG00000032215	Pan_paniscus
ENSPTRP00000009298	ENSPTRG00000005480	Pan_troglodytes
ENSP00000257600	ENSG00000135144	Homo_sapiens
ENSGGOP00000010127	ENSGGOG00000010380	Gorilla_gorilla
ENSPPYP00000005682	ENSPPYG00000004980	Pongo_abelii
ENSNLEP00000000166	ENSNLEG00000000143	Nomascus_leucogenys
ENSRROP00000013970	ENSRROG00000031205	Rhinopithecus_roxellana
ENSRBIP00000032346	ENSRBIG00000039981	Rhinopithecus_bieti
ENSPTEP00000007212	ENSPTEG00000008217	Piliocolobus_tephrosceles
ENSMFAP00000033721	ENSMFAG00000003369	Macaca_fascicularis
ENSMMUP00000064788	ENSMMUG00000054690	Macaca_mulatta
ENSMNEP00000003661	ENSMNEG00000017014	Macaca_nemestrina
ENSCSAP00000015595	ENSCSAG00000002451	Chlorocebus_sabaeus
ENSPANP00000003560	ENSPANG00000009637	Papio_anubis
ENSCATP00000045318	ENSCATG00000045075	Cercocebus_atys
ENSTGEP00000025083	ENSTGEG00000020235	Theropithecus_gelada
