ENSPPRP00000000026	ENSPPRG00000025086	Panthera_pardus	ENSPPRT00000035218
ENSPTIP00000003029	ENSPTIG00000005897	Panthera_tigris_altaica
ENSFCAP00000020167	ENSFCAG00000042083	Felis_catus
ENSUAMP00000014923	ENSUAMG00000011970	Ursus_americanus
ENSUMAP00000004179	ENSUMAG00000003379	Ursus_maritimus
ENSAMEP00000012802	ENSAMEG00000012166	Ailuropoda_melanoleuca
ENSEASP00005030896	ENSEASG00005021063	Equus_asinus_asinus
ENSECAP00000038967	ENSECAG00000031570	Equus_caballus
ENSECAP00000024300	ENSECAG00000031457	Equus_caballus
ENSECAP00000001594	ENSECAG00000029034	Equus_caballus
ENSEASP00005030886	ENSEASG00005021057	Equus_asinus_asinus
ENSECAP00000043296	ENSECAG00000030353	Equus_caballus
ENSECAP00000032790	ENSECAG00000035418	Equus_caballus
ENSECAP00000003966	ENSECAG00000042275	Equus_caballus
ENSEASP00005030867	ENSEASG00005021035	Equus_asinus_asinus
ENSECAP00000042548	ENSECAG00000032061	Equus_caballus
ENSECAP00000054023	ENSECAG00000042737	Equus_caballus
ENSEASP00005030890	ENSEASG00005021059	Equus_asinus_asinus
ENSEEUP00000009970	ENSEEUG00000010963	Erinaceus_europaeus
ENSBIXP00000016549	ENSBIXG00000003841	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005037496	ENSBIXG00005019367	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000050311	ENSBTAG00000037542	Bos_taurus
ENSCHIP00000004933	ENSCHIG00000009081	Capra_hircus
ENSSSCP00000056704	ENSSSCG00000039796	Sus_scrofa_strain_reference
ENSMUSP00000149568	ENSMUSG00000053146	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0053534	MGP_SPRETEiJ_G0024421	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0051485	MGP_CAROLIEiJ_G0023501	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000067478	ENSRNOG00000049460	Rattus_norvegicus
ENSMUGP00000002893	ENSMUGG00000002734	Meriones_unguiculatus
